sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,55-64,3.0,4.0,3.0,4.6,7.0,3.2500000000000004,7.0,5.5,1.0,4.5,7.0,4.6000000000000005,5.5,1.0,1.0,5.8,4.5,5.333333333333334,5.999999999999999,3.25,2.8,5.5,5.5,10.0,4.6,6.3999999999999995,1.0,8.2,2.8,2.6666666666666665,6.3999999999999995,6.142857142857142,1.0,1.0,4.75,1.0,10.0,1.0,2.125,10.0,1.0,10.0,4.42,7.0,2.8461538461538463,4.5,6.0,3.25,10.0,10.0,5.5,4.0,6.294117647058823,2.2413793103448274,4.272727272727273,5.090909090909091,1.0,4.0
1.0,35-44,3.0,4.0,5.0,1.9,1.0,1.0,4.0,7.75,4.0,1.0,10.0,8.0,10.0,1.0,1.0,3.6,7.5,3.25,5.999999999999999,1.0,2.8,5.5,5.5,10.0,6.3999999999999995,6.3999999999999995,5.5,1.0,1.0,2.3333333333333335,8.2,8.071428571428573,1.0,1.0,2.5,1.0,10.0,10.0,5.5,7.0,7.0,10.0,5.86,1.0,1.4615384615384615,6.5,8.0,1.0,1.0,4.857142857142858,10.0,2.5,9.470588235294118,1.0,1.0,1.0,5.5,1.0
2.0,25-34,5.0,4.0,7.0,3.6999999999999997,5.5,3.2500000000000004,1.0,7.75,4.0,2.3333333333333335,5.999999999999999,5.4,5.875,1.0,3.25,10.0,3.75,6.333333333333333,7.0,1.0,10.0,10.0,8.5,10.0,10.0,6.3999999999999995,5.5,10.0,1.0,1.6666666666666667,6.3999999999999995,6.7857142857142865,1.0,1.0,7.0,2.5,10.0,3.25,7.75,10.0,7.0,5.5,6.579999999999999,1.0,1.9230769230769231,6.0,8.666666666666666,2.0,1.0,10.0,10.0,8.5,7.882352941176471,1.3103448275862069,1.0,1.0,1.0,1.0
1.0,35-44,2.0,4.0,1.0,4.6,5.999999999999999,4.375,7.0,5.5,1.0,2.5,5.999999999999999,4.6000000000000005,6.25,1.0,3.25,7.0,5.0,5.999999999999999,5.999999999999999,3.25,2.8,5.5,7.0,10.0,4.6,6.3999999999999995,1.0,2.8,2.8,2.0,6.3999999999999995,6.142857142857142,3.25,3.25,6.25,1.0,10.0,2.125,3.25,10.0,1.0,10.0,6.579999999999999,7.0,1.9230769230769231,6.0,7.333333333333334,1.75,10.0,8.714285714285715,5.5,4.0,5.235294117647058,2.2413793103448274,3.454545454545454,3.454545454545454,3.25,3.25
2.0,45-54,3.0,4.0,7.0,1.9,8.0,1.0,4.0,5.5,7.0,1.0,9.0,6.75,10.0,1.0,5.5,4.8,6.5,4.375,5.0,3.25,8.2,5.5,7.0,10.0,8.2,10.0,5.5,8.2,1.0,1.0,6.3999999999999995,6.7857142857142865,1.0,1.0,4.0,2.5,10.0,4.375,2.125,10.0,1.0,10.0,8.02,1.0,1.4615384615384615,3.5,2.6666666666666665,1.0,1.0,6.142857142857142,10.0,5.5,5.764705882352941,1.0,1.0,1.0,5.5,3.25
1.0,45-54,3.0,4.0,7.0,2.8,5.5,2.125,4.0,7.75,1.0,3.25,7.0,4.6000000000000005,6.25,1.0,3.25,10.0,5.25,6.333333333333333,7.0,1.0,10.0,10.0,3.25,10.0,10.0,6.3999999999999995,5.5,1.0,1.0,1.6666666666666667,6.3999999999999995,6.7857142857142865,6.625,5.5,7.0,2.5,10.0,3.25,7.75,10.0,4.0,5.5,6.579999999999999,1.0,1.9230769230769231,,9.333333333333334,2.0,1.0,10.0,10.0,10.0,7.352941176470589,1.6206896551724137,1.0,1.0,1.0,1.0
2.0,35-44,5.0,4.0,7.0,7.3,4.75,3.2500000000000004,1.0,7.75,4.0,2.25,5.0,4.8,4.375,1.0,1.0,6.6,5.5,5.999999999999999,5.999999999999999,3.25,8.2,10.0,6.25,10.0,4.6,6.3999999999999995,5.5,8.2,2.8,3.0,6.3999999999999995,5.500000000000001,1.0,1.0,7.75,1.0,10.0,3.25,2.125,10.0,1.0,5.5,5.86,4.0,2.8461538461538463,7.0,6.666666666666667,2.25,10.0,10.0,10.0,4.0,5.235294117647058,2.2413793103448274,1.8181818181818183,1.8181818181818183,1.0,3.25
1.0,65+,3.0,4.0,7.0,2.8,5.5,1.0,4.0,7.75,1.0,3.25,7.0,5.6,7.0,1.0,3.25,10.0,4.5,6.333333333333333,7.0,1.0,2.8,10.0,3.25,10.0,10.0,6.3999999999999995,5.5,1.0,1.0,3.6666666666666665,6.3999999999999995,6.7857142857142865,7.75,5.5,7.0,2.5,10.0,3.25,7.75,10.0,4.0,5.5,6.579999999999999,1.0,1.9230769230769231,6.0,10.0,1.75,1.0,7.428571428571428,10.0,7.0,5.764705882352941,1.3103448275862069,1.0,1.0,1.0,1.0
2.0,19-24,5.0,4.0,1.0,6.3999999999999995,6.25,4.375,7.0,5.5,1.0,1.75,5.999999999999999,4.8,5.125,1.0,1.0,8.0,5.5,4.666666666666667,7.0,5.5,8.2,10.0,6.25,10.0,2.8,6.3999999999999995,5.5,8.2,2.8,2.0,6.3999999999999995,5.500000000000001,1.0,1.0,6.25,1.0,10.0,1.0,3.25,10.0,1.0,10.0,4.42,7.0,2.8461538461538463,7.5,8.333333333333334,1.75,10.0,10.0,1.0,5.5,4.705882352941176,1.9310344827586206,1.0,1.0,10.0,4.0
1.0,65+,5.0,4.0,8.0,1.9,3.25,1.0,4.0,10.0,1.0,1.0,10.0,7.0,10.0,1.0,3.25,8.0,6.25,4.0,10.0,1.0,10.0,5.5,5.5,10.0,8.2,10.0,10.0,1.0,1.0,1.0,6.3999999999999995,9.357142857142856,4.375,3.25,5.5,2.5,10.0,3.25,6.625,7.0,1.0,5.5,6.579999999999999,1.0,1.4615384615384615,4.0,5.666666666666668,1.0,1.0,4.857142857142858,10.0,10.0,4.705882352941176,1.0,1.0,1.0,1.0,2.5
2.0,45-54,5.0,4.0,7.0,2.8,5.5,1.0,4.0,5.5,4.0,3.25,7.0,6.2,7.0,1.0,3.25,10.0,4.5,6.333333333333333,7.0,1.0,10.0,10.0,7.75,10.0,10.0,6.3999999999999995,5.5,10.0,1.0,3.6666666666666665,6.3999999999999995,6.7857142857142865,1.0,1.0,7.0,2.5,10.0,3.25,7.75,10.0,4.0,5.5,6.579999999999999,1.0,2.3846153846153846,,10.0,1.75,1.0,10.0,10.0,7.0,7.352941176470589,1.3103448275862069,1.0,1.0,1.0,1.0
