sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,25-34,3.0,4.0,5.0,10.0,3.25,9.0,7.0,5.5,1.0,6.0,5.0,6.86046511627907,4.75,10.0,5.5,7.6,1.0,4.6000000000000005,9.0,1.0,1.0,10.0,5.5,10.0,6.3999999999999995,8.5,1.0,1.0,1.0,2.6666666666666665,10.0,8.2,1.0,1.0,7.0,4.0,5.5,5.5,1.0,4.0,1.0,1.0,2.8000000000000003,4.0,3.0,6.5,7.666666666666667,4.4,10.0,7.428571428571428,10.0,1.0,6.0,2.0,1.75,1.75,7.0,1.0
2.0,35-44,2.0,4.0,10.0,10.0,1.75,10.0,4.0,5.5,7.0,4.0,8.0,6.651162790697674,7.0,1.0,5.5,7.8,5.0,5.199999999999999,4.0,1.0,1.0,5.5,7.75,10.0,8.2,7.0,1.0,1.0,1.0,2.0,10.0,6.3999999999999995,1.0,1.0,5.5,2.5,7.75,3.25,4.375,7.0,1.0,1.0,2.125,4.0,1.5,5.0,5.0,1.2,10.0,7.428571428571428,1.0,1.0,6.0,1.5,1.0,1.0,7.0,2.5
2.0,35-44,3.0,4.0,7.0,4.0,5.0,4.0,1.0,5.5,7.0,5.6,5.999999999999999,4.55813953488372,8.125,1.0,5.5,9.2,2.0,5.5,5.999999999999999,1.0,1.0,1.0,4.0,10.0,8.2,7.0,1.0,1.0,1.0,3.333333333333334,8.2,7.6000000000000005,1.0,1.0,2.5,4.0,4.375,5.5,1.0,7.0,1.0,1.0,4.5,4.0,3.0,5.0,8.333333333333334,5.0,10.0,6.142857142857142,10.0,1.0,4.333333333333333,3.75,1.75,1.75,10.0,1.0
2.0,19-24,3.0,4.0,8.0,10.0,1.75,1.0,7.0,5.5,4.0,1.6,4.0,6.313059033989267,5.8,1.0,1.0,8.2,5.5,4.8999999999999995,4.0,7.75,8.2,10.0,8.5,10.0,6.3999999999999995,7.0,1.0,8.2,8.2,1.3333333333333333,6.3999999999999995,7.6000000000000005,1.0,1.0,5.5,2.5,2.125,5.5,2.125,4.0,1.0,1.0,1.9000000000000001,5.5,6.5,5.0,4.666666666666667,1.6,10.0,8.714285714285715,5.5,4.0,4.666666666666667,1.5,2.5,2.5,,7.0
2.0,25-34,3.0,4.0,5.999999999999999,10.0,3.25,8.0,1.0,5.5,4.0,5.2,4.0,4.924418604651162,4.0,1.0,1.0,10.0,7.75,5.8,5.999999999999999,1.0,1.0,5.5,3.25,10.0,4.6,5.5,4.0,1.0,1.0,2.6666666666666665,10.0,5.8,1.0,1.0,7.0,1.0,3.25,10.0,1.0,4.0,1.0,1.0,2.5,4.0,2.0,4.5,5.0,3.4,10.0,8.714285714285715,1.0,7.0,4.333333333333333,1.5,1.0,1.0,7.0,1.0
2.0,25-34,3.0,4.0,7.0,10.0,1.75,1.9999999999999998,4.0,7.75,4.0,1.2,1.0,6.651162790697674,4.0,1.0,3.25,9.8,5.0,5.5,5.0,1.0,2.8,10.0,1.0,10.0,10.0,2.5,1.0,1.0,1.0,2.0,6.3999999999999995,4.0,1.0,1.0,5.5,2.5,1.0,6.625,2.125,4.0,1.0,1.0,2.2,1.0,3.4999999999999996,6.0,6.666666666666667,1.4,10.0,8.714285714285715,1.0,1.0,3.333333333333334,1.5,1.0,1.0,10.0,2.5
2.0,55-64,1.0,4.0,5.0,10.0,2.5,7.0,4.0,5.5,4.0,4.8,7.0,6.023255813953488,8.875,5.5,1.0,7.8,1.5,8.0,5.999999999999999,1.0,1.0,1.0,1.0,10.0,8.2,7.0,4.0,1.0,1.0,1.6666666666666667,10.0,7.0,1.0,1.0,2.5,8.5,4.375,2.125,1.0,10.0,1.0,1.0,2.2,1.0,3.4999999999999996,5.5,2.3333333333333335,1.0,10.0,8.714285714285715,5.5,1.0,6.666666666666667,2.5,1.0,1.0,10.0,2.5
2.0,25-34,2.0,4.0,9.0,10.0,4.75,4.0,4.0,5.5,4.0,1.2,8.5,6.157807308970099,5.875,1.0,1.0,8.2,5.75,3.6999999999999997,1.0,5.5,2.8,5.5,4.75,10.0,10.0,10.0,4.0,2.8,8.2,1.0,10.0,10.0,1.0,1.0,5.5,1.0,8.875,3.25,4.375,10.0,4.0,10.0,3.6999999999999997,2.5,3.4999999999999996,4.0,8.666666666666666,1.0,10.0,8.714285714285715,1.0,1.0,4.0,2.25,1.0,1.0,7.0,6.25
2.0,19-24,3.0,4.0,9.0,1.0,4.0,3.0,1.0,7.75,1.0,3.4,5.0,3.930232558139535,5.875,10.0,3.25,2.4,3.5,5.5,4.0,3.25,2.8,1.0,7.75,10.0,2.8,7.0,1.0,1.0,1.0,1.0,10.0,7.6000000000000005,1.0,1.0,4.0,7.0,2.125,4.0,2.125,10.0,1.0,1.0,2.2,1.0,1.0,3.5,2.6666666666666665,1.0,10.0,8.714285714285715,5.5,8.5,5.0,1.5,1.0,1.0,7.0,2.5
2.0,35-44,3.0,4.0,8.0,9.0,1.75,8.0,4.0,3.25,10.0,4.4,7.0,5.813953488372093,7.857142857142857,1.0,5.5,7.8,4.75,3.6999999999999997,5.999999999999999,1.0,2.8,5.5,4.0,10.0,8.2,5.5,1.0,1.0,1.0,2.3333333333333335,8.2,6.3999999999999995,1.0,1.0,4.0,5.5,4.375,5.5,3.25,10.0,1.0,5.5,3.6999999999999997,4.0,3.0,6.5,9.333333333333334,1.4,10.0,7.428571428571428,1.0,2.5,5.666666666666668,2.5,1.75,1.75,7.0,6.25
