sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,55-64,2.0,4.0,7.0,6.0,5.909090909090908,1.0,4.0,5.5,7.0,1.7714285714285716,5.999999999999999,6.785714285714285,7.375,1.0,1.0,4.705882352941176,7.923076923076923,3.25,7.0,5.5,2.8,5.5,4.75,10.0,2.8,10.0,1.0,2.8,2.8,3.333333333333334,1.0,10.0,1.0,1.0,3.454545454545454,2.5,7.75,3.25,3.25,10.0,7.0,10.0,4.75,8.5,9.4,7.0,7.4799999999999995,3.1176470588235294,1.0,6.142857142857142,1.0,2.5,7.75,1.0,1.0,1.0,1.0,3.25
2.0,55-64,3.0,4.0,7.0,4.0,4.272727272727273,1.0,7.0,3.25,4.0,1.7714285714285716,5.0,6.571428571428571,6.625,1.0,1.0,4.1764705882352935,5.153846153846154,3.7,5.0,5.5,8.2,1.0,4.75,10.0,2.8,10.0,4.0,2.8,2.8,3.6666666666666665,1.0,7.428571428571429,1.0,1.0,3.454545454545454,2.5,7.75,4.375,3.25,10.0,7.0,5.5,4.75,5.5,5.8,6.0,6.039999999999999,3.3823529411764706,1.0,4.857142857142858,1.0,1.0,4.9375,1.0,1.0,1.0,1.0,4.0
1.0,45-54,5.0,4.0,5.999999999999999,5.0,5.909090909090908,1.0,7.0,3.25,4.0,5.114285714285715,4.0,5.071428571428571,5.125,1.0,1.0,5.499999999999999,7.576923076923077,3.7,7.0,5.5,2.8,5.5,4.75,10.0,8.2,5.5,7.0,2.8,8.2,3.0,1.0,6.142857142857142,1.0,1.0,5.090909090909091,1.0,3.25,4.375,4.375,4.0,1.0,5.5,7.000000000000001,4.0,5.2,6.5,6.759999999999999,3.3823529411764706,1.0,7.428571428571428,10.0,5.5,6.0625,2.9285714285714284,1.0,1.0,4.0,4.0
1.0,55-64,5.0,4.0,4.0,3.0,8.363636363636363,1.0,4.0,5.5,4.0,4.6,4.0,4.857142857142858,4.0,1.0,1.0,6.294117647058823,7.576923076923077,5.5,5.999999999999999,3.25,8.2,10.0,6.25,10.0,2.8,7.0,1.0,8.2,10.0,6.333333333333333,1.0,6.7857142857142865,1.0,3.25,5.909090909090908,1.0,6.625,3.25,4.375,4.0,7.0,10.0,3.2500000000000004,7.0,8.2,4.0,7.119999999999998,4.4411764705882355,1.0,6.142857142857142,10.0,7.0,8.3125,2.9285714285714284,1.75,2.5,1.0,2.5
1.0,25-34,3.0,4.0,1.9999999999999998,2.0,8.363636363636363,1.0,7.0,5.5,1.0,1.0,4.0,6.142857142857143,4.0,1.0,5.5,8.676470588235293,5.5,5.95,7.0,3.25,8.2,1.0,4.75,10.0,4.6,10.0,4.0,2.8,2.8,4.333333333333333,1.0,7.428571428571429,1.0,1.0,7.545454545454546,1.0,7.75,3.25,5.5,7.0,1.0,1.0,5.500000000000001,8.5,10.0,4.5,7.4799999999999995,6.294117647058823,1.0,7.428571428571428,5.5,5.5,7.187500000000001,1.6428571428571428,1.0,1.0,2.5,4.0
1.0,45-54,3.0,4.0,5.999999999999999,3.0,4.272727272727273,1.0,4.0,5.5,4.0,1.2571428571428571,7.0,7.857142857142858,7.0,1.0,1.0,1.0,3.769230769230769,5.05,7.0,5.5,8.2,1.0,6.25,10.0,1.0,10.0,4.0,2.8,2.8,3.333333333333334,1.0,10.0,1.0,1.0,4.272727272727273,2.5,10.0,3.25,4.375,10.0,4.0,10.0,4.0,7.0,8.2,4.0,3.5199999999999996,3.3823529411764706,1.0,7.428571428571428,10.0,1.0,6.625,1.0,1.75,1.75,1.0,3.25
2.0,35-44,4.0,4.0,7.0,5.0,5.909090909090908,1.0,7.0,3.25,4.0,3.828571428571429,8.0,8.071428571428573,8.125,1.0,1.0,3.3823529411764706,6.538461538461538,3.25,4.0,5.5,8.2,1.0,7.0,10.0,2.8,8.5,1.0,8.2,1.0,3.333333333333334,1.0,8.714285714285715,1.0,1.0,4.272727272727273,2.5,6.625,4.375,2.125,7.0,7.0,10.0,6.25,7.0,9.4,4.5,5.679999999999999,2.0588235294117645,1.0,6.142857142857142,5.5,1.0,7.187500000000001,1.0,1.0,1.0,4.0,5.5
1.0,19-24,3.0,4.0,4.0,1.0,7.545454545454546,1.0,4.0,5.5,4.0,1.5142857142857142,7.0,8.285714285714285,5.875,1.0,1.0,5.764705882352941,4.8076923076923075,2.8,8.0,3.25,8.2,10.0,7.75,10.0,6.3999999999999995,7.0,7.0,8.2,2.8,4.0,1.0,9.357142857142856,3.25,5.5,3.454545454545454,1.0,10.0,8.875,2.125,4.0,4.0,10.0,4.0,10.0,10.0,2.5,10.0,4.705882352941176,1.0,7.428571428571428,1.0,2.5,5.500000000000001,2.9285714285714284,1.0,1.0,10.0,4.0
2.0,35-44,5.0,4.0,3.0,5.0,5.909090909090908,1.0,4.0,5.5,7.0,2.2857142857142856,4.0,6.142857142857143,4.0,1.0,5.5,7.882352941176471,4.115384615384615,5.5,5.999999999999999,3.25,8.2,10.0,7.0,10.0,2.8,8.5,1.0,8.2,1.0,7.333333333333334,1.0,7.428571428571429,4.375,3.25,5.909090909090908,1.0,4.375,2.125,3.25,10.0,1.0,1.0,6.25,5.5,5.2,3.0,7.839999999999999,4.4411764705882355,1.0,8.714285714285715,5.5,7.0,6.625,1.6428571428571428,1.75,1.75,5.5,4.0
1.0,55-64,5.0,4.0,5.999999999999999,4.0,6.7272727272727275,1.0,4.0,3.25,7.0,3.828571428571429,5.0,4.428571428571429,4.0,1.0,1.0,3.6470588235294117,5.153846153846154,3.25,7.0,5.5,8.2,5.5,7.75,10.0,4.6,7.0,1.0,8.2,8.2,3.333333333333334,1.0,7.428571428571429,1.0,1.0,7.545454545454546,1.0,6.625,7.75,2.125,7.0,1.0,10.0,7.000000000000001,8.5,10.0,5.0,4.959999999999999,3.1176470588235294,1.0,7.428571428571428,10.0,10.0,7.187500000000001,2.2857142857142856,1.75,1.75,1.0,4.0
1.0,45-54,3.0,4.0,1.0,5.0,3.454545454545454,1.0,4.0,5.5,4.0,2.8,4.0,4.214285714285714,4.0,1.0,1.0,7.352941176470589,7.923076923076923,5.5,7.0,3.25,1.0,5.5,5.5,10.0,6.3999999999999995,10.0,7.0,2.8,2.8,5.0,4.6,8.714285714285715,1.0,1.0,5.909090909090908,5.5,6.625,3.25,2.125,7.0,1.0,1.0,5.500000000000001,7.0,10.0,4.5,6.759999999999999,3.1176470588235294,1.0,7.428571428571428,1.0,7.0,7.187500000000001,3.25,1.0,1.0,1.0,6.25
1.0,25-34,5.0,4.0,5.0,5.0,9.181818181818182,1.0,7.0,5.5,1.0,3.314285714285714,7.0,6.571428571428571,7.0,1.0,1.0,4.4411764705882355,4.8076923076923075,3.7,5.0,7.75,2.8,1.0,6.25,10.0,4.6,7.0,4.0,2.8,2.8,6.333333333333333,1.0,4.214285714285715,1.0,1.0,4.272727272727273,1.0,8.875,4.375,7.75,7.0,4.0,10.0,6.25,7.0,10.0,5.0,6.039999999999999,7.088235294117647,1.0,7.428571428571428,1.0,5.5,6.0625,4.857142857142857,1.0,1.0,4.0,4.75
2.0,55-64,3.0,4.0,5.0,5.0,7.545454545454546,3.0,4.0,5.5,4.0,2.8,5.0,7.428571428571429,5.875,1.0,1.0,5.499999999999999,5.153846153846154,3.7,5.0,3.25,8.2,10.0,7.0,10.0,8.2,8.5,1.0,8.2,1.0,5.333333333333333,2.8,7.428571428571429,1.0,3.25,3.454545454545454,1.0,10.0,6.625,3.25,10.0,4.0,10.0,6.25,7.0,4.0,5.0,7.4799999999999995,3.9117647058823533,1.0,7.428571428571428,5.5,4.0,6.0625,3.571428571428571,2.5,2.5,2.5,3.25
1.0,45-54,5.0,4.0,5.999999999999999,6.0,4.272727272727273,1.0,4.0,7.75,4.0,1.0,4.0,7.428571428571429,6.25,1.0,1.0,4.970588235294118,7.230769230769231,3.7,5.0,5.5,8.2,5.5,4.0,10.0,1.0,8.5,1.0,2.8,2.8,1.6666666666666667,1.0,7.428571428571429,1.0,1.0,3.454545454545454,1.0,7.75,4.375,5.5,7.0,7.0,1.0,4.75,4.0,2.2,5.0,7.839999999999999,2.0588235294117645,1.0,7.428571428571428,1.0,1.0,5.500000000000001,1.0,1.75,1.75,1.0,5.5
2.0,45-54,3.0,4.0,7.0,5.0,4.272727272727273,1.0,4.0,5.5,4.0,2.2857142857142856,4.0,6.142857142857143,5.5,1.0,1.0,5.235294117647059,5.846153846153846,5.5,4.0,5.5,8.2,1.0,7.0,10.0,2.8,10.0,4.0,8.2,2.8,2.0,4.6,8.714285714285715,1.0,1.0,5.090909090909091,1.0,8.875,4.375,5.5,10.0,7.0,5.5,4.75,4.0,1.0,7.0,6.759999999999999,3.6470588235294117,1.0,6.142857142857142,5.5,1.0,6.0625,1.0,1.0,1.75,4.0,5.5
2.0,25-34,5.0,4.0,4.0,5.0,7.545454545454546,3.0,7.0,5.5,1.0,1.7714285714285716,5.999999999999999,7.214285714285715,7.375,1.0,1.0,4.4411764705882355,3.423076923076923,2.349999999999999,5.999999999999999,3.25,8.2,5.5,7.0,10.0,6.3999999999999995,8.5,1.0,8.2,2.8,6.0,1.0,6.7857142857142865,3.25,1.0,3.454545454545454,1.0,10.0,7.75,5.5,7.0,4.0,10.0,4.0,8.5,7.0,2.0,7.119999999999998,7.882352941176471,1.0,8.714285714285715,1.0,4.0,6.0625,4.857142857142857,1.0,1.0,4.0,4.0
