sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,,3.0,4.0,5.0,5.5,6.25,1.0,7.0,5.5,1.0,2.0227272727272725,4.0,3.2,3.4999999999999996,1.0,1.0,7.8,4.818181818181818,5.695652173913043,10.0,5.5,8.2,10.0,4.0,1.0,8.2,10.0,1.0,8.2,8.2,5.0,6.3999999999999995,8.8,1.0,1.0,6.25,1.0,5.5,4.375,6.625,1.0,7.0,1.0,2.44,5.5,1.5454545454545454,4.5,7.652173913043478,1.4,1.0,10.0,5.5,4.0,5.764705882352941,1.3214285714285714,3.25,3.25,4.0,5.5
2.0,,3.0,4.0,4.0,10.0,6.25,4.0,7.0,3.25,1.0,6.113636363636363,5.0,4.200000000000001,4.0,1.0,1.0,10.0,5.363636363636363,3.347826086956521,10.0,3.25,2.8,5.5,5.5,1.0,6.3999999999999995,8.5,1.0,8.2,2.8,4.666666666666667,1.0,10.0,4.375,3.25,6.25,1.0,6.625,5.5,1.0,10.0,1.0,5.5,4.24,2.5,1.0,8.0,6.869565217391305,4.8,10.0,3.571428571428572,5.5,5.5,4.176470588235294,6.142857142857142,1.75,2.5,4.0,6.25
1.0,19-24,3.0,4.0,4.0,6.3999999999999995,5.5,1.0,4.0,7.75,1.0,1.8181818181818183,5.999999999999999,5.199999999999999,4.5,1.0,4.0,8.0,7.818181818181818,6.086956521739131,7.0,3.25,8.2,10.0,6.25,10.0,6.3999999999999995,10.0,1.0,8.2,8.2,6.333333333333333,1.0,8.2,1.0,1.0,5.5,2.125,5.5,3.25,7.75,10.0,1.0,5.5,2.08,4.0,8.09090909090909,6.0,8.434782608695652,4.0,10.0,1.0,1.0,5.5,7.352941176470589,1.3214285714285714,1.75,1.75,4.0,3.25
1.0,,5.0,4.0,5.0,3.6999999999999997,8.5,1.0,4.0,5.5,4.0,2.4318181818181817,4.0,4.8,1.9999999999999998,1.0,1.0,7.4,5.090909090909091,3.347826086956521,5.999999999999999,3.25,8.2,1.0,7.0,5.5,6.3999999999999995,10.0,1.0,8.2,2.8,6.0,1.0,9.399999999999999,2.125,1.0,4.75,1.0,5.5,3.25,5.5,7.0,4.0,10.0,2.08,7.0,8.09090909090909,5.0,8.434782608695652,5.6,10.0,2.285714285714285,1.0,5.5,6.823529411764705,4.857142857142857,4.75,4.75,7.0,3.25
1.0,,5.0,4.0,5.0,3.6999999999999997,8.5,1.0,4.0,5.5,4.0,3.0454545454545454,4.0,5.0,1.0,1.0,1.0,7.4,5.363636363636363,4.521739130434783,10.0,5.5,8.2,10.0,5.5,1.0,6.3999999999999995,10.0,1.0,8.2,8.2,4.0,1.0,10.0,6.625,1.0,4.75,1.0,7.75,5.5,4.375,10.0,4.0,5.5,2.08,7.0,8.636363636363637,5.5,8.826086956521738,5.0,10.0,1.0,1.0,5.5,7.882352941176471,3.571428571428571,1.75,1.75,7.0,1.7499999999999998
1.0,,3.0,4.0,3.0,3.6999999999999997,6.25,1.0,4.0,5.5,7.0,3.0454545454545454,7.0,6.6,4.0,5.5,1.0,7.6,7.0,2.173913043478261,9.0,3.25,8.2,5.5,4.75,1.0,2.8,10.0,4.0,8.2,8.2,6.0,1.0,8.8,2.125,1.0,7.0,1.0,7.75,3.25,6.625,4.0,4.0,5.5,1.3599999999999999,10.0,9.181818181818182,4.5,8.434782608695652,5.6,10.0,6.142857142857142,1.0,7.0,6.294117647058823,2.9285714285714284,1.0,1.0,7.0,4.0
2.0,,5.0,4.0,5.0,3.6999999999999997,7.0,1.0,4.0,5.5,4.0,2.0227272727272725,4.0,6.3999999999999995,4.0,1.0,1.0,5.8,6.454545454545455,2.5652173913043486,10.0,3.25,8.2,1.0,7.0,1.0,6.3999999999999995,10.0,1.0,8.2,8.2,5.0,1.0,9.399999999999999,1.0,1.0,7.0,2.125,5.5,6.625,6.625,7.0,1.0,5.5,2.44,10.0,9.181818181818182,3.5,7.652173913043478,5.8,1.0,1.0,1.0,4.0,7.882352941176471,2.2857142857142856,1.75,1.75,7.0,7.0
2.0,,3.0,4.0,1.9999999999999998,6.3999999999999995,7.0,1.0,4.0,5.5,4.0,2.0227272727272725,4.0,3.8,1.0,1.0,1.0,7.0,4.272727272727273,2.9565217391304355,7.0,3.25,2.8,10.0,4.0,10.0,4.6,10.0,1.0,2.8,8.2,5.666666666666668,1.0,10.0,1.0,3.25,7.0,2.125,5.5,3.25,5.5,7.0,1.0,5.5,2.8,7.0,9.181818181818182,5.0,5.304347826086957,7.0,1.0,4.857142857142858,1.0,4.0,7.882352941176471,2.2857142857142856,1.0,1.0,7.0,3.25
1.0,,5.0,4.0,4.0,5.5,7.0,1.0,4.0,3.25,7.0,4.477272727272727,7.0,6.3999999999999995,4.5,1.0,1.0,4.8,5.636363636363637,3.739130434782609,10.0,5.5,8.2,5.5,5.5,1.0,2.8,7.0,1.0,8.2,8.2,6.0,1.0,7.0,1.0,1.0,5.5,1.0,5.5,5.5,6.625,4.0,1.0,5.5,2.8,7.0,8.09090909090909,5.0,5.695652173913043,6.0,10.0,10.0,5.5,10.0,7.352941176470589,3.8928571428571432,4.0,4.0,7.0,6.25
1.0,65+,2.0,4.0,5.999999999999999,1.9,7.75,1.0,7.0,3.25,4.0,1.0,3.0,4.200000000000001,6.5,1.0,4.0,9.2,6.7272727272727275,8.434782608695652,8.0,3.25,8.2,10.0,4.0,10.0,2.8,10.0,1.0,8.2,2.8,4.666666666666667,1.0,9.399999999999999,2.125,1.0,4.75,2.125,2.125,3.25,3.25,10.0,4.0,10.0,3.1600000000000006,8.5,9.181818181818182,3.5,9.608695652173912,5.6,1.0,1.0,10.0,7.0,5.764705882352941,2.9285714285714284,1.0,1.0,7.0,1.7499999999999998
2.0,65+,1.0,4.0,7.0,4.6,7.0,4.0,4.0,5.5,4.0,5.295454545454545,5.0,3.8,5.5,1.0,4.0,5.6,5.363636363636363,4.130434782608696,10.0,5.5,8.2,5.5,6.25,10.0,6.3999999999999995,7.0,1.0,8.2,2.8,2.3333333333333335,6.3999999999999995,7.0,1.0,1.0,7.75,2.125,4.375,7.75,5.5,4.0,4.0,5.5,2.44,5.5,6.454545454545453,3.5,7.652173913043478,3.8,10.0,3.571428571428572,1.0,7.0,6.823529411764705,1.0,4.0,4.0,4.0,4.75
1.0,,1.0,4.0,5.0,5.5,7.0,5.0,4.0,7.75,1.0,4.068181818181818,5.999999999999999,6.3999999999999995,6.5,1.0,1.0,6.6,6.1818181818181825,4.521739130434783,7.0,1.0,,5.5,5.5,10.0,2.8,7.0,1.0,2.8,1.0,5.0,4.6,7.6000000000000005,3.25,1.0,5.5,1.0,4.375,5.5,6.625,1.0,7.0,10.0,3.88,7.0,7.545454545454546,6.0,4.130434782608695,3.4,10.0,7.428571428571428,1.0,4.0,4.705882352941176,6.4642857142857135,7.0,7.0,4.0,4.75
2.0,55-64,5.0,4.0,7.0,5.5,5.5,1.0,1.0,1.0,1.0,5.295454545454545,,,,1.0,4.0,6.4,,5.304347826086956,10.0,,8.2,5.5,,1.0,10.0,10.0,1.0,8.2,1.0,5.0,6.3999999999999995,10.0,1.0,1.0,4.75,2.125,1.0,7.75,5.5,1.0,1.0,1.0,4.24,4.0,2.090909090909091,3.0,6.869565217391305,6.2,1.0,8.714285714285715,,5.5,7.882352941176471,6.7857142857142865,1.0,1.0,10.0,
2.0,45-54,5.0,4.0,10.0,6.3999999999999995,1.75,1.0,4.0,5.5,4.0,6.3181818181818175,1.0,2.3999999999999995,1.0,1.0,7.0,6.4,5.636363636363637,3.347826086956521,10.0,1.0,8.2,10.0,7.0,1.0,8.2,10.0,1.0,2.8,2.8,4.333333333333333,6.3999999999999995,10.0,4.375,7.75,7.0,1.0,1.0,5.5,8.875,10.0,1.0,10.0,2.44,10.0,9.181818181818182,1.0,10.0,8.2,1.0,10.0,5.5,10.0,7.882352941176471,1.0,1.75,1.75,7.0,4.0
1.0,45-54,2.0,4.0,7.0,5.5,2.5,1.0,4.0,3.25,7.0,5.5,4.0,4.0,4.0,1.0,1.0,5.0,5.363636363636363,4.130434782608696,10.0,1.0,8.2,10.0,7.0,5.5,6.3999999999999995,10.0,1.0,8.2,1.0,6.0,2.8,10.0,1.0,1.0,7.0,1.0,2.125,7.75,5.5,7.0,1.0,1.0,2.44,10.0,9.181818181818182,1.0,10.0,6.4,1.0,7.428571428571428,1.0,10.0,7.882352941176471,1.0,1.0,1.0,10.0,1.0
1.0,,5.0,4.0,1.0,5.5,8.5,1.0,7.0,5.5,4.0,1.409090909090909,4.0,4.0,4.0,1.0,4.0,6.0,5.363636363636363,4.913043478260871,10.0,5.5,8.2,1.0,7.0,10.0,8.2,10.0,1.0,8.2,8.2,6.666666666666667,10.0,10.0,1.0,1.0,7.75,1.0,7.75,2.125,5.5,7.0,1.0,10.0,2.44,5.5,8.636363636363637,3.0,8.826086956521738,9.0,10.0,2.285714285714285,5.5,8.5,6.823529411764705,4.857142857142857,1.0,1.0,7.0,4.0
1.0,25-34,5.0,4.0,3.0,1.9,5.5,5.999999999999999,10.0,7.75,4.0,1.8181818181818183,3.0,4.6000000000000005,1.9999999999999998,1.0,7.0,8.0,5.090909090909091,6.478260869565219,9.0,3.25,8.2,10.0,6.25,1.0,6.3999999999999995,8.5,1.0,10.0,8.2,7.0,6.3999999999999995,7.0,1.0,1.0,4.75,3.25,5.5,3.25,10.0,7.0,1.0,10.0,3.88,8.5,8.09090909090909,5.5,8.434782608695652,6.4,1.0,10.0,5.5,4.0,6.294117647058823,2.2857142857142856,1.0,1.0,4.0,8.5
1.0,19-24,3.0,4.0,1.0,5.5,7.0,7.0,4.0,5.5,4.0,5.090909090909091,7.0,6.357142857142857,4.0,1.0,1.0,5.0,5.363636363636363,4.130434782608696,3.0,5.5,8.2,1.0,6.25,1.0,6.3999999999999995,10.0,1.0,8.2,8.2,5.0,1.0,9.399999999999999,1.0,1.0,7.0,1.0,8.875,2.125,3.25,4.0,7.0,5.5,3.88,7.0,9.181818181818182,4.0,6.478260869565217,5.0,,1.0,1.0,1.0,5.235294117647058,6.142857142857142,3.25,3.25,7.0,4.0
1.0,35-44,5.0,4.0,9.0,7.3,5.5,1.0,4.0,7.75,7.0,2.2272727272727275,5.0,4.200000000000001,5.0,1.0,1.0,7.4,5.909090909090908,8.043478260869566,5.0,3.25,8.2,5.5,5.5,1.0,6.3999999999999995,10.0,1.0,8.2,2.8,3.0,1.0,10.0,2.125,1.0,5.5,3.25,1.0,6.625,6.625,1.0,1.0,1.0,4.24,7.0,9.181818181818182,5.5,4.130434782608695,3.0,1.0,8.714285714285715,1.0,2.5,5.764705882352941,2.607142857142857,1.0,1.0,4.0,4.75
1.0,55-64,2.0,4.0,5.999999999999999,5.5,5.5,1.0,1.0,3.25,7.0,2.6363636363636367,5.0,3.6,4.5,1.0,1.0,6.0,5.909090909090908,3.347826086956521,4.0,3.25,8.2,5.5,4.0,1.0,6.3999999999999995,10.0,1.0,2.8,8.2,2.6666666666666665,1.0,8.2,1.0,1.0,5.5,2.125,6.625,5.5,8.875,1.0,1.0,1.0,3.1600000000000006,7.0,9.181818181818182,5.0,5.304347826086957,3.0,1.0,7.428571428571428,1.0,2.5,5.235294117647058,3.571428571428571,1.0,1.0,4.0,4.0
2.0,,3.0,4.0,5.0,5.5,3.25,10.0,7.0,5.5,1.0,5.704545454545453,4.0,4.0,4.0,1.0,1.0,5.0,7.0,4.130434782608696,1.0,5.5,8.2,10.0,4.75,1.0,6.3999999999999995,4.0,1.0,8.2,1.0,5.666666666666668,10.0,7.6000000000000005,1.0,1.0,10.0,3.25,5.5,3.25,1.0,4.0,7.0,10.0,1.7199999999999998,7.0,7.545454545454546,5.5,4.91304347826087,5.8,1.0,4.857142857142858,1.0,1.0,5.764705882352941,7.107142857142858,1.0,1.0,7.0,7.0
1.0,19-24,5.0,4.0,1.0,6.3999999999999995,8.5,1.0,7.0,3.25,4.0,3.8636363636363633,4.0,4.0,4.0,1.0,4.0,6.6,5.909090909090908,5.304347826086956,9.0,5.5,8.2,5.5,4.75,10.0,10.0,10.0,1.0,1.0,2.8,8.333333333333334,10.0,8.8,1.0,1.0,8.5,1.0,7.75,4.375,4.375,7.0,1.0,10.0,2.44,5.5,8.636363636363637,7.5,6.869565217391305,8.0,10.0,8.714285714285715,5.5,2.5,3.647058823529412,3.25,1.0,1.0,7.0,4.0
2.0,55-64,3.0,4.0,8.0,7.3,4.0,1.0,7.0,7.75,4.0,2.0227272727272725,5.0,4.200000000000001,4.0,1.0,1.0,5.8,6.454545454545455,6.086956521739131,5.999999999999999,3.25,2.8,5.5,5.5,1.0,6.3999999999999995,10.0,1.0,8.2,2.8,2.0,1.0,10.0,2.125,3.25,4.0,1.0,4.375,10.0,5.5,1.0,1.0,1.0,2.8,5.5,4.818181818181818,5.0,4.521739130434782,2.4,10.0,10.0,5.5,2.5,3.1176470588235294,3.571428571428571,1.0,1.0,7.0,3.25
1.0,19-24,5.0,4.0,5.0,6.3999999999999995,5.5,1.0,4.0,7.75,1.0,2.6363636363636367,5.999999999999999,4.6000000000000005,4.0,1.0,1.0,7.6,6.1818181818181825,6.478260869565219,4.0,3.25,2.8,5.5,4.75,1.0,6.3999999999999995,10.0,1.0,8.2,1.0,2.6666666666666665,1.0,10.0,2.125,1.0,4.75,1.0,5.5,7.75,6.625,1.0,1.0,5.5,4.6,5.5,8.636363636363637,3.5,5.695652173913043,2.8,1.0,7.428571428571428,1.0,4.0,6.294117647058823,4.214285714285714,2.5,2.5,,4.75
2.0,45-54,1.0,4.0,7.0,4.6,4.75,1.0,7.0,7.75,4.0,1.8181818181818183,5.999999999999999,2.8000000000000003,4.5,1.0,1.0,5.6,8.363636363636363,5.695652173913043,4.0,7.75,8.2,10.0,7.0,1.0,6.3999999999999995,10.0,1.0,8.2,8.2,3.6666666666666665,1.0,10.0,1.0,1.0,4.0,1.0,10.0,5.5,6.625,4.0,1.0,10.0,3.5199999999999996,7.0,4.818181818181818,3.5,4.91304347826087,2.8,1.0,7.428571428571428,1.0,2.5,5.235294117647058,3.8928571428571432,1.0,1.0,1.0,4.0
1.0,19-24,5.0,4.0,8.0,3.6999999999999997,6.25,1.0,7.0,7.75,4.0,3.25,5.999999999999999,3.2,2.5,5.5,1.0,5.4,5.636363636363637,5.304347826086956,5.0,3.25,2.8,5.5,4.0,1.0,4.6,10.0,4.0,2.8,2.8,3.333333333333334,1.0,7.6000000000000005,3.25,1.0,6.25,2.125,2.125,4.375,6.625,10.0,1.0,5.5,3.1600000000000006,2.5,5.363636363636363,6.0,4.521739130434782,3.0,1.0,7.428571428571428,1.0,2.5,4.176470588235294,2.2857142857142856,1.0,1.0,4.0,4.75
1.0,45-54,5.0,4.0,8.0,7.3,6.25,1.0,4.0,3.25,4.0,2.0227272727272725,7.0,3.4,1.0,1.0,1.0,7.6,5.363636363636363,6.086956521739131,3.0,3.25,2.8,10.0,8.5,1.0,4.6,10.0,1.0,8.2,1.0,2.3333333333333335,4.6,10.0,2.125,1.0,5.5,3.25,6.625,5.5,7.75,4.0,4.0,5.5,4.24,5.5,4.818181818181818,5.5,7.2608695652173925,2.4,1.0,7.428571428571428,1.0,1.0,7.352941176470589,2.607142857142857,1.75,1.75,7.0,4.0
1.0,25-34,5.0,4.0,8.0,1.9,4.75,1.0,4.0,5.5,7.0,1.6136363636363638,5.999999999999999,1.9999999999999998,3.4999999999999996,1.0,1.0,6.4,5.909090909090908,5.304347826086956,5.999999999999999,3.25,8.2,5.5,2.5,1.0,8.2,10.0,4.0,8.2,1.0,3.333333333333334,4.6,10.0,2.125,3.25,3.25,2.125,1.0,5.5,6.625,4.0,1.0,10.0,2.44,5.5,9.181818181818182,4.5,4.91304347826087,2.4,1.0,8.714285714285715,1.0,2.5,7.882352941176471,2.2857142857142856,1.0,1.0,7.0,4.75
1.0,55-64,2.0,4.0,8.0,3.6999999999999997,7.0,1.0,4.0,7.75,4.0,2.4318181818181817,5.999999999999999,1.5999999999999999,4.0,1.0,1.0,6.0,5.636363636363637,6.8695652173913055,3.0,3.25,2.8,5.5,5.5,1.0,6.3999999999999995,10.0,7.0,8.2,2.8,2.0,1.0,8.8,2.125,1.0,3.25,3.25,3.25,5.5,6.625,4.0,1.0,5.5,3.5199999999999996,5.5,4.818181818181818,3.0,5.695652173913043,2.0,1.0,8.714285714285715,10.0,1.0,5.764705882352941,2.9285714285714284,1.0,1.75,4.0,4.0
2.0,25-34,4.0,4.0,4.0,5.5,7.0,1.0,10.0,3.25,4.0,1.0,4.0,4.0,4.0,1.0,1.0,7.2,5.909090909090908,6.086956521739131,7.0,3.25,8.2,5.5,7.0,10.0,6.3999999999999995,7.0,1.0,8.2,1.0,4.333333333333333,4.6,8.2,2.125,1.0,4.75,1.0,5.5,3.25,4.375,4.0,7.0,10.0,3.88,4.0,2.090909090909091,6.5,3.347826086956521,2.2,10.0,3.571428571428572,1.0,5.5,6.294117647058823,1.0,1.75,1.75,1.0,3.25
2.0,25-34,5.0,4.0,4.0,4.6,7.0,1.0,7.0,1.0,10.0,1.0,4.0,4.0,4.0,1.0,4.0,7.0,5.090909090909091,5.304347826086956,7.0,3.25,8.2,5.5,5.5,5.5,4.6,10.0,1.0,8.2,2.8,3.6666666666666665,4.6,10.0,2.125,3.25,5.5,1.0,6.625,2.125,4.375,1.0,1.0,1.0,2.8,7.0,8.09090909090909,5.5,3.739130434782609,2.2,10.0,4.857142857142858,1.0,7.0,4.705882352941176,1.0,1.75,1.75,4.0,4.75
2.0,55-64,2.0,4.0,4.0,4.6,6.25,1.0,4.0,5.5,4.0,1.0,4.0,4.0,4.0,1.0,1.0,7.4,5.636363636363637,4.913043478260871,7.0,3.25,8.2,5.5,4.75,1.0,2.8,8.5,1.0,10.0,1.0,3.0,6.3999999999999995,8.2,2.125,1.0,4.75,1.0,7.75,2.125,2.125,4.0,4.0,5.5,2.44,5.5,4.818181818181818,7.0,4.130434782608695,1.4,10.0,4.857142857142858,1.0,5.5,5.235294117647058,1.6428571428571428,1.75,1.75,4.0,4.75
2.0,45-54,3.0,4.0,1.0,3.6999999999999997,7.0,1.0,4.0,5.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4,5.636363636363637,5.695652173913043,7.0,3.25,8.2,10.0,6.25,1.0,8.2,10.0,1.0,8.2,2.8,4.0,4.6,9.399999999999999,2.125,1.0,4.75,2.125,4.375,2.125,4.375,4.0,7.0,5.5,2.08,4.0,4.818181818181818,5.5,4.130434782608695,2.0,10.0,1.0,1.0,7.0,6.294117647058823,1.9642857142857142,2.5,2.5,4.0,3.25
2.0,25-34,5.0,4.0,1.0,5.5,7.0,1.0,4.0,5.5,7.0,1.0,4.0,4.0,4.0,1.0,1.0,6.2,5.909090909090908,5.695652173913043,10.0,3.25,8.2,1.0,6.25,5.5,8.2,10.0,1.0,8.2,1.0,3.0,4.6,10.0,2.125,5.5,4.75,1.0,5.5,2.125,3.25,4.0,7.0,5.5,2.8,5.5,8.09090909090909,5.0,4.130434782608695,2.6,10.0,1.0,1.0,7.0,4.705882352941176,1.0,1.0,1.0,4.0,5.5
2.0,35-44,5.0,4.0,1.0,6.3999999999999995,6.25,1.0,7.0,5.5,4.0,1.0,1.0,1.0,1.0,1.0,4.0,7.2,5.636363636363637,6.086956521739131,7.0,3.25,8.2,10.0,6.25,1.0,8.2,10.0,1.0,8.2,2.8,1.6666666666666667,6.3999999999999995,10.0,2.125,1.0,7.75,1.0,5.5,3.25,4.375,1.0,1.0,10.0,3.5199999999999996,4.0,3.181818181818182,5.0,3.347826086956521,1.8,1.0,1.0,1.0,7.0,6.823529411764705,1.0,1.0,1.75,4.0,3.25
1.0,55-64,3.0,4.0,4.0,4.6,7.0,1.0,7.0,5.5,4.0,1.8181818181818183,1.0,1.0,1.0,1.0,1.0,6.2,5.363636363636363,5.695652173913043,7.0,3.25,8.2,5.5,6.25,1.0,6.3999999999999995,10.0,1.0,10.0,1.0,4.333333333333333,2.8,10.0,2.125,3.25,4.75,1.0,6.625,2.125,2.125,4.0,1.0,10.0,2.8,5.5,7.545454545454546,5.0,4.91304347826087,3.0,10.0,2.285714285714285,1.0,7.0,5.235294117647058,2.2857142857142856,1.0,1.0,4.0,4.75
1.0,55-64,3.0,4.0,10.0,5.5,6.25,1.0,4.0,5.5,4.0,5.5,1.0,1.0,1.0,1.0,4.0,4.8,6.7272727272727275,4.782608695652174,10.0,3.25,,5.5,4.75,1.0,8.2,10.0,1.0,2.8,2.8,5.666666666666668,6.3999999999999995,10.0,6.625,5.5,5.5,2.125,2.125,4.375,7.75,10.0,1.0,10.0,2.44,10.0,7.545454545454546,1.0,10.0,4.2,1.0,7.428571428571428,5.5,10.0,5.764705882352941,1.0,1.0,1.0,4.0,3.25
1.0,45-54,5.0,4.0,7.0,1.0,4.0,1.0,7.0,5.5,4.0,2.2272727272727275,7.0,4.9230769230769225,4.5,1.0,1.0,6.4,3.1818181818181817,3.347826086956521,10.0,1.0,2.8,5.5,6.25,10.0,10.0,10.0,1.0,10.0,1.0,2.3333333333333335,1.0,10.0,1.0,1.0,7.0,1.0,5.5,6.625,8.875,7.0,1.0,5.5,4.24,8.5,2.6363636363636367,5.5,4.91304347826087,2.4,1.0,10.0,10.0,10.0,8.941176470588236,2.607142857142857,1.0,1.0,1.0,1.7499999999999998
2.0,25-34,3.0,4.0,1.0,5.5,7.0,1.0,7.0,5.5,4.0,1.0,4.0,4.0,4.0,1.0,1.0,7.4,5.909090909090908,5.695652173913043,7.0,3.25,8.2,5.5,6.25,1.0,6.3999999999999995,10.0,1.0,8.2,1.0,3.333333333333334,6.3999999999999995,10.0,2.125,3.25,5.5,1.0,6.625,3.25,4.375,4.0,1.0,1.0,2.44,5.5,9.181818181818182,5.0,4.521739130434782,2.4,10.0,2.285714285714285,1.0,4.0,4.705882352941176,1.0,1.0,1.0,4.0,4.0
1.0,35-44,5.0,4.0,1.0,4.6,7.0,1.0,7.0,5.5,1.0,2.0227272727272725,4.0,4.200000000000001,4.0,1.0,4.0,6.799999999999999,6.7272727272727275,5.695652173913043,7.0,3.25,8.2,5.5,5.5,1.0,6.3999999999999995,10.0,1.0,8.2,2.8,4.0,4.6,10.0,3.25,3.25,5.5,1.0,5.5,2.125,4.375,4.0,7.0,5.5,2.44,7.0,9.181818181818182,5.5,4.91304347826087,3.4,10.0,1.0,1.0,7.0,6.823529411764705,2.2857142857142856,1.75,1.75,1.0,4.75
2.0,45-54,3.0,4.0,5.0,6.3999999999999995,4.0,1.0,7.0,3.25,7.0,4.886363636363636,4.0,4.0,4.0,1.0,1.0,6.2,6.454545454545455,4.913043478260871,10.0,7.75,8.2,5.5,6.25,1.0,8.2,10.0,1.0,8.2,8.2,3.333333333333334,1.0,10.0,1.0,1.0,7.0,2.125,6.625,3.25,2.125,10.0,4.0,5.5,2.8,7.0,7.545454545454546,7.0,5.304347826086957,3.6,1.0,7.428571428571428,5.5,7.0,6.294117647058823,3.571428571428571,10.0,10.0,7.0,7.0
2.0,25-34,2.0,4.0,4.0,8.2,6.25,1.9999999999999998,7.0,3.25,4.0,1.0,5.999999999999999,4.8,5.5,1.0,4.0,4.8,8.09090909090909,4.3478260869565215,10.0,3.25,8.2,10.0,4.75,5.5,6.3999999999999995,10.0,1.0,8.2,1.0,6.333333333333333,6.3999999999999995,10.0,2.125,1.0,4.0,3.25,3.25,4.375,7.75,4.0,4.0,10.0,2.08,7.0,7.545454545454546,4.5,8.434782608695652,3.8,10.0,4.857142857142858,1.0,10.0,9.470588235294118,1.0,1.0,1.0,4.0,5.5
1.0,,1.0,4.0,5.999999999999999,6.3999999999999995,3.25,1.0,7.0,5.5,4.0,1.0,5.0,5.199999999999999,5.999999999999999,1.0,1.0,6.2,7.0,3.739130434782609,8.0,5.5,8.2,5.5,5.5,1.0,8.2,10.0,1.0,8.2,2.8,4.0,4.6,10.0,1.0,5.5,5.5,1.0,7.75,4.375,6.625,4.0,4.0,5.5,2.08,5.5,8.636363636363637,5.5,5.695652173913043,3.6,10.0,2.285714285714285,1.0,7.0,8.411764705882351,1.0,1.0,1.0,4.0,6.25
2.0,45-54,2.0,4.0,1.0,4.6,7.0,1.0,7.0,5.5,4.0,1.0,4.0,4.8,4.0,1.0,1.0,6.4,5.090909090909091,5.695652173913043,7.0,3.25,8.2,5.5,5.5,1.0,8.2,10.0,1.0,8.2,2.8,1.0,4.6,8.2,2.125,1.0,5.5,1.0,7.75,3.25,2.125,1.0,1.0,1.0,2.8,7.0,9.181818181818182,6.0,4.521739130434782,1.8,10.0,1.0,1.0,4.0,4.176470588235294,1.6428571428571428,1.0,1.0,4.0,4.0
2.0,25-34,5.0,4.0,1.0,3.6999999999999997,7.0,1.0,4.0,5.5,4.0,2.840909090909091,4.0,5.0,4.0,1.0,4.0,6.799999999999999,4.545454545454545,4.913043478260871,7.0,3.25,8.2,5.5,6.25,1.0,8.2,10.0,1.0,8.2,1.0,5.333333333333333,2.8,9.399999999999999,2.125,3.25,4.75,1.0,3.25,3.25,4.375,10.0,1.0,1.0,2.8,5.5,8.09090909090909,5.5,6.086956521739131,3.8,10.0,1.0,1.0,7.0,7.352941176470589,2.2857142857142856,1.0,1.0,4.0,2.5
2.0,55-64,1.0,4.0,1.0,6.3999999999999995,4.75,5.0,7.0,5.5,4.0,1.0,10.0,10.0,10.0,5.5,1.0,6.4,5.636363636363637,3.739130434782609,5.0,10.0,1.0,5.5,5.5,5.5,4.6,10.0,1.0,2.8,1.0,1.0,6.3999999999999995,10.0,1.0,1.0,7.75,2.125,4.375,7.75,8.875,4.0,7.0,5.5,3.5199999999999996,10.0,8.636363636363637,5.5,5.304347826086957,2.8,10.0,6.142857142857142,5.5,5.5,9.470588235294118,1.0,1.0,1.0,4.0,8.5
