sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,65+,1.0,1.0,7.0,,7.0,1.0,4.0,5.5,4.0,1.2249999999999999,7.0,5.09090909090909,7.6000000000000005,10.0,3.25,6.58,5.0,7.6000000000000005,8.0,1.0,8.2,5.5,6.25,10.0,6.3999999999999995,10.0,1.0,2.8,2.8,3.0,2.8,10.0,1.0,1.0,4.75,1.0,7.75,2.125,4.375,7.0,7.0,10.0,3.025,4.0,1.4615384615384615,5.0,5.0,3.8,1.0,8.714285714285715,10.0,10.0,5.95,1.0,2.5,2.5,1.0,1.7499999999999998
2.0,55-64,3.0,1.0,4.0,7.3,10.0,1.0,4.0,5.5,4.0,1.45,4.0,5.704545454545454,4.75,1.0,5.5,7.4799999999999995,4.0,7.6000000000000005,9.0,3.25,8.2,1.0,6.25,10.0,4.6,10.0,1.0,8.2,1.0,1.0,2.8,8.2,1.0,1.0,4.75,1.0,8.5,3.25,4.375,10.0,1.0,10.0,4.0,7.0,1.4615384615384615,5.5,8.666666666666666,1.0,1.0,10.0,1.0,10.0,6.3999999999999995,1.0,1.0,1.0,1.0,1.7499999999999998
1.0,35-44,5.0,4.0,1.0,1.9,7.0,1.0,10.0,3.25,4.0,1.0,7.0,9.123376623376624,7.0,1.0,3.25,9.46,4.0,6.25,8.0,3.25,8.2,,9.25,10.0,8.2,10.0,1.0,8.2,2.8,5.0,1.0,7.0,1.0,10.0,1.0,2.2857142857142856,5.5,3.25,4.375,10.0,4.0,10.0,2.575,7.0,3.769230769230769,2.0,9.0,7.6,1.0,7.428571428571428,1.0,4.0,4.6,1.0,1.75,1.75,4.0,5.5
1.0,65+,1.0,1.0,1.0,1.9,7.0,1.0,4.0,5.5,1.0,1.0,1.0,4.521103896103897,5.875,1.0,3.25,10.0,2.5,8.2,7.0,1.0,2.8,10.0,5.5,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,8.2,1.0,1.0,7.0,1.0,7.75,2.125,4.375,10.0,1.0,10.0,7.75,,2.8461538461538463,6.5,6.666666666666667,1.0,1.0,10.0,10.0,5.5,7.300000000000001,1.0,1.0,1.0,1.0,1.0
1.0,65+,1.0,1.0,7.0,3.6999999999999997,7.0,1.0,4.0,5.5,4.0,2.125,7.0,7.136363636363636,5.875,5.5,3.25,7.3,3.5,7.8999999999999995,5.0,3.25,8.2,5.5,6.25,10.0,4.6,10.0,1.0,8.2,2.8,3.0,6.3999999999999995,8.8,2.125,1.0,4.0,2.2857142857142856,6.625,1.0,7.75,4.0,4.0,10.0,3.025,10.0,4.230769230769231,5.5,7.333333333333334,5.75,1.0,7.428571428571428,10.0,10.0,6.3999999999999995,1.25,1.0,1.0,1.0,4.75
2.0,19-24,5.0,4.0,3.0,1.9,9.25,2.125,7.0,5.5,1.0,1.0,5.999999999999999,4.886363636363637,6.625,1.0,3.25,9.64,3.25,7.8999999999999995,5.0,3.25,8.2,5.5,7.0,10.0,6.3999999999999995,10.0,4.0,8.2,2.8,2.6666666666666665,6.3999999999999995,10.0,4.375,10.0,6.25,3.571428571428571,10.0,1.0,7.75,10.0,4.0,10.0,2.875,7.0,3.769230769230769,7.5,7.666666666666667,2.0,1.0,10.0,,7.0,9.549999999999999,1.25,1.75,1.75,1.0,3.25
1.0,25-34,3.0,4.0,1.0,1.9,10.0,2.125,10.0,3.25,1.0,1.2249999999999999,4.0,5.295454545454546,5.125,1.0,3.25,9.28,5.0,6.3999999999999995,5.999999999999999,3.25,8.2,1.0,7.0,10.0,8.2,5.5,1.0,8.2,2.8,6.0,1.0,10.0,2.125,3.25,5.0,1.0,3.25,1.0,5.5,4.0,4.0,10.0,2.575,7.0,6.538461538461538,1.0,9.0,7.6,1.0,10.0,1.0,4.0,7.300000000000001,1.75,1.75,1.75,1.0,7.75
2.0,55-64,1.0,1.0,7.0,3.6999999999999997,10.0,1.0,4.0,3.25,4.0,1.0,7.0,5.909090909090908,6.25,1.0,3.25,7.3,4.5,7.300000000000001,5.999999999999999,5.5,2.8,5.5,5.5,10.0,4.6,10.0,1.0,2.8,1.0,2.6666666666666665,6.3999999999999995,10.0,1.0,1.0,4.75,1.0,8.875,4.375,6.625,7.0,1.0,10.0,2.575,4.0,2.8461538461538463,5.0,6.0,5.6,1.0,8.714285714285715,10.0,10.0,5.95,2.25,1.0,1.0,1.0,4.75
1.0,35-44,5.0,4.0,1.0,1.9,7.0,1.0,4.0,5.5,4.0,1.0,5.999999999999999,4.2727272727272725,6.25,10.0,5.5,10.0,2.0,9.1,5.0,5.5,8.2,1.0,7.0,10.0,8.2,8.5,4.0,10.0,2.8,4.0,6.3999999999999995,6.3999999999999995,1.0,1.0,4.75,1.0,10.0,4.375,10.0,7.0,7.0,5.5,3.025,5.5,2.3846153846153846,3.5,10.0,6.6,1.0,10.0,5.5,4.0,6.85,1.0,1.75,2.5,4.0,4.0
1.0,35-44,4.0,4.0,1.0,5.5,4.0,1.0,7.0,3.25,4.0,1.0,10.0,6.931818181818182,6.625,1.0,1.0,5.86,5.5,5.8,7.0,5.5,8.2,5.5,7.0,10.0,6.3999999999999995,10.0,1.0,8.2,8.2,4.0,1.0,9.399999999999999,1.0,1.0,4.75,1.0,10.0,3.25,2.125,7.0,4.0,10.0,2.35,7.0,6.076923076923077,5.5,5.333333333333333,4.0,,6.142857142857142,1.0,7.0,5.05,9.25,1.0,1.0,4.0,4.75
2.0,45-54,4.0,1.0,4.0,2.8,8.5,2.125,4.0,7.75,1.0,1.2249999999999999,1.9999999999999998,4.886363636363637,5.125,1.0,3.25,8.2,3.5,8.8,7.0,3.25,8.2,10.0,4.75,10.0,4.6,7.0,1.0,8.2,2.8,3.0,1.0,8.2,1.0,1.0,4.75,1.0,5.5,2.125,4.375,10.0,1.0,10.0,4.9375,,1.4615384615384615,6.0,7.333333333333334,3.8,10.0,10.0,5.5,7.0,6.3999999999999995,1.0,1.0,1.0,1.0,3.25
2.0,25-34,4.0,4.0,4.0,,,2.125,4.0,7.75,4.0,5.5,,7.63986013986014,7.0,1.0,1.0,5.5,5.25,4.0,4.0,5.5,8.2,5.5,7.0,10.0,4.6,7.0,1.0,8.2,2.8,5.0,1.0,7.0,2.125,1.0,7.0,1.0,4.375,5.5,5.5,1.0,1.0,10.0,3.25,7.0,6.076923076923077,5.0,5.0,5.0,,10.0,5.5,4.0,7.300000000000001,2.3333333333333335,1.0,1.0,4.0,4.75
2.0,45-54,3.0,4.0,4.0,2.8,6.25,1.0,4.0,7.75,4.0,1.45,4.0,5.909090909090908,6.25,1.0,3.25,5.32,6.0,7.6000000000000005,4.0,1.0,10.0,5.5,10.0,10.0,10.0,7.0,1.0,10.0,10.0,3.0,6.3999999999999995,7.0,1.0,1.0,2.5,2.2857142857142856,10.0,2.125,5.5,7.0,4.0,10.0,3.475,7.0,2.3846153846153846,5.5,7.0,4.8,10.0,7.428571428571428,10.0,7.0,6.85,1.0,1.0,1.0,4.0,2.5
1.0,55-64,2.0,4.0,7.0,2.8,6.25,1.0,4.0,5.5,4.0,1.0,5.999999999999999,4.886363636363637,5.875,1.0,3.25,6.3999999999999995,5.0,7.0,5.999999999999999,3.25,8.2,5.5,6.25,10.0,4.6,10.0,1.0,2.8,1.0,2.3333333333333335,6.3999999999999995,10.0,1.0,1.0,3.25,2.2857142857142856,10.0,5.5,5.5,10.0,1.0,10.0,2.8,5.5,4.692307692307692,5.5,5.333333333333333,5.2,1.0,10.0,10.0,10.0,6.3999999999999995,1.0,1.0,1.0,1.0,2.5
1.0,45-54,3.0,4.0,4.0,3.6999999999999997,7.0,1.0,4.0,5.5,4.0,1.2249999999999999,4.0,5.295454545454546,6.25,1.0,3.25,9.28,4.5,8.2,10.0,3.25,8.2,5.5,4.0,10.0,4.6,10.0,1.0,8.2,1.0,2.0,1.0,8.8,1.0,1.0,4.75,1.0,7.75,3.25,4.375,10.0,1.0,10.0,2.8,2.5,1.4615384615384615,5.5,7.666666666666667,1.75,1.0,7.428571428571428,1.0,7.0,7.75,1.5,1.0,1.0,4.0,3.25
2.0,25-34,5.0,1.0,4.0,1.9,8.5,2.125,7.0,3.25,4.0,1.0,5.0,5.499999999999999,5.5,1.0,3.25,9.28,4.75,6.699999999999999,1.9999999999999998,3.25,8.2,1.0,7.0,10.0,4.6,10.0,1.0,8.2,2.8,4.666666666666667,6.3999999999999995,9.399999999999999,4.375,3.25,4.0,3.571428571428571,7.75,1.0,7.75,10.0,7.0,10.0,2.35,7.0,6.076923076923077,3.0,6.333333333333333,5.4,1.0,10.0,1.0,7.0,5.05,1.5,1.0,2.5,2.5,4.75
1.0,55-64,3.0,4.0,1.0,2.8,9.0,1.0,7.0,5.5,1.0,1.0,1.0,6.931818181818182,7.375,1.0,5.5,9.82,2.5,8.5,10.0,3.25,8.2,1.0,7.0,10.0,2.8,10.0,4.0,8.2,1.0,3.0,1.0,8.2,1.0,1.0,4.75,1.0,4.375,1.0,5.5,10.0,1.0,10.0,7.75,7.0,4.692307692307692,7.0,8.333333333333334,4.25,10.0,10.0,5.5,7.0,8.2,1.0,1.0,1.0,4.0,2.5
1.0,55-64,3.0,4.0,1.0,1.9,8.5,1.0,1.0,5.5,4.0,1.9,4.0,6.727272727272727,5.5,1.0,5.5,9.46,3.0,8.5,5.0,5.5,2.8,1.0,7.0,10.0,4.6,10.0,1.0,8.2,1.0,2.3333333333333335,4.6,8.2,1.0,1.0,4.75,1.0,7.75,2.125,4.375,7.0,1.0,10.0,4.9375,7.0,4.230769230769231,8.5,8.666666666666666,4.25,1.0,10.0,10.0,7.0,7.300000000000001,1.0,1.0,1.0,4.0,1.0
1.0,25-34,5.0,4.0,5.0,8.2,7.0,3.2500000000000004,4.0,5.5,4.0,3.025,10.0,8.772727272727272,6.25,1.0,3.25,5.86,4.25,5.8,8.0,5.5,8.2,1.0,7.0,10.0,6.3999999999999995,4.0,4.0,8.2,2.8,4.0,8.2,2.1999999999999997,10.0,5.5,3.25,2.2857142857142856,8.875,3.25,7.75,1.0,10.0,10.0,2.125,4.0,7.0,8.0,8.333333333333334,2.0,1.0,8.714285714285715,1.0,10.0,9.1,1.0,1.0,1.0,1.0,4.75
2.0,55-64,3.0,4.0,1.0,1.9,5.5,1.0,4.0,7.75,1.0,1.0,4.0,5.499999999999999,5.5,1.0,3.25,5.32,3.25,7.75,10.0,1.0,8.2,5.5,4.75,10.0,4.6,10.0,1.0,2.8,1.0,2.6666666666666665,6.3999999999999995,9.399999999999999,1.0,1.0,3.25,3.571428571428571,10.0,1.0,4.375,10.0,4.0,10.0,3.025,10.0,3.3076923076923075,1.0,8.666666666666666,3.0,1.0,8.714285714285715,5.5,10.0,5.95,1.0,1.0,1.0,1.0,1.7499999999999998
2.0,25-34,5.0,4.0,7.0,1.0,7.0,1.0,7.0,5.5,1.0,2.575,4.0,3.5227272727272725,4.0,1.0,3.25,6.58,4.5,7.0,5.999999999999999,5.5,8.2,10.0,10.0,10.0,6.3999999999999995,8.5,1.0,8.2,8.2,3.0,2.8,7.6000000000000005,3.25,5.5,5.5,1.0,6.625,3.25,5.5,10.0,1.0,10.0,3.25,7.0,5.846153846153846,6.0,7.0,6.25,10.0,10.0,5.5,7.0,7.75,1.0,3.25,4.75,7.0,5.5
2.0,55-64,1.0,4.0,,,,5.500000000000001,7.0,3.25,4.0,2.8,4.0,4.630681818181818,4.0,1.0,3.25,6.3999999999999995,4.333333333333333,,7.0,1.0,2.8,5.5,5.999999999999999,1.0,2.8,7.0,1.0,2.8,1.0,3.0,6.3999999999999995,7.0,1.0,1.0,4.0,1.0,10.0,1.0,3.25,7.0,4.0,10.0,2.575,4.0,1.9230769230769231,5.0,5.0,5.6,1.0,8.714285714285715,10.0,10.0,5.05,2.0,1.0,1.0,4.0,4.75
2.0,45-54,3.0,4.0,1.0,,7.0,1.0,4.0,7.75,1.0,1.0,4.0,5.043706293706293,7.0,1.0,3.25,7.5249999999999995,3.5,8.0,10.0,1.0,8.2,5.5,7.0,10.0,8.2,10.0,4.0,8.2,1.0,4.333333333333333,8.2,10.0,1.0,3.25,2.5,2.2857142857142856,10.0,3.25,1.0,10.0,4.0,10.0,6.0625,2.5,2.8461538461538463,4.0,7.333333333333334,4.2,1.0,4.857142857142858,10.0,10.0,8.649999999999999,1.0,1.0,1.0,1.0,3.25
2.0,55-64,3.0,4.0,1.9999999999999998,5.5,4.0,3.2500000000000004,4.0,7.75,1.0,1.0,4.0,5.704545454545454,5.714285714285714,1.0,3.25,6.58,5.25,6.1000000000000005,7.0,1.0,2.8,1.0,6.25,10.0,8.2,7.0,1.0,8.2,2.8,2.0,2.8,6.3999999999999995,1.0,1.0,5.5,1.0,8.875,1.0,4.375,10.0,7.0,10.0,4.9375,4.0,2.8461538461538463,7.0,6.666666666666667,2.4,1.0,10.0,10.0,10.0,5.499999999999999,1.0,1.0,1.0,4.0,1.7499999999999998
2.0,19-24,5.0,4.0,3.0,1.9,8.5,1.0,7.0,5.5,4.0,4.375,4.0,6.5227272727272725,5.875,1.0,3.25,6.22,5.25,7.0,8.0,3.25,10.0,1.0,10.0,10.0,6.3999999999999995,7.0,4.0,10.0,10.0,5.333333333333333,4.6,8.8,4.375,5.5,6.25,1.0,4.375,1.0,5.5,10.0,4.0,10.0,1.675,10.0,5.615384615384615,3.0,8.333333333333334,7.2,1.0,10.0,10.0,10.0,7.75,1.5,1.75,2.5,1.0,4.75
1.0,25-34,5.0,4.0,5.999999999999999,8.2,6.25,1.0,4.0,5.5,4.0,8.425,4.0,8.465909090909092,8.285714285714285,1.0,3.25,7.119999999999999,7.0,4.0,7.0,5.5,2.8,1.0,6.25,10.0,10.0,4.0,4.0,8.2,1.0,7.333333333333334,6.3999999999999995,6.3999999999999995,3.25,1.0,2.5,1.0,7.75,6.625,3.25,7.0,1.0,10.0,2.8,5.5,6.076923076923077,6.0,7.333333333333334,7.0,1.0,2.285714285714285,10.0,4.0,7.75,4.25,6.25,7.75,4.0,1.7499999999999998
1.0,55-64,3.0,4.0,1.0,1.9,10.0,1.0,4.0,10.0,1.0,1.0,7.0,6.274350649350648,7.75,1.0,3.25,8.379999999999999,2.5,8.8,9.0,5.5,8.2,5.5,5.5,10.0,4.6,10.0,1.0,1.0,1.0,1.0,10.0,9.399999999999999,4.375,1.0,4.75,1.0,1.0,1.0,10.0,10.0,4.0,5.5,3.025,4.0,2.8461538461538463,5.0,9.333333333333334,3.25,1.0,8.714285714285715,10.0,10.0,8.2,1.0,1.75,1.75,1.0,1.7499999999999998
1.0,55-64,1.0,4.0,1.0,1.9,10.0,1.0,4.0,5.5,4.0,1.0,8.0,7.136363636363636,7.6000000000000005,1.0,3.25,5.7250000000000005,3.5,6.333333333333333,8.0,7.75,8.2,5.5,7.75,10.0,10.0,10.0,1.0,8.2,2.8,4.0,1.0,9.399999999999999,2.125,1.0,6.25,1.0,8.875,5.5,3.25,7.0,4.0,10.0,4.9375,,2.8461538461538463,9.0,7.333333333333334,5.5,10.0,10.0,10.0,10.0,8.2,1.0,1.0,1.0,2.5,4.75
2.0,0-18,3.0,4.0,5.999999999999999,,,1.0,7.0,3.25,7.0,1.0,4.0,2.329545454545454,,1.0,3.25,8.56,4.0,,4.0,3.25,2.8,10.0,7.0,10.0,6.3999999999999995,7.0,1.0,,2.8,3.333333333333334,8.2,7.0,2.125,1.0,3.25,2.2857142857142856,10.0,1.0,4.375,7.0,7.0,10.0,2.35,,3.769230769230769,6.5,8.0,7.333333333333334,10.0,10.0,5.5,10.0,5.7250000000000005,1.0,1.0,2.5,10.0,5.5
2.0,25-34,5.0,4.0,1.9999999999999998,1.9,10.0,1.0,4.0,5.5,4.0,1.0,4.0,4.2727272727272725,3.625,1.0,3.25,9.1,5.0,8.5,9.0,3.25,10.0,5.5,9.25,10.0,10.0,8.5,1.0,10.0,8.2,4.0,4.6,9.399999999999999,1.0,1.0,4.0,2.2857142857142856,1.0,1.0,5.5,10.0,4.0,10.0,6.0625,7.0,3.769230769230769,2.0,10.0,4.6,10.0,10.0,10.0,10.0,6.85,1.0,1.0,1.0,1.0,3.25
2.0,55-64,1.0,4.0,1.0,2.8,10.0,1.0,4.0,7.75,1.0,1.45,4.0,7.136363636363636,8.8,1.0,3.25,8.74,2.5,,7.0,3.25,8.2,10.0,6.25,10.0,4.6,10.0,4.0,8.2,1.0,2.6666666666666665,1.0,10.0,1.0,1.0,4.75,1.0,5.5,1.0,4.375,10.0,4.0,10.0,3.025,5.5,1.4615384615384615,5.0,7.333333333333334,1.3333333333333333,1.0,10.0,5.5,10.0,6.3999999999999995,1.25,1.0,1.0,4.0,3.25
2.0,45-54,3.0,4.0,4.0,1.0,7.0,1.0,4.0,5.5,4.0,1.9,4.0,7.340909090909089,8.875,10.0,3.25,7.119999999999999,5.0,6.699999999999999,4.0,5.5,2.8,5.5,8.5,10.0,8.2,8.5,1.0,8.2,1.0,2.3333333333333335,6.3999999999999995,5.8,2.125,1.0,3.25,2.2857142857142856,8.875,4.375,3.25,7.0,7.0,10.0,3.25,8.5,4.230769230769231,5.0,5.0,5.8,10.0,10.0,10.0,10.0,6.85,1.75,1.75,2.5,4.0,4.0
1.0,55-64,1.0,4.0,7.0,2.8,8.0,1.0,7.0,5.5,4.0,1.0,4.0,6.931818181818182,7.0,1.0,3.25,8.920000000000002,2.5,8.0,8.0,5.5,8.2,5.5,6.25,10.0,4.6,7.0,1.0,1.0,1.0,2.0,1.0,8.2,1.0,1.0,2.5,1.0,7.75,4.375,5.5,10.0,7.0,10.0,2.125,7.0,7.461538461538462,5.0,8.666666666666666,4.333333333333333,1.0,3.571428571428572,5.5,10.0,5.95,1.0,1.0,1.0,4.0,1.7499999999999998
2.0,65+,4.0,4.0,3.0,3.6999999999999997,6.25,1.0,4.0,7.75,1.0,1.0,5.0,5.295454545454546,4.857142857142857,1.0,3.25,7.3,3.5,8.333333333333334,7.0,3.25,8.2,5.5,6.25,1.0,4.6,10.0,4.0,1.0,2.8,3.333333333333334,8.2,8.8,2.125,1.0,6.25,1.0,5.5,1.0,6.625,10.0,4.0,5.5,2.35,5.5,2.3846153846153846,2.5,7.333333333333334,5.2,1.0,7.428571428571428,10.0,10.0,6.3999999999999995,1.5,4.0,4.0,1.0,2.5
1.0,65+,4.0,4.0,1.0,2.8,8.5,1.0,1.0,7.75,1.0,1.0,4.0,7.545454545454547,9.625,1.0,3.25,7.4799999999999995,2.5,5.199999999999999,7.0,5.5,8.2,1.0,6.25,10.0,2.8,10.0,1.0,8.2,1.0,2.3333333333333335,1.0,10.0,1.0,1.0,4.75,1.0,6.625,2.125,10.0,10.0,4.0,10.0,2.575,5.5,5.615384615384615,5.5,8.0,4.0,1.0,10.0,5.5,10.0,8.2,1.0,1.0,1.0,1.0,3.25
1.0,55-64,2.0,1.0,1.0,1.9,10.0,1.0,4.0,5.5,1.0,1.0,4.0,7.136363636363636,7.75,5.5,3.25,7.4799999999999995,5.5,8.2,7.0,3.25,8.2,1.0,7.0,10.0,4.6,10.0,1.0,8.2,2.8,2.3333333333333335,2.8,10.0,1.0,1.0,2.5,3.571428571428571,10.0,1.0,4.375,10.0,1.0,10.0,2.8,4.0,2.3846153846153846,5.5,5.0,1.6,1.0,10.0,10.0,10.0,9.549999999999999,1.0,1.0,1.0,1.0,4.0
1.0,25-34,3.0,1.0,1.0,1.9,10.0,1.0,4.0,5.5,4.0,1.0,4.0,5.499999999999999,5.5,1.0,3.25,7.84,3.5,8.5,5.0,3.25,8.2,1.0,7.0,10.0,2.8,10.0,1.0,8.2,2.8,2.3333333333333335,2.8,10.0,1.0,1.0,4.0,3.571428571428571,10.0,1.0,6.625,10.0,1.0,10.0,1.9,5.5,2.8461538461538463,5.5,6.333333333333333,2.6,10.0,10.0,1.0,7.0,7.300000000000001,1.0,1.0,1.75,1.0,3.25
1.0,65+,3.0,4.0,5.999999999999999,4.6,5.5,1.0,4.0,5.5,4.0,1.0,5.0,6.5227272727272725,5.5,1.0,3.25,7.4799999999999995,4.25,6.3999999999999995,7.0,3.25,8.2,5.5,7.0,10.0,10.0,8.5,4.0,2.8,2.8,2.3333333333333335,4.6,8.2,1.0,1.0,5.5,1.0,8.875,2.125,7.75,10.0,4.0,10.0,2.8,7.0,1.9230769230769231,6.0,7.0,4.0,1.0,7.428571428571428,10.0,10.0,6.3999999999999995,1.0,1.0,1.75,4.0,1.7499999999999998
2.0,25-34,,1.0,4.0,,,1.0,4.0,5.5,4.0,1.0,4.0,4.886363636363637,4.0,1.0,1.0,10.0,2.25,3.1428571428571423,1.0,3.25,10.0,10.0,8.5,1.0,6.3999999999999995,10.0,1.0,10.0,10.0,4.0,1.0,8.2,2.125,1.0,3.25,2.2857142857142856,8.5,7.75,5.5,10.0,7.0,5.5,2.35,5.5,3.3076923076923075,3.0,10.0,1.0,1.0,6.142857142857142,10.0,5.5,9.1,1.0,1.0,1.0,1.0,3.25
2.0,35-44,5.0,1.0,1.0,1.9,2.5,7.75,7.0,5.5,4.0,1.9,5.0,6.113636363636363,1.0,1.0,3.25,8.2,5.0,4.333333333333334,1.0,1.0,10.0,1.0,8.0,10.0,1.0,5.5,1.0,10.0,8.2,4.0,8.2,3.4,2.125,1.0,4.0,2.2857142857142856,8.875,3.25,4.375,4.0,1.0,10.0,3.025,7.0,2.3846153846153846,5.5,5.666666666666668,3.4,10.0,10.0,10.0,1.0,7.300000000000001,1.0,1.0,1.0,4.0,10.0
2.0,45-54,2.0,1.0,1.0,1.9,5.999999999999999,1.0,1.0,5.5,7.0,1.675,1.9999999999999998,3.045454545454546,1.0,1.0,1.0,8.379999999999999,3.0,5.5,1.0,10.0,8.2,5.5,4.75,1.0,4.6,5.5,1.0,10.0,2.8,4.0,6.3999999999999995,1.0,1.0,1.0,6.25,3.571428571428571,10.0,2.125,5.5,4.0,4.0,5.5,3.025,4.0,3.3076923076923075,1.0,9.0,7.2,1.0,10.0,10.0,1.0,10.0,1.0,1.75,1.75,4.0,3.25
2.0,35-44,5.0,1.0,1.0,1.9,7.0,1.0,1.0,5.5,7.0,1.0,7.0,1.409090909090909,7.0,1.0,5.5,10.0,1.0,8.666666666666666,1.0,1.0,10.0,5.5,10.0,5.5,6.3999999999999995,10.0,1.0,8.2,1.0,4.0,6.3999999999999995,10.0,1.0,3.25,8.5,4.857142857142857,5.5,2.125,6.625,1.0,1.0,5.5,3.025,1.0,2.3846153846153846,5.5,7.0,2.8,1.0,8.714285714285715,10.0,1.0,9.549999999999999,1.0,1.0,1.0,1.0,8.875
2.0,45-54,4.0,1.0,1.0,3.6999999999999997,4.0,3.2500000000000004,4.0,5.5,4.0,3.025,4.0,5.258264462809917,7.0,1.0,1.0,6.9399999999999995,4.75,5.875,1.0,1.0,2.8,5.5,6.25,1.0,2.8,8.5,1.0,10.0,2.8,4.333333333333333,1.0,5.8,3.25,1.0,7.0,2.2857142857142856,10.0,10.0,6.625,1.0,7.0,10.0,2.575,4.0,2.3846153846153846,7.5,6.333333333333333,1.0,1.0,4.6,1.0,1.0,6.3999999999999995,1.0,1.0,1.0,4.0,4.75
1.0,45-54,2.0,1.0,1.0,8.2,3.0,3.2500000000000004,4.0,5.5,4.0,2.125,4.0,6.113636363636363,7.0,1.0,3.25,8.56,3.75,4.0,1.0,1.0,8.2,10.0,5.5,1.0,8.2,10.0,1.0,2.8,2.8,1.0,1.0,7.0,2.125,1.0,3.25,2.2857142857142856,10.0,7.75,3.25,10.0,1.0,10.0,3.025,4.0,4.230769230769231,5.5,9.0,2.6666666666666665,1.0,4.857142857142858,10.0,2.5,7.300000000000001,1.0,1.0,1.0,7.0,3.25
1.0,19-24,5.0,1.0,4.0,10.0,4.0,4.375,4.0,5.5,4.0,1.0,1.0,6.4935064935064934,10.0,1.0,1.0,10.0,5.5,3.25,1.0,1.0,1.0,10.0,7.75,1.0,2.8,8.5,1.0,1.0,1.0,2.3333333333333335,1.0,7.6000000000000005,1.0,1.0,7.0,2.2857142857142856,10.0,1.0,5.5,7.0,1.0,5.5,3.025,1.0,1.0,5.5,8.666666666666666,1.0,10.0,8.714285714285715,10.0,1.0,5.499999999999999,1.0,1.0,1.0,1.0,1.0
2.0,35-44,,1.0,1.0,1.9,2.5,1.0,4.0,7.75,4.0,1.0,8.0,4.068181818181818,10.0,1.0,1.0,10.0,3.0,4.6000000000000005,1.0,1.0,10.0,1.0,7.0,1.0,2.8,10.0,1.0,10.0,10.0,4.0,1.0,10.0,1.0,3.25,5.0,2.2857142857142856,10.0,2.125,7.75,10.0,1.0,1.0,3.025,1.0,2.3846153846153846,5.0,9.333333333333334,1.0,10.0,7.428571428571428,5.5,1.0,7.300000000000001,1.0,1.0,1.75,1.0,7.0
1.0,55-64,2.0,1.0,1.9999999999999998,6.3999999999999995,5.0,1.0,4.0,5.5,4.0,2.575,4.0,5.178571428571428,7.0,1.0,3.25,8.56,2.75,7.0,4.0,3.25,2.8,1.0,5.5,10.0,2.8,10.0,4.0,8.2,2.8,3.0,4.6,10.0,3.25,1.0,7.75,2.2857142857142856,10.0,2.125,4.375,4.0,4.0,10.0,3.6999999999999997,7.0,6.076923076923077,2.5,5.666666666666668,1.0,1.0,6.142857142857142,1.0,7.0,6.3999999999999995,1.0,1.75,1.75,1.0,4.75
2.0,65+,5.0,1.0,1.0,8.2,5.0,1.0,4.0,5.5,4.0,1.9,4.0,6.274350649350648,10.0,1.0,3.25,7.84,3.0,5.8,4.0,3.25,2.8,5.5,7.0,10.0,1.0,10.0,1.0,8.2,2.8,2.5,6.3999999999999995,10.0,3.25,1.0,5.5,2.2857142857142856,10.0,1.0,3.25,4.0,4.0,10.0,2.8,7.0,4.230769230769231,4.5,8.0,1.2,1.0,6.142857142857142,1.0,7.0,8.649999999999999,1.0,1.75,1.75,1.0,4.75
