sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,35-44,3.0,4.0,1.0,4.6,6.25,1.0,4.0,5.5,7.0,7.0,5.999999999999999,4.477272727272727,4.375,1.0,1.0,3.88,8.5,4.375,1.0,1.0,2.8,5.5,6.25,10.0,2.8,10.0,1.0,8.2,2.8,2.0,6.3999999999999995,9.357142857142856,1.0,1.0,3.25,1.0,1.0,5.5,7.75,10.0,1.0,10.0,7.9230769230769225,7.0,5.2,4.5,7.4799999999999995,3.4,1.0,2.285714285714285,5.5,2.5,6.57142857142857,2.75,1.0,1.0,4.0,2.5
2.0,45-54,2.0,4.0,1.0,6.3999999999999995,4.0,10.0,4.0,5.5,4.0,3.4,4.0,3.045454545454546,4.375,1.0,1.0,4.6,7.25,3.624999999999999,4.0,3.25,2.8,1.0,3.25,10.0,6.3999999999999995,10.0,7.0,2.8,2.8,3.333333333333334,10.0,10.0,1.0,1.0,4.75,1.0,5.5,4.375,6.625,10.0,1.0,10.0,7.23076923076923,5.5,8.2,6.5,7.4799999999999995,4.0,1.0,1.0,10.0,1.0,5.285714285714286,2.5,1.0,1.0,4.0,3.25
2.0,35-44,3.0,4.0,1.0,7.3,6.25,1.0,7.0,5.5,1.0,5.4,4.0,3.045454545454546,2.875,1.0,1.0,7.3,6.75,4.375,4.0,3.25,2.8,5.5,6.25,10.0,4.6,8.5,7.0,8.2,2.8,4.333333333333333,10.0,6.7857142857142865,1.0,1.0,2.5,1.0,1.0,6.625,8.875,10.0,1.0,10.0,7.23076923076923,5.5,10.0,5.0,7.4799999999999995,5.0,1.0,4.857142857142858,1.0,1.0,6.57142857142857,2.75,1.0,1.0,4.0,3.25
1.0,55-64,1.0,4.0,1.0,6.3999999999999995,4.0,3.2500000000000004,1.0,5.5,7.0,3.6,5.999999999999999,3.659090909090909,3.25,1.0,1.0,6.58,6.0,4.375,1.0,3.25,2.8,10.0,4.75,10.0,4.6,10.0,10.0,2.8,8.2,1.6666666666666667,10.0,10.0,1.0,1.0,6.25,1.0,3.25,6.625,1.0,10.0,1.0,10.0,7.23076923076923,4.0,10.0,6.0,6.3999999999999995,2.6,1.0,1.0,5.5,1.0,4.857142857142857,2.0,1.0,1.0,7.0,2.5
2.0,35-44,2.0,4.0,1.0,7.3,4.0,1.0,1.0,5.5,10.0,3.2,4.0,4.068181818181818,4.0,1.0,1.0,6.58,7.75,4.375,1.0,3.25,2.8,10.0,2.5,10.0,6.3999999999999995,10.0,1.0,2.8,2.8,2.6666666666666665,10.0,10.0,1.0,1.0,7.0,1.0,3.25,3.25,7.75,10.0,10.0,10.0,6.538461538461538,5.5,8.2,7.5,7.4799999999999995,3.6,1.0,1.0,5.5,1.0,7.000000000000001,2.5,1.0,1.0,4.0,3.25
1.0,0-18,3.0,4.0,3.0,1.9,1.75,1.0,7.0,7.75,1.0,2.8,1.0,4.068181818181818,3.25,1.0,7.0,10.0,8.75,6.25,1.0,1.0,8.2,10.0,6.25,10.0,6.3999999999999995,10.0,4.0,8.2,2.8,5.666666666666668,4.6,9.357142857142856,1.0,1.0,4.75,4.375,5.5,3.25,8.875,10.0,7.0,10.0,5.846153846153846,4.0,4.6,3.0,10.0,4.0,1.0,4.857142857142858,10.0,2.5,8.714285714285714,2.25,1.0,1.0,7.0,2.5
1.0,25-34,3.0,4.0,1.9999999999999998,4.6,5.5,1.0,7.0,3.25,7.0,4.4,5.999999999999999,7.340909090909093,3.625,1.0,1.0,7.4799999999999995,3.75,5.875,1.0,7.75,8.2,5.5,6.25,5.5,2.8,10.0,1.0,8.2,2.8,4.666666666666667,4.6,8.714285714285715,1.0,1.0,2.5,2.125,10.0,5.5,5.5,4.0,7.0,10.0,6.538461538461538,7.0,3.4000000000000004,1.0,4.6,4.6,1.0,7.428571428571428,10.0,2.5,7.000000000000001,4.75,3.25,4.0,10.0,3.25
1.0,55-64,2.0,4.0,9.0,5.5,4.0,3.2500000000000004,7.0,3.25,4.0,2.8,4.0,2.0227272727272725,2.125,5.5,4.0,5.5,10.0,5.499999999999999,1.9999999999999998,10.0,8.2,1.0,4.0,10.0,1.0,7.0,4.0,8.2,8.2,7.0,1.0,8.714285714285715,1.0,1.0,6.25,2.125,2.125,1.0,5.5,7.0,7.0,10.0,6.538461538461538,5.5,3.4000000000000004,4.0,5.32,6.4,1.0,4.857142857142858,1.0,1.0,8.714285714285714,5.5,3.25,2.5,7.0,1.0
2.0,25-34,5.0,4.0,7.0,9.1,6.25,1.0,7.0,5.5,1.0,1.0,4.0,3.863636363636364,2.125,1.0,1.0,8.56,3.25,4.375,1.0,1.0,2.8,5.5,5.5,10.0,6.3999999999999995,7.0,4.0,10.0,1.0,1.0,1.0,5.500000000000001,5.5,1.0,6.25,1.0,10.0,3.25,10.0,7.0,7.0,5.5,7.23076923076923,4.0,4.0,4.0,10.0,2.0,1.0,6.142857142857142,5.5,1.0,8.285714285714285,2.5,6.625,5.5,4.0,1.7499999999999998
2.0,55-64,2.0,4.0,4.0,10.0,4.0,1.0,1.0,5.5,7.0,2.8,3.0,1.4090909090909092,1.0,1.0,1.0,10.0,3.25,3.999999999999999,1.0,3.25,8.2,5.5,4.75,10.0,6.3999999999999995,8.5,7.0,2.8,8.2,1.0,6.3999999999999995,8.714285714285715,1.0,1.0,3.25,2.125,5.5,1.0,3.25,7.0,7.0,10.0,3.769230769230769,4.0,1.5999999999999999,1.0,10.0,4.6,1.0,4.857142857142858,1.0,1.0,9.142857142857142,1.0,1.0,1.75,4.0,3.25
1.0,25-34,2.0,4.0,1.0,6.3999999999999995,4.75,1.0,1.0,7.75,4.0,3.2,4.0,4.068181818181818,4.0,1.0,1.0,7.84,6.0,3.624999999999999,1.9999999999999998,3.25,2.8,1.0,8.5,10.0,4.6,10.0,4.0,2.8,2.8,2.3333333333333335,10.0,9.357142857142856,1.0,1.0,7.0,1.0,1.0,3.25,8.875,10.0,7.0,10.0,7.23076923076923,7.0,8.2,5.0,7.119999999999998,3.6,1.0,1.0,10.0,1.0,5.714285714285714,2.5,1.0,1.0,4.0,3.25
2.0,35-44,2.0,4.0,1.0,7.3,4.0,1.0,4.0,5.5,7.0,2.6,4.0,4.068181818181818,3.625,1.0,1.0,6.76,7.75,2.875,1.0,1.0,2.8,5.5,5.5,10.0,4.6,10.0,1.0,1.0,1.0,2.3333333333333335,4.6,9.357142857142856,1.0,1.0,7.0,1.0,5.5,5.5,7.75,10.0,7.0,10.0,6.538461538461538,4.0,8.2,6.5,7.4799999999999995,4.2,1.0,2.285714285714285,5.5,1.0,6.57142857142857,3.0,1.0,1.0,4.0,1.0
2.0,25-34,3.0,4.0,1.0,7.3,4.0,1.0,1.0,5.5,7.0,2.6,4.0,4.068181818181818,4.0,1.0,1.0,5.68,8.0,5.125,1.0,3.25,2.8,10.0,5.5,10.0,4.6,10.0,4.0,2.8,2.8,2.3333333333333335,4.6,9.357142857142856,1.0,1.0,7.0,1.0,5.5,4.375,8.875,10.0,7.0,10.0,7.9230769230769225,7.0,8.2,6.5,7.4799999999999995,4.2,1.0,3.571428571428572,1.0,1.0,7.000000000000001,2.5,1.0,1.0,4.0,2.5
1.0,25-34,5.0,4.0,1.0,5.5,4.75,1.0,4.0,7.75,4.0,3.6,4.0,4.068181818181818,2.875,1.0,1.0,6.039999999999999,8.0,4.375,1.0,1.0,2.8,5.5,3.25,10.0,4.6,10.0,4.0,2.8,2.8,3.0,2.8,9.357142857142856,1.0,1.0,7.0,1.0,5.5,3.25,7.75,10.0,10.0,10.0,7.9230769230769225,5.5,8.2,6.5,7.119999999999998,4.6,1.0,3.571428571428572,5.5,1.0,6.57142857142857,2.75,1.0,1.0,4.0,1.7499999999999998
2.0,45-54,2.0,4.0,1.0,6.3999999999999995,5.5,1.0,7.0,5.5,1.0,3.6,4.0,4.068181818181818,3.25,1.0,1.0,6.76,5.5,4.375,1.0,1.0,2.8,5.5,3.25,10.0,2.8,10.0,7.0,2.8,2.8,2.3333333333333335,10.0,8.714285714285715,1.0,1.0,7.0,1.0,5.5,5.5,7.75,10.0,7.0,10.0,6.538461538461538,5.5,8.2,6.5,7.119999999999998,4.6,1.0,2.285714285714285,1.0,1.0,6.57142857142857,2.25,1.0,1.0,7.0,1.7499999999999998
1.0,55-64,2.0,4.0,7.0,5.5,,1.0,4.0,7.75,4.0,3.0,1.9999999999999998,3.659090909090909,4.75,1.0,1.0,5.5,3.25,4.375,1.9999999999999998,3.25,2.8,5.5,3.25,10.0,4.6,8.5,4.0,1.0,2.8,6.0,6.3999999999999995,8.714285714285715,1.0,1.0,5.5,2.125,7.75,3.25,3.25,10.0,7.0,10.0,6.538461538461538,7.0,5.2,5.0,6.039999999999999,6.0,1.0,2.285714285714285,5.5,4.0,6.57142857142857,5.75,1.0,1.0,4.0,2.5
2.0,45-54,1.0,4.0,7.0,5.5,7.0,10.0,4.0,7.75,1.0,1.0,1.0,3.454545454545455,4.0,1.0,4.0,6.58,7.75,4.375,1.0,3.25,8.2,10.0,4.75,10.0,10.0,10.0,4.0,2.8,2.8,1.0,4.6,10.0,1.0,1.0,4.75,2.125,3.25,3.25,6.625,10.0,7.0,10.0,7.23076923076923,1.0,3.4000000000000004,10.0,10.0,4.6,1.0,4.857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25
1.0,25-34,1.0,4.0,7.0,5.5,4.0,7.75,4.0,7.75,1.0,3.0,1.0,1.8181818181818181,2.2857142857142856,1.0,4.0,3.34,6.5,4.375,1.0,3.25,1.0,5.5,5.5,10.0,6.3999999999999995,8.5,1.0,8.2,2.8,4.333333333333333,10.0,10.0,1.0,1.0,7.0,3.25,10.0,2.125,8.875,10.0,7.0,5.5,7.23076923076923,2.5,2.2,7.0,7.839999999999999,3.0,1.0,6.142857142857142,1.0,7.0,6.57142857142857,6.0,1.0,1.0,7.0,1.7499999999999998
2.0,0-18,3.0,4.0,7.0,5.5,4.0,1.0,7.0,5.5,4.0,2.0,4.0,4.6818181818181825,4.0,1.0,1.0,5.5,4.75,4.375,1.0,1.0,2.8,10.0,3.25,10.0,4.6,7.0,4.0,8.2,1.0,4.333333333333333,1.0,6.142857142857142,1.0,1.0,3.25,1.0,1.0,1.0,7.75,10.0,7.0,10.0,3.769230769230769,7.0,6.3999999999999995,7.0,6.759999999999999,4.4,1.0,8.714285714285715,5.5,4.0,6.57142857142857,3.0,1.0,1.0,7.0,3.25
