sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,35-44,5.0,4.0,5.0,5.5,4.0,1.9999999999999998,4.0,3.25,1.0,1.0,3.0,1.9999999999999998,7.0,1.0,4.6,5.5,3.0,4.6000000000000005,4.0,3.25,8.2,5.5,6.25,10.0,8.2,10.0,4.0,2.8,8.2,1.0,10.0,10.0,4.375,7.75,1.75,1.0,10.0,3.25,1.0,4.0,1.0,5.5,1.75,4.0,2.2857142857142856,3.5,3.5,1.0,1.0,7.428571428571428,1.0,5.5,4.0,1.0,1.0,1.0,1.0,3.25
1.0,25-34,5.0,4.0,10.0,7.3,1.0,5.0,4.0,10.0,1.0,1.0,8.0,3.8,2.875,1.0,4.6,7.3,9.5,4.214285714285714,4.0,1.0,1.0,1.0,1.0,10.0,8.2,4.0,7.0,1.0,2.8,1.0,10.0,4.0,6.625,10.0,10.0,6.625,5.5,3.25,7.75,5.5,1.0,5.5,2.8,1.0,1.4285714285714284,10.0,10.0,1.0,1.0,4.857142857142858,1.0,10.0,6.0,1.0,10.0,10.0,4.0,1.0
1.0,19-24,5.0,4.0,10.0,7.3,1.0,5.0,4.0,7.75,4.0,1.0,5.0,3.0,3.25,1.0,4.6,7.3,6.25,4.214285714285714,1.0,1.0,1.0,5.5,4.0,1.0,8.2,4.0,1.0,1.0,2.8,1.0,10.0,3.4,6.625,10.0,3.25,1.0,1.0,10.0,7.75,5.5,1.0,1.0,2.2,1.0,1.4285714285714284,5.0,4.333333333333333,1.0,10.0,6.142857142857142,5.5,4.0,5.333333333333333,1.0,2.5,2.5,4.0,2.5
1.0,55-64,5.0,4.0,8.0,6.3999999999999995,4.0,3.0,4.0,7.75,4.0,4.6,1.9999999999999998,1.9999999999999998,1.75,1.0,4.6,6.22,5.5,7.107142857142858,4.0,1.0,1.0,5.5,6.25,10.0,10.0,7.0,4.0,1.0,2.8,4.0,8.2,9.399999999999999,2.125,1.0,2.5,3.25,5.5,3.25,6.625,5.5,7.0,10.0,2.8,2.5,2.2857142857142856,3.5,10.0,1.0,1.0,6.142857142857142,5.5,2.5,6.333333333333333,5.5,1.75,1.75,1.0,3.25
2.0,55-64,3.0,4.0,,10.0,1.0,1.0,7.0,7.75,1.0,1.0,1.9999999999999998,1.5999999999999999,1.0,1.0,4.6,10.0,7.75,3.057142857142858,4.0,3.25,10.0,,6.25,10.0,8.2,,1.0,2.8,2.8,1.0,10.0,1.0,5.5,1.0,4.0,5.5,5.5,4.375,10.0,5.5,4.0,10.0,2.8,,1.0,6.0,10.0,1.0,1.0,7.428571428571428,5.5,8.5,6.333333333333333,1.0,1.0,1.0,1.0,4.0
2.0,35-44,5.0,4.0,,6.3999999999999995,2.5,1.9999999999999998,4.0,5.5,4.0,2.0,1.0,1.5999999999999999,1.0,1.0,2.8,6.3999999999999995,7.75,6.5285714285714285,4.0,1.0,1.0,,5.5,1.0,10.0,,1.0,1.0,1.0,1.0,10.0,1.0,5.5,1.0,4.0,5.5,4.375,5.5,10.0,5.5,4.0,5.5,2.8,,1.6428571428571428,8.0,10.0,1.0,1.0,6.142857142857142,5.5,8.5,6.333333333333333,1.0,1.0,1.0,1.0,1.7499999999999998
1.0,45-54,5.0,4.0,5.0,6.3999999999999995,4.75,3.0,4.0,7.75,1.0,2.4,7.0,3.8,2.5,1.0,2.8,5.86,4.5,8.071428571428573,1.0,1.0,2.8,5.5,5.5,10.0,6.3999999999999995,10.0,1.0,1.0,2.8,2.0,2.8,9.399999999999999,1.0,1.0,5.5,1.0,4.375,5.5,4.375,5.5,1.0,10.0,2.8,4.0,1.8571428571428572,5.0,6.333333333333333,1.75,1.0,7.428571428571428,1.0,4.0,4.666666666666667,3.75,1.75,1.75,1.0,4.75
2.0,35-44,5.0,4.0,5.999999999999999,,1.9999999999999998,4.0,7.0,5.5,1.0,,1.9999999999999998,1.9999999999999998,1.0,5.5,2.8,,6.5,4.214285714285714,1.9999999999999998,1.0,1.0,1.0,1.9999999999999998,10.0,8.2,,4.0,8.2,8.2,,10.0,,1.0,1.0,6.25,2.125,5.5,4.375,7.75,5.5,1.0,5.5,2.8,,1.8571428571428572,,7.0,,10.0,8.714285714285715,5.5,,4.666666666666667,,1.75,1.75,1.0,1.0
1.0,65+,5.0,4.0,5.0,6.3999999999999995,5.5,4.0,4.0,5.5,4.0,1.0,1.0,1.0,3.25,1.0,4.6,5.32,7.75,7.685714285714286,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,1.0,1.0,10.0,10.0,3.25,1.0,3.25,8.875,1.0,5.5,10.0,7.0,1.0,10.0,2.8,1.0,4.428571428571429,1.0,10.0,1.0,1.0,7.428571428571428,5.5,1.0,7.0,1.0,1.0,1.0,1.0,4.0
2.0,25-34,2.0,4.0,9.0,1.9,5.5,4.0,7.0,3.25,7.0,6.4,5.0,4.0,9.625,1.0,4.6,7.3,3.25,9.228571428571428,4.0,1.0,8.2,5.5,3.25,10.0,6.3999999999999995,10.0,7.0,1.0,1.0,4.0,8.2,9.399999999999999,4.375,3.25,1.0,5.5,1.0,7.75,6.625,2.5,4.0,5.5,2.8,1.0,7.000000000000001,1.0,10.0,1.0,1.0,7.428571428571428,5.5,4.0,7.0,3.25,4.75,4.75,1.0,2.5
