sexo,escol,Tam_loc,agg_attitudes_toward_foreigners_in_mexico,agg_emigration_intention_likelihood,agg_perceived_opportunity_structure
2.0,3.0,1.0,2.5,2.5,7.75
1.0,3.0,2.0,2.833333333333333,3.25,8.3125
2.0,3.0,2.0,2.1666666666666665,2.875,7.75
2.0,3.0,2.0,3.9999999999999996,2.5,8.875
1.0,3.0,2.0,2.666666666666667,3.625,8.3125
1.0,3.0,4.0,1.9999999999999998,2.125,7.1875
1.0,3.0,4.0,2.1666666666666665,2.125,8.03125
2.0,3.0,1.0,1.3333333333333333,1.75,7.75
1.0,3.0,4.0,3.0,1.75,8.875
1.0,3.0,2.0,1.8333333333333333,3.25,8.875
1.0,3.0,1.0,4.5,2.5,7.75
2.0,3.0,2.0,3.9999999999999996,2.5,8.3125
2.0,3.0,1.0,2.1666666666666665,4.375,9.71875
2.0,3.0,1.0,2.1666666666666665,4.375,9.71875
2.0,3.0,1.0,4.833333333333333,5.5,7.75
1.0,3.0,1.0,1.6666666666666665,1.75,7.75
1.0,3.0,2.0,2.333333333333333,2.5,8.875
2.0,3.0,1.0,4.166666666666667,1.375,9.4375
1.0,3.0,4.0,3.333333333333333,2.875,7.75
1.0,3.0,4.0,1.4999999999999998,2.5,9.4375
1.0,3.0,1.0,1.9999999999999998,1.375,8.03125
1.0,3.0,2.0,2.833333333333333,1.75,8.3125
1.0,3.0,4.0,2.1666666666666665,1.375,7.75
1.0,3.0,1.0,1.6666666666666665,1.75,9.4375
1.0,3.0,2.0,1.6666666666666665,1.75,7.75
2.0,3.0,1.0,3.6666666666666665,1.375,9.4375
1.0,3.0,1.0,2.1666666666666665,2.125,8.03125
1.0,3.0,2.0,2.833333333333333,2.125,7.46875
1.0,3.0,2.0,3.333333333333333,2.5,7.75
2.0,3.0,1.0,1.9999999999999998,1.75,8.59375
2.0,4.0,1.0,1.8333333333333333,1.75,9.71875
2.0,4.0,1.0,2.1666666666666665,2.5,10.0
1.0,3.0,1.0,1.8333333333333333,1.375,8.59375
2.0,4.0,2.0,1.9999999999999998,3.25,8.875
2.0,3.0,2.0,2.1666666666666665,1.375,9.4375
1.0,3.0,1.0,1.9999999999999998,1.75,10.0
1.0,4.0,1.0,2.333333333333333,3.25,8.875
1.0,3.0,2.0,1.6666666666666665,1.0,8.59375
2.0,4.0,2.0,3.833333333333334,3.625,8.875
1.0,2.0,1.0,1.8333333333333333,1.375,8.59375
2.0,4.0,1.0,1.8333333333333333,1.375,8.875
2.0,4.0,1.0,1.9999999999999998,2.5,8.3125
1.0,4.0,3.0,1.3333333333333333,5.125,8.875
2.0,4.0,2.0,1.8333333333333333,1.75,8.3125
2.0,4.0,1.0,1.4999999999999998,2.125,8.3125
1.0,4.0,1.0,1.6666666666666665,2.125,9.71875
2.0,4.0,1.0,1.6666666666666665,3.25,6.34375
1.0,4.0,2.0,2.1666666666666665,2.125,7.75
2.0,4.0,1.0,3.1666666666666665,2.5,9.71875
2.0,4.0,1.0,2.1666666666666665,1.375,8.875
2.0,4.0,1.0,2.5,3.625,8.59375
1.0,4.0,1.0,1.6666666666666665,1.375,8.3125
1.0,4.0,1.0,2.1666666666666665,2.875,8.03125
2.0,5.0,1.0,2.333333333333333,4.375,10.0
2.0,5.0,1.0,2.666666666666667,4.375,10.0
2.0,5.0,1.0,2.1666666666666665,1.0,8.875
2.0,5.0,1.0,3.4999999999999996,1.75,10.0
1.0,5.0,1.0,3.333333333333333,2.125,10.0
1.0,5.0,1.0,2.333333333333333,1.75,8.59375
1.0,5.0,2.0,3.0,4.375,10.0
1.0,5.0,2.0,3.0,4.375,10.0
1.0,5.0,1.0,3.0,4.375,10.0
1.0,5.0,1.0,3.0,4.375,10.0
2.0,5.0,2.0,1.3333333333333333,2.5,7.75
1.0,5.0,3.0,2.1666666666666665,1.375,7.75
1.0,5.0,1.0,2.666666666666667,1.75,8.875
1.0,1.0,1.0,1.6666666666666665,2.125,8.875
2.0,1.0,2.0,3.0,2.875,7.46875
1.0,1.0,3.0,10.0,10.0,1.0
2.0,1.0,4.0,3.1666666666666665,2.125,6.625
2.0,1.0,2.0,4.833333333333333,2.875,7.46875
2.0,1.0,1.0,2.5,2.5,7.1875
1.0,1.0,1.0,1.8333333333333333,1.375,9.4375
2.0,1.0,3.0,1.9999999999999998,2.875,7.46875
1.0,1.0,3.0,1.8333333333333333,2.125,6.625
1.0,1.0,2.0,3.6666666666666665,3.25,7.46875
2.0,1.0,3.0,1.4999999999999998,1.375,7.75
2.0,1.0,4.0,1.9999999999999998,3.25,7.1875
2.0,1.0,1.0,1.8333333333333333,2.5,8.03125
2.0,1.0,1.0,1.6666666666666665,2.875,8.03125
2.0,1.0,1.0,3.4999999999999996,2.125,7.75
2.0,1.0,1.0,1.9999999999999998,1.75,8.875
2.0,1.0,1.0,3.4999999999999996,2.875,8.875
2.0,1.0,1.0,3.333333333333333,4.375,8.03125
1.0,1.0,1.0,4.166666666666667,2.875,8.3125
2.0,1.0,3.0,2.333333333333333,2.125,6.90625
1.0,1.0,2.0,1.9999999999999998,2.5,9.4375
1.0,1.0,3.0,3.9999999999999996,2.125,8.875
1.0,1.0,1.0,1.8333333333333333,2.5,8.3125
2.0,1.0,3.0,2.666666666666667,3.25,8.59375
1.0,1.0,4.0,3.4999999999999996,1.75,6.625
2.0,1.0,2.0,2.5,2.875,7.75
2.0,1.0,1.0,2.333333333333333,2.125,7.75
1.0,1.0,1.0,1.4999999999999998,1.375,9.15625
2.0,1.0,1.0,4.333333333333334,2.5,9.4375
2.0,1.0,1.0,2.5,2.875,8.03125
2.0,1.0,1.0,3.6666666666666665,2.5,8.875
2.0,1.0,4.0,1.8333333333333333,2.125,6.90625
1.0,1.0,1.0,1.8333333333333333,2.5,8.59375
1.0,3.0,2.0,1.6666666666666665,1.75,7.75
1.0,3.0,3.0,6.333333333333333,4.75,8.875
1.0,3.0,1.0,1.8333333333333333,1.75,9.71875
2.0,3.0,1.0,1.8333333333333333,1.375,8.59375
2.0,3.0,3.0,1.8333333333333333,2.5,7.46875
1.0,3.0,1.0,2.666666666666667,1.75,9.15625
2.0,3.0,3.0,1.8333333333333333,1.75,8.3125
2.0,3.0,3.0,1.6666666666666665,2.125,7.46875
2.0,3.0,1.0,4.333333333333334,2.125,7.75
1.0,3.0,2.0,2.5,2.5,8.03125
1.0,3.0,2.0,1.6666666666666665,3.25,6.625
1.0,3.0,2.0,2.5,1.75,7.75
2.0,3.0,4.0,3.9999999999999996,5.5,5.21875
2.0,3.0,1.0,1.3333333333333333,2.125,10.0
2.0,3.0,1.0,1.6666666666666665,2.125,8.59375
2.0,3.0,4.0,1.6666666666666665,1.75,8.3125
2.0,3.0,4.0,1.8333333333333333,2.5,7.1875
2.0,3.0,4.0,1.6666666666666665,2.5,7.75
1.0,3.0,1.0,1.4999999999999998,2.5,8.875
2.0,3.0,4.0,1.9999999999999998,4.375,7.75
2.0,3.0,3.0,1.9999999999999998,2.5,8.3125
2.0,3.0,2.0,3.4999999999999996,1.75,10.0
2.0,3.0,3.0,3.9999999999999996,2.5,7.1875
2.0,3.0,2.0,3.4999999999999996,2.125,7.75
2.0,3.0,1.0,2.5,2.5,7.75
1.0,3.0,1.0,2.833333333333333,3.25,8.3125
1.0,3.0,2.0,2.333333333333333,2.125,8.875
2.0,3.0,4.0,1.9999999999999998,2.5,7.1875
2.0,3.0,1.0,1.6666666666666665,1.75,8.875
2.0,3.0,1.0,2.5,2.125,8.3125
2.0,3.0,1.0,2.333333333333333,3.25,7.75
2.0,3.0,1.0,2.333333333333333,3.25,7.75
2.0,3.0,2.0,1.6666666666666665,3.25,7.46875
2.0,3.0,1.0,2.1666666666666665,2.5,6.90625
1.0,3.0,1.0,2.333333333333333,1.375,8.3125
1.0,3.0,4.0,1.6666666666666665,2.875,9.71875
2.0,3.0,2.0,3.0,3.25,6.90625
2.0,3.0,1.0,2.1666666666666665,2.5,6.90625
1.0,3.0,4.0,2.833333333333333,2.125,6.90625
2.0,3.0,4.0,2.5,2.875,9.15625
2.0,3.0,1.0,1.6666666666666665,2.5,7.75
2.0,3.0,1.0,1.9999999999999998,2.5,8.875
2.0,3.0,3.0,1.8333333333333333,2.5,6.90625
2.0,3.0,1.0,1.4999999999999998,2.125,7.75
2.0,3.0,4.0,2.5,1.75,8.03125
2.0,3.0,1.0,2.1666666666666665,3.25,7.46875
2.0,3.0,1.0,1.8333333333333333,1.75,8.3125
2.0,3.0,1.0,2.333333333333333,1.75,8.59375
2.0,3.0,1.0,2.5,1.375,9.71875
1.0,3.0,3.0,1.6666666666666665,3.25,7.75
1.0,3.0,3.0,1.3333333333333333,1.75,7.1875
2.0,3.0,3.0,2.5,2.5,7.1875
1.0,3.0,2.0,1.9999999999999998,3.25,6.90625
1.0,3.0,1.0,3.833333333333334,2.125,7.75
1.0,3.0,4.0,2.333333333333333,3.25,8.59375
2.0,3.0,1.0,2.1666666666666665,2.5,7.46875
2.0,3.0,1.0,1.9999999999999998,2.125,7.75
2.0,3.0,4.0,3.1666666666666665,1.75,8.03125
2.0,3.0,4.0,1.8333333333333333,1.375,9.15625
1.0,3.0,4.0,1.9999999999999998,1.75,8.59375
2.0,3.0,4.0,2.1666666666666665,3.25,8.3125
2.0,3.0,1.0,5.166666666666666,5.125,8.875
1.0,3.0,1.0,5.000000000000001,2.875,8.59375
2.0,3.0,1.0,3.0,3.625,8.3125
1.0,3.0,1.0,1.9999999999999998,1.75,8.59375
1.0,3.0,1.0,3.6666666666666665,3.625,8.875
1.0,3.0,2.0,4.666666666666667,2.125,8.3125
2.0,3.0,1.0,1.8333333333333333,2.5,6.625
1.0,3.0,4.0,3.1666666666666665,2.125,7.46875
2.0,3.0,1.0,4.666666666666667,2.875,7.75
2.0,3.0,1.0,8.666666666666666,3.25,6.625
1.0,3.0,2.0,2.333333333333333,2.875,7.46875
1.0,3.0,2.0,1.9999999999999998,2.5,8.03125
2.0,3.0,1.0,2.333333333333333,2.875,7.75
1.0,3.0,1.0,3.6666666666666665,6.625,8.59375
2.0,3.0,2.0,3.4999999999999996,2.875,7.46875
2.0,3.0,1.0,1.9999999999999998,2.125,6.90625
1.0,3.0,1.0,1.8333333333333333,2.5,8.03125
2.0,3.0,1.0,1.9999999999999998,1.375,8.03125
2.0,3.0,1.0,2.333333333333333,1.0,7.75
1.0,3.0,1.0,1.9999999999999998,1.75,7.75
2.0,3.0,1.0,1.8333333333333333,3.25,9.15625
2.0,3.0,1.0,2.1666666666666665,2.875,9.15625
2.0,3.0,1.0,3.833333333333334,2.125,8.59375
1.0,3.0,1.0,3.333333333333333,2.125,6.625
1.0,3.0,3.0,2.1666666666666665,2.125,8.875
2.0,3.0,3.0,2.5,3.25,7.75
1.0,3.0,1.0,2.1666666666666665,1.75,8.03125
2.0,3.0,1.0,1.6666666666666665,2.125,7.75
2.0,3.0,1.0,1.4999999999999998,1.75,7.75
1.0,3.0,4.0,2.1666666666666665,3.25,9.15625
1.0,3.0,4.0,2.666666666666667,1.75,7.75
1.0,3.0,4.0,2.1666666666666665,2.5,9.4375
1.0,3.0,2.0,2.333333333333333,2.125,7.46875
2.0,3.0,2.0,1.3333333333333333,1.75,7.1875
2.0,3.0,1.0,1.6666666666666665,2.125,9.71875
1.0,3.0,1.0,1.6666666666666665,2.5,7.1875
2.0,3.0,4.0,1.8333333333333333,2.125,7.75
2.0,3.0,4.0,2.1666666666666665,2.125,8.3125
2.0,3.0,1.0,3.0,3.25,8.875
1.0,3.0,4.0,2.1666666666666665,1.75,8.875
1.0,3.0,1.0,3.0,5.125,8.875
1.0,3.0,1.0,2.666666666666667,2.125,7.1875
1.0,3.0,1.0,1.8333333333333333,3.25,7.75
1.0,3.0,3.0,2.833333333333333,2.875,7.1875
1.0,3.0,3.0,1.8333333333333333,1.0,7.75
2.0,3.0,1.0,3.6666666666666665,2.5,8.3125
2.0,3.0,3.0,1.8333333333333333,1.375,7.46875
1.0,3.0,3.0,3.1666666666666665,1.75,7.75
2.0,3.0,2.0,2.333333333333333,3.25,7.75
2.0,3.0,1.0,1.9999999999999998,3.25,9.4375
2.0,3.0,1.0,1.8333333333333333,2.125,8.03125
2.0,3.0,1.0,1.9999999999999998,1.75,8.3125
1.0,3.0,1.0,1.4999999999999998,2.5,8.03125
2.0,3.0,1.0,2.1666666666666665,2.5,8.03125
1.0,3.0,1.0,1.8333333333333333,2.125,7.75
1.0,3.0,3.0,2.833333333333333,2.875,7.75
2.0,3.0,1.0,1.9999999999999998,2.125,9.4375
1.0,3.0,2.0,1.6666666666666665,5.125,6.625
2.0,3.0,1.0,3.833333333333334,2.875,8.59375
1.0,3.0,3.0,1.9999999999999998,2.125,8.875
1.0,3.0,3.0,1.9999999999999998,2.875,8.875
1.0,3.0,3.0,2.666666666666667,2.5,8.59375
2.0,3.0,3.0,1.3333333333333333,2.875,8.875
2.0,3.0,3.0,1.4999999999999998,2.5,8.3125
2.0,3.0,3.0,1.6666666666666665,3.25,8.875
1.0,3.0,2.0,3.1666666666666665,2.5,8.3125
2.0,3.0,2.0,4.333333333333334,4.375,8.3125
2.0,3.0,2.0,4.333333333333334,2.875,7.1875
2.0,3.0,2.0,1.6666666666666665,2.875,7.1875
1.0,3.0,2.0,3.0,2.125,8.3125
2.0,3.0,2.0,2.833333333333333,2.5,8.3125
1.0,3.0,2.0,2.333333333333333,2.5,8.59375
1.0,3.0,2.0,2.833333333333333,2.875,8.3125
2.0,3.0,1.0,2.333333333333333,2.5,4.65625
2.0,3.0,3.0,1.9999999999999998,3.25,8.03125
2.0,3.0,1.0,3.333333333333333,1.75,7.46875
1.0,3.0,1.0,1.8333333333333333,3.25,6.90625
1.0,3.0,1.0,1.9999999999999998,2.5,8.03125
2.0,3.0,3.0,2.1666666666666665,1.75,8.3125
1.0,3.0,3.0,1.9999999999999998,3.25,7.75
2.0,3.0,1.0,1.8333333333333333,2.875,8.875
2.0,3.0,1.0,1.3333333333333333,3.25,10.0
1.0,3.0,1.0,1.4999999999999998,2.5,8.875
2.0,3.0,3.0,3.1666666666666665,1.75,8.03125
2.0,3.0,2.0,1.6666666666666665,2.5,9.4375
2.0,3.0,2.0,5.500000000000001,2.875,8.875
2.0,3.0,4.0,2.833333333333333,3.625,9.15625
2.0,3.0,3.0,1.9999999999999998,2.5,8.03125
2.0,3.0,1.0,1.8333333333333333,3.25,8.875
2.0,3.0,1.0,2.333333333333333,2.875,8.03125
2.0,3.0,2.0,3.6666666666666665,6.625,10.0
2.0,3.0,2.0,3.6666666666666665,6.625,10.0
2.0,3.0,1.0,1.6666666666666665,2.5,7.75
2.0,3.0,1.0,1.8333333333333333,2.875,7.75
2.0,3.0,1.0,1.8333333333333333,2.125,7.75
2.0,3.0,1.0,1.4999999999999998,2.5,7.75
2.0,3.0,1.0,1.6666666666666665,3.25,7.46875
2.0,3.0,1.0,1.4999999999999998,2.875,8.59375
2.0,3.0,1.0,1.8333333333333333,3.25,7.46875
1.0,3.0,1.0,1.8333333333333333,2.5,7.46875
1.0,3.0,2.0,1.8333333333333333,2.125,9.15625
2.0,3.0,2.0,3.4999999999999996,1.75,10.0
2.0,3.0,1.0,3.0,3.25,6.90625
2.0,3.0,1.0,3.0,2.875,8.3125
1.0,3.0,1.0,1.8333333333333333,3.25,7.1875
2.0,3.0,2.0,4.166666666666667,2.875,7.46875
1.0,3.0,2.0,1.1666666666666665,1.75,7.75
2.0,3.0,2.0,3.6666666666666665,4.75,1.0
1.0,3.0,1.0,1.9999999999999998,1.375,7.75
2.0,3.0,1.0,1.8333333333333333,2.875,7.75
2.0,3.0,1.0,2.333333333333333,1.375,8.3125
2.0,3.0,1.0,1.9999999999999998,2.125,8.59375
2.0,3.0,1.0,2.666666666666667,3.25,6.90625
1.0,3.0,2.0,2.5,2.875,8.875
1.0,3.0,1.0,2.1666666666666665,3.25,7.1875
1.0,3.0,1.0,1.8333333333333333,2.125,8.875
1.0,3.0,1.0,1.4999999999999998,2.5,7.1875
1.0,3.0,4.0,3.9999999999999996,2.875,7.75
2.0,3.0,1.0,3.833333333333334,2.125,7.75
1.0,3.0,1.0,1.9999999999999998,2.125,7.75
2.0,3.0,1.0,2.1666666666666665,3.25,8.03125
2.0,3.0,1.0,1.8333333333333333,2.5,7.75
2.0,3.0,1.0,3.1666666666666665,3.25,8.03125
2.0,3.0,2.0,3.6666666666666665,2.875,6.34375
1.0,3.0,2.0,2.666666666666667,3.25,8.59375
1.0,3.0,2.0,2.5,3.25,6.90625
2.0,3.0,1.0,3.0,3.25,8.875
2.0,3.0,1.0,2.5,2.5,8.3125
2.0,3.0,1.0,3.1666666666666665,1.375,8.875
1.0,3.0,1.0,2.1666666666666665,2.875,9.15625
2.0,3.0,4.0,1.9999999999999998,2.875,7.75
1.0,3.0,3.0,2.333333333333333,1.375,7.75
2.0,3.0,1.0,3.0,2.5,8.59375
1.0,3.0,4.0,3.333333333333333,1.75,9.4375
1.0,3.0,3.0,1.9999999999999998,1.375,6.625
1.0,3.0,1.0,2.833333333333333,2.875,9.71875
2.0,3.0,2.0,2.833333333333333,3.25,6.90625
2.0,3.0,1.0,1.9999999999999998,1.0,8.3125
1.0,3.0,1.0,2.1666666666666665,1.75,8.875
1.0,3.0,2.0,1.8333333333333333,2.125,7.46875
2.0,3.0,3.0,1.8333333333333333,2.125,7.1875
2.0,3.0,1.0,2.666666666666667,3.25,7.75
2.0,3.0,2.0,2.833333333333333,1.75,7.1875
2.0,3.0,3.0,2.833333333333333,1.375,8.875
2.0,3.0,3.0,2.333333333333333,1.75,8.03125
1.0,3.0,1.0,1.3333333333333333,1.375,7.46875
2.0,3.0,3.0,1.9999999999999998,2.5,8.875
1.0,3.0,1.0,3.4999999999999996,2.125,8.875
2.0,3.0,1.0,2.333333333333333,1.75,7.46875
1.0,3.0,1.0,1.4999999999999998,2.5,7.75
1.0,3.0,1.0,3.0,2.875,8.3125
2.0,3.0,1.0,3.9999999999999996,2.875,8.03125
2.0,3.0,2.0,2.333333333333333,1.0,6.625
2.0,3.0,1.0,5.000000000000001,5.125,7.46875
2.0,3.0,1.0,1.6666666666666665,2.125,7.46875
1.0,3.0,2.0,2.333333333333333,2.125,8.03125
2.0,3.0,2.0,3.1666666666666665,2.875,8.03125
1.0,3.0,1.0,2.333333333333333,1.375,9.15625
1.0,3.0,1.0,1.3333333333333333,2.875,9.15625
1.0,3.0,2.0,4.5,3.25,8.03125
2.0,3.0,2.0,1.3333333333333333,3.25,8.3125
2.0,3.0,2.0,1.4999999999999998,1.0,9.4375
2.0,3.0,1.0,1.8333333333333333,2.125,7.1875
2.0,3.0,3.0,1.8333333333333333,1.75,7.75
1.0,3.0,1.0,1.8333333333333333,4.0,8.875
1.0,3.0,1.0,3.0,2.125,8.3125
1.0,3.0,2.0,2.833333333333333,2.125,8.875
1.0,3.0,1.0,2.1666666666666665,3.25,8.59375
2.0,3.0,1.0,1.4999999999999998,2.5,8.3125
2.0,3.0,1.0,1.8333333333333333,2.5,8.875
1.0,3.0,1.0,1.6666666666666665,1.75,8.03125
1.0,3.0,1.0,1.4999999999999998,1.375,9.4375
1.0,3.0,1.0,1.9999999999999998,1.375,6.625
2.0,3.0,2.0,3.6666666666666665,2.5,7.46875
1.0,3.0,1.0,2.1666666666666665,1.0,7.75
1.0,3.0,4.0,1.9999999999999998,2.5,7.75
2.0,3.0,4.0,1.6666666666666665,2.125,8.875
2.0,3.0,1.0,3.0,1.75,8.875
1.0,3.0,2.0,2.666666666666667,2.875,7.1875
2.0,3.0,1.0,2.1666666666666665,3.25,7.46875
1.0,3.0,3.0,1.9999999999999998,2.125,8.59375
1.0,3.0,1.0,1.6666666666666665,2.5,8.3125
2.0,3.0,1.0,2.833333333333333,4.375,7.75
1.0,3.0,3.0,1.9999999999999998,1.75,8.59375
1.0,3.0,3.0,3.0,1.75,9.4375
2.0,3.0,3.0,1.9999999999999998,2.875,9.15625
1.0,3.0,2.0,3.1666666666666665,1.375,10.0
1.0,3.0,1.0,1.9999999999999998,2.125,7.75
2.0,3.0,4.0,2.5,2.125,7.46875
2.0,3.0,4.0,5.000000000000001,2.125,7.46875
1.0,3.0,3.0,1.8333333333333333,1.375,7.75
2.0,3.0,1.0,2.5,1.375,7.75
1.0,3.0,3.0,1.6666666666666665,1.375,7.75
2.0,3.0,1.0,1.9999999999999998,2.125,9.15625
2.0,3.0,4.0,3.1666666666666665,1.0,9.15625
1.0,3.0,4.0,2.333333333333333,1.375,8.3125
1.0,3.0,4.0,2.333333333333333,2.875,6.90625
