sexo,escol,Tam_loc,agg_authoritarian_security_tradeoff,agg_institutional_trust_justice,agg_perceived_discrimination_social_exclusion,agg_rights_awareness_personal_experience,agg_social_rights_service_quality
2.0,3.0,1.0,4.0,5.05,3.6999999999999997,1.375,8.5
2.0,3.0,1.0,4.75,4.15,2.575,1.75,8.125
2.0,5.0,1.0,5.5,3.7,3.25,2.125,7.75
2.0,3.0,1.0,3.625,6.4,2.575,4.375,7.375
1.0,3.0,1.0,4.75,4.15,2.8,1.375,8.875
1.0,4.0,4.0,2.125,4.15,2.8,1.75,8.875
1.0,1.0,4.0,4.75,6.85,3.25,4.375,7.0
2.0,3.0,1.0,3.625,4.6,2.8,1.0,9.25
1.0,4.0,1.0,4.0,3.7,2.35,1.75,8.5
2.0,4.0,3.0,3.625,3.7,2.575,1.0,7.0
2.0,2.0,1.0,3.625,6.85,2.35,2.125,10.0
1.0,4.0,1.0,4.75,3.7,4.825,1.75,9.25
2.0,3.0,3.0,4.0,4.15,1.675,2.125,6.625
1.0,3.0,3.0,4.0,4.6,2.575,2.125,9.625
2.0,2.0,2.0,4.0,2.8,2.35,1.75,7.75
2.0,3.0,1.0,4.375,4.6,2.125,2.125,8.125
2.0,3.0,4.0,4.375,3.7,2.575,1.75,8.5
2.0,4.0,2.0,3.625,4.15,2.35,2.125,7.375
2.0,3.0,1.0,5.875,4.6,2.8,1.75,7.75
2.0,5.0,1.0,4.75,3.7,3.025,1.75,8.125
2.0,3.0,1.0,3.625,2.8,2.35,1.75,7.375
1.0,4.0,1.0,4.375,4.15,4.825,2.125,7.75
1.0,3.0,1.0,4.0,2.35,2.35,2.125,5.5
1.0,1.0,4.0,4.0,4.6,2.575,1.75,7.375
2.0,3.0,2.0,4.0,4.15,2.35,1.375,8.125
2.0,3.0,2.0,3.625,3.25,3.025,1.0,8.875
2.0,3.0,1.0,3.25,3.7,2.575,1.75,7.375
2.0,4.0,1.0,4.375,3.7,2.125,4.375,8.125
2.0,4.0,3.0,4.0,3.7,3.025,2.125,7.75
2.0,5.0,1.0,4.0,3.7,2.125,4.0,8.125
2.0,4.0,1.0,3.625,5.05,2.125,1.375,8.5
1.0,4.0,1.0,4.0,3.7,2.575,1.75,8.5
2.0,1.0,4.0,3.625,5.05,2.575,2.125,7.75
1.0,4.0,1.0,3.625,4.15,2.35,1.75,8.875
2.0,2.0,1.0,3.625,4.15,2.8,2.125,8.125
2.0,4.0,1.0,2.5,4.15,2.125,2.125,9.25
2.0,4.0,1.0,4.375,4.15,2.575,2.125,8.5
2.0,4.0,4.0,3.625,6.4,2.35,1.75,8.5
1.0,3.0,1.0,4.0,3.7,2.575,2.125,8.5
1.0,5.0,4.0,6.25,3.7,1.45,1.75,8.125
1.0,1.0,4.0,3.625,3.7,2.125,2.125,8.875
1.0,2.0,4.0,4.375,4.6,3.9250000000000003,2.125,7.75
2.0,3.0,4.0,3.625,4.15,2.35,1.75,8.125
2.0,3.0,4.0,4.0,4.6,3.6999999999999997,1.375,8.5
1.0,1.0,4.0,3.25,4.6,4.6,4.375,8.125
1.0,4.0,1.0,4.375,5.05,2.575,2.125,9.25
1.0,3.0,1.0,2.125,4.15,1.45,1.375,8.125
1.0,5.0,3.0,3.25,3.7,2.125,1.75,8.125
1.0,1.0,4.0,3.25,4.6,3.6999999999999997,4.375,7.75
2.0,2.0,3.0,4.0,3.7,1.9,2.125,7.375
2.0,4.0,1.0,4.375,4.15,2.575,1.75,8.875
1.0,4.0,1.0,2.125,4.15,1.9,2.125,9.25
2.0,4.0,4.0,3.25,3.7,5.2749999999999995,2.125,8.5
1.0,3.0,4.0,4.0,3.25,2.575,2.125,7.75
2.0,2.0,1.0,2.125,4.15,1.9,2.125,9.25
2.0,3.0,1.0,1.0,5.05,2.125,2.125,8.875
2.0,5.0,1.0,4.75,5.05,2.575,1.0,8.5
2.0,5.0,1.0,3.625,3.7,2.35,1.75,9.625
1.0,4.0,2.0,3.625,4.6,2.125,2.125,8.875
2.0,2.0,1.0,3.25,3.7,2.125,1.375,8.875
1.0,3.0,4.0,3.25,3.25,2.35,2.125,9.25
2.0,4.0,1.0,4.0,3.25,4.15,1.375,9.25
2.0,2.0,1.0,2.875,5.05,2.35,1.75,8.125
2.0,1.0,1.0,2.875,4.15,2.575,1.75,7.75
2.0,3.0,3.0,2.875,4.6,2.575,2.125,7.0
1.0,4.0,2.0,1.75,4.6,4.6,2.125,8.875
2.0,4.0,3.0,3.625,3.25,2.35,1.375,7.0
2.0,3.0,2.0,2.875,4.6,3.9250000000000003,2.125,8.5
