sexo,escol,Tam_loc,agg_climate_change_risk_perception,agg_environmental_knowledge_self_efficacy,agg_environmental_problem_salience,agg_pro_environmental_civic_engagement
2.0,1.0,2.0,1.0,,2.6875,8.875
1.0,2.0,3.0,1.0,2.8620689655172415,4.375,8.875
1.0,5.0,1.0,1.0,7.8275862068965525,2.6875,9.15625
1.0,3.0,1.0,1.0,8.137931034482758,3.8125,9.4375
1.0,2.0,1.0,1.0,7.517241379310345,3.25,9.4375
1.0,4.0,1.0,1.0,7.517241379310345,3.25,9.15625
1.0,4.0,1.0,2.125,8.137931034482758,3.8125,9.4375
2.0,4.0,1.0,2.125,8.137931034482758,3.25,9.4375
1.0,3.0,1.0,1.0,6.586206896551724,2.6875,9.15625
1.0,4.0,1.0,2.125,8.137931034482758,4.375,9.15625
2.0,4.0,1.0,1.0,8.137931034482758,4.9375,7.75
2.0,4.0,1.0,2.125,8.758620689655173,2.6875,9.4375
1.0,4.0,1.0,1.0,8.137931034482758,2.125,8.875
2.0,4.0,1.0,1.0,7.517241379310345,3.8125,9.15625
1.0,5.0,1.0,1.0,4.413793103448276,5.5,8.875
1.0,3.0,3.0,1.0,6.586206896551724,3.8125,8.875
1.0,5.0,2.0,1.0,5.0344827586206895,5.5,8.875
2.0,2.0,1.0,2.125,6.275862068965518,4.9375,8.875
2.0,4.0,1.0,2.125,8.137931034482758,7.1875,8.875
2.0,4.0,1.0,1.0,1.0,2.125,8.875
1.0,5.0,1.0,2.125,7.8275862068965525,3.8125,8.875
2.0,2.0,1.0,1.0,5.344827586206897,3.25,8.875
1.0,3.0,1.0,2.125,6.586206896551724,5.5,8.875
1.0,4.0,1.0,2.125,2.5517241379310347,4.375,8.875
2.0,4.0,1.0,2.125,7.517241379310345,4.375,8.875
2.0,2.0,2.0,3.25,3.1724137931034484,6.0625,8.875
1.0,4.0,2.0,1.0,8.448275862068966,2.125,8.875
1.0,2.0,2.0,3.25,,2.125,8.875
1.0,3.0,1.0,2.125,7.206896551724138,2.125,3.53125
2.0,2.0,1.0,1.0,7.517241379310345,5.5,7.46875
1.0,3.0,1.0,2.125,4.724137931034483,3.8125,8.875
2.0,1.0,4.0,1.0,4.103448275862069,5.5,8.875
2.0,4.0,3.0,2.125,5.655172413793104,3.8125,8.875
2.0,3.0,3.0,2.125,6.8965517241379315,,8.875
2.0,3.0,3.0,10.0,4.413793103448276,2.6875,8.875
2.0,4.0,3.0,1.0,7.8275862068965525,3.25,8.875
1.0,4.0,1.0,1.0,5.344827586206897,6.0625,8.875
2.0,5.0,3.0,1.0,8.758620689655173,3.8125,8.875
1.0,3.0,1.0,3.25,5.655172413793104,2.125,8.875
2.0,1.0,3.0,2.125,5.655172413793104,2.6875,8.875
1.0,3.0,3.0,2.125,5.344827586206897,3.25,9.15625
2.0,3.0,4.0,1.0,5.9655172413793105,2.125,8.875
2.0,5.0,1.0,2.125,8.758620689655173,6.0625,9.15625
2.0,4.0,1.0,1.0,1.6206896551724137,2.6875,8.875
2.0,2.0,4.0,3.25,,4.9375,8.875
2.0,4.0,3.0,2.125,7.8275862068965525,6.0625,8.875
1.0,4.0,1.0,2.125,7.8275862068965525,5.5,9.15625
2.0,4.0,1.0,1.0,8.448275862068966,3.25,9.15625
1.0,3.0,2.0,3.25,6.586206896551724,2.6875,8.875
2.0,4.0,1.0,1.0,7.517241379310345,2.6875,9.15625
2.0,3.0,1.0,2.125,,3.25,8.875
2.0,3.0,4.0,2.125,5.9655172413793105,4.9375,8.875
2.0,2.0,3.0,2.125,6.8965517241379315,1.5625,9.15625
2.0,2.0,4.0,2.125,4.724137931034483,2.6875,8.875
1.0,4.0,3.0,1.0,5.344827586206897,5.5,9.15625
1.0,3.0,4.0,1.0,5.655172413793104,2.125,8.875
1.0,4.0,1.0,1.0,6.8965517241379315,4.375,8.875
2.0,4.0,1.0,1.0,7.8275862068965525,5.5,8.875
1.0,2.0,3.0,1.0,6.275862068965518,3.25,8.875
1.0,3.0,1.0,2.125,6.8965517241379315,,8.875
1.0,3.0,1.0,1.0,5.0344827586206895,5.5,9.15625
2.0,2.0,1.0,3.25,4.413793103448276,3.8125,8.875
1.0,3.0,1.0,2.125,4.103448275862069,1.0,8.875
1.0,1.0,1.0,2.125,5.344827586206897,3.8125,8.875
1.0,2.0,3.0,1.0,,7.75,8.875
2.0,1.0,1.0,2.125,,8.875,8.875
2.0,2.0,1.0,2.125,6.586206896551724,1.5625,8.875
1.0,3.0,3.0,3.25,5.655172413793104,,8.875
1.0,4.0,2.0,2.125,,4.375,8.875
1.0,3.0,1.0,2.125,7.8275862068965525,3.25,8.875
2.0,2.0,1.0,1.0,,2.125,5.5
1.0,4.0,1.0,1.0,6.8965517241379315,8.875,9.15625
1.0,2.0,2.0,1.0,6.586206896551724,5.5,9.15625
1.0,3.0,3.0,3.25,6.275862068965518,,8.875
2.0,4.0,1.0,1.0,8.137931034482758,1.5625,8.875
1.0,4.0,1.0,1.0,5.9655172413793105,3.25,8.875
1.0,4.0,1.0,3.25,8.137931034482758,2.125,8.875
1.0,3.0,3.0,1.0,5.9655172413793105,3.8125,8.875
1.0,4.0,2.0,1.0,4.103448275862069,3.25,8.875
2.0,1.0,1.0,1.0,7.206896551724138,6.0625,8.875
1.0,3.0,1.0,1.0,6.8965517241379315,1.5625,8.875
1.0,4.0,2.0,1.0,3.793103448275862,6.0625,8.875
2.0,4.0,2.0,2.125,7.517241379310345,3.25,9.71875
2.0,2.0,1.0,2.125,6.8965517241379315,2.6875,8.875
2.0,3.0,1.0,2.125,6.586206896551724,4.9375,8.875
2.0,5.0,1.0,1.0,7.8275862068965525,3.8125,8.875
2.0,2.0,3.0,1.0,6.275862068965518,2.6875,8.875
1.0,3.0,1.0,2.125,5.9655172413793105,2.125,8.875
2.0,4.0,1.0,1.0,8.448275862068966,4.375,10.0
1.0,4.0,1.0,2.125,5.655172413793104,2.125,8.875
1.0,4.0,3.0,1.0,5.9655172413793105,4.375,8.875
2.0,4.0,1.0,1.0,3.793103448275862,6.0625,8.875
1.0,3.0,4.0,1.0,7.517241379310345,3.25,8.875
2.0,5.0,1.0,1.0,5.655172413793104,2.125,8.875
2.0,3.0,2.0,2.125,7.8275862068965525,2.125,9.4375
1.0,5.0,1.0,1.0,6.586206896551724,4.375,10.0
2.0,2.0,4.0,1.0,5.9655172413793105,5.5,8.875
1.0,1.0,4.0,1.0,5.9655172413793105,5.5,8.875
2.0,4.0,2.0,2.125,8.137931034482758,3.8125,9.15625
1.0,3.0,3.0,1.0,7.517241379310345,3.25,8.875
2.0,2.0,4.0,1.0,6.586206896551724,3.25,9.4375
1.0,3.0,1.0,1.0,6.275862068965518,3.25,8.875
2.0,2.0,1.0,1.0,7.517241379310345,2.125,8.875
2.0,2.0,3.0,1.0,,3.25,9.71875
2.0,3.0,1.0,1.0,6.8965517241379315,2.6875,9.4375
2.0,3.0,1.0,2.125,8.137931034482758,3.25,8.875
2.0,3.0,1.0,2.125,7.206896551724138,4.375,9.15625
2.0,4.0,4.0,1.0,5.9655172413793105,3.25,9.15625
1.0,4.0,3.0,2.125,4.413793103448276,2.6875,9.15625
1.0,4.0,2.0,2.125,7.206896551724138,1.5625,8.875
1.0,3.0,4.0,1.0,4.724137931034483,4.9375,8.875
1.0,3.0,4.0,2.125,7.206896551724138,3.25,8.875
1.0,1.0,2.0,2.125,1.6206896551724137,2.6875,8.875
2.0,2.0,1.0,1.0,,6.0625,8.875
2.0,2.0,1.0,3.25,7.206896551724138,2.125,8.875
2.0,3.0,4.0,1.0,1.0,3.8125,8.875
1.0,4.0,1.0,1.0,4.413793103448276,5.5,8.875
1.0,4.0,1.0,1.0,5.655172413793104,3.8125,8.875
2.0,3.0,2.0,1.0,7.206896551724138,3.8125,8.875
2.0,1.0,1.0,1.0,5.9655172413793105,3.25,9.15625
2.0,3.0,3.0,2.125,4.413793103448276,2.6875,8.875
1.0,3.0,1.0,1.0,5.655172413793104,3.25,8.875
1.0,3.0,1.0,3.25,7.517241379310345,4.9375,8.875
1.0,3.0,2.0,1.0,6.275862068965518,2.125,8.875
2.0,2.0,4.0,1.0,8.137931034482758,1.5625,8.875
2.0,2.0,1.0,1.0,8.448275862068966,3.25,8.875
2.0,3.0,3.0,1.0,5.9655172413793105,2.125,8.875
2.0,3.0,1.0,2.125,4.724137931034483,2.6875,8.875
2.0,3.0,4.0,1.0,5.655172413793104,2.6875,8.875
1.0,4.0,4.0,1.0,8.448275862068966,2.125,8.875
2.0,2.0,1.0,3.25,8.758620689655173,2.125,8.875
2.0,3.0,2.0,1.0,2.5517241379310347,2.6875,8.875
2.0,5.0,1.0,1.0,5.655172413793104,4.9375,8.875
1.0,4.0,1.0,1.0,6.275862068965518,,8.875
1.0,4.0,1.0,1.0,6.586206896551724,1.5625,8.875
1.0,4.0,4.0,1.0,5.9655172413793105,2.6875,8.875
1.0,4.0,1.0,3.25,6.586206896551724,5.5,8.875
1.0,5.0,3.0,2.125,6.8965517241379315,3.25,8.875
1.0,2.0,4.0,1.0,5.9655172413793105,3.8125,9.15625
2.0,2.0,4.0,1.0,5.9655172413793105,3.8125,9.15625
1.0,5.0,3.0,1.0,6.275862068965518,3.8125,8.875
2.0,4.0,2.0,2.125,5.655172413793104,3.25,8.875
2.0,3.0,2.0,1.0,6.586206896551724,4.9375,8.875
2.0,2.0,1.0,1.0,6.586206896551724,2.6875,9.15625
1.0,3.0,1.0,3.25,6.586206896551724,6.0625,8.875
2.0,3.0,1.0,1.0,6.586206896551724,2.6875,8.875
1.0,5.0,1.0,1.0,8.137931034482758,6.625,9.71875
2.0,3.0,1.0,1.0,5.9655172413793105,4.9375,8.875
1.0,3.0,3.0,8.875,6.586206896551724,4.375,8.875
1.0,4.0,1.0,3.25,,2.6875,8.875
1.0,5.0,1.0,1.0,10.0,3.25,9.4375
2.0,3.0,1.0,1.0,7.8275862068965525,2.6875,8.875
1.0,3.0,1.0,2.125,7.517241379310345,1.5625,8.875
1.0,3.0,4.0,2.125,,2.6875,8.875
1.0,1.0,1.0,1.0,7.8275862068965525,1.5625,9.71875
2.0,2.0,3.0,1.0,,6.0625,8.875
1.0,5.0,2.0,1.0,8.448275862068966,2.125,8.875
1.0,4.0,1.0,2.125,3.1724137931034484,7.1875,8.875
1.0,4.0,1.0,1.0,7.517241379310345,2.6875,8.875
2.0,4.0,2.0,2.125,7.8275862068965525,7.1875,8.875
2.0,5.0,2.0,1.0,7.8275862068965525,3.25,8.875
1.0,3.0,4.0,1.0,6.586206896551724,1.5625,8.875
1.0,3.0,1.0,1.0,5.655172413793104,3.25,8.875
2.0,3.0,1.0,1.0,3.4827586206896552,6.625,8.875
2.0,3.0,1.0,2.125,7.206896551724138,2.125,8.875
2.0,4.0,1.0,1.0,7.517241379310345,4.9375,8.875
2.0,2.0,3.0,2.125,5.344827586206897,2.6875,8.875
1.0,5.0,1.0,1.0,4.413793103448276,5.5,8.875
1.0,2.0,1.0,1.0,7.517241379310345,1.5625,8.875
2.0,1.0,3.0,2.125,4.724137931034483,2.6875,8.875
1.0,3.0,2.0,1.0,3.793103448275862,5.5,8.875
1.0,3.0,1.0,2.125,8.758620689655173,2.6875,8.875
2.0,4.0,1.0,2.125,6.275862068965518,2.6875,8.875
2.0,4.0,1.0,2.125,5.9655172413793105,6.625,8.875
1.0,4.0,3.0,1.0,6.8965517241379315,7.1875,8.875
2.0,3.0,1.0,1.0,4.103448275862069,3.25,8.875
1.0,5.0,1.0,2.125,6.8965517241379315,4.375,8.875
2.0,2.0,2.0,1.0,,3.25,9.4375
2.0,5.0,1.0,1.0,5.0344827586206895,2.125,9.15625
1.0,2.0,2.0,2.125,4.103448275862069,3.8125,8.875
1.0,5.0,3.0,1.0,8.758620689655173,6.625,10.0
1.0,5.0,1.0,3.25,8.448275862068966,3.8125,8.875
2.0,4.0,1.0,1.0,2.5517241379310347,3.25,9.15625
2.0,2.0,1.0,1.0,4.413793103448276,6.0625,9.4375
2.0,4.0,1.0,1.0,1.0,4.9375,9.15625
1.0,4.0,1.0,2.125,4.103448275862069,4.375,8.875
2.0,3.0,1.0,1.0,5.9655172413793105,2.125,8.875
2.0,1.0,1.0,1.0,7.8275862068965525,2.6875,9.71875
1.0,2.0,1.0,1.0,3.4827586206896552,2.6875,2.125
1.0,3.0,4.0,2.125,5.655172413793104,2.125,8.875
2.0,4.0,1.0,2.125,8.137931034482758,5.5,9.15625
1.0,4.0,1.0,2.125,6.8965517241379315,3.8125,8.875
1.0,4.0,1.0,1.0,7.206896551724138,6.0625,7.1875
2.0,3.0,1.0,1.0,6.8965517241379315,5.5,8.875
2.0,3.0,2.0,1.0,6.586206896551724,3.25,8.875
1.0,3.0,1.0,1.0,,3.25,8.875
2.0,4.0,1.0,2.125,8.758620689655173,1.5625,8.875
1.0,3.0,1.0,8.875,7.8275862068965525,4.375,8.875
2.0,3.0,1.0,2.125,4.413793103448276,2.6875,8.875
1.0,3.0,1.0,1.0,6.8965517241379315,7.1875,9.15625
1.0,1.0,3.0,1.0,,,8.875
1.0,2.0,2.0,1.0,9.379310344827587,2.125,10.0
2.0,4.0,1.0,2.125,7.8275862068965525,4.9375,8.875
2.0,3.0,1.0,1.0,6.8965517241379315,5.5,9.4375
1.0,2.0,1.0,2.125,6.275862068965518,3.8125,8.875
1.0,3.0,3.0,1.0,8.448275862068966,4.9375,9.15625
2.0,2.0,4.0,1.0,8.137931034482758,3.25,9.15625
2.0,1.0,4.0,1.0,8.758620689655173,2.125,8.875
1.0,2.0,4.0,2.125,,2.125,9.4375
2.0,3.0,3.0,1.0,1.6206896551724137,2.125,8.875
2.0,1.0,3.0,2.125,6.586206896551724,2.125,9.15625
2.0,4.0,1.0,2.125,7.206896551724138,2.6875,9.15625
1.0,4.0,4.0,1.0,8.448275862068966,2.6875,8.875
1.0,5.0,2.0,1.0,7.517241379310345,3.25,9.71875
1.0,3.0,1.0,1.0,5.0344827586206895,3.25,8.875
1.0,3.0,1.0,3.25,8.448275862068966,3.25,8.875
2.0,2.0,3.0,2.125,1.9310344827586208,1.5625,9.15625
1.0,2.0,3.0,2.125,3.1724137931034484,4.9375,8.875
2.0,4.0,2.0,2.125,8.448275862068966,2.125,8.875
1.0,3.0,2.0,1.0,8.137931034482758,2.125,9.71875
1.0,1.0,1.0,1.0,1.0,2.125,8.875
2.0,4.0,1.0,2.125,4.413793103448276,3.8125,8.875
1.0,4.0,3.0,1.0,6.275862068965518,3.8125,9.4375
1.0,4.0,1.0,1.0,4.724137931034483,3.25,8.875
2.0,4.0,1.0,3.25,3.793103448275862,4.9375,8.875
2.0,3.0,1.0,1.0,3.793103448275862,6.0625,8.875
1.0,4.0,1.0,1.0,7.517241379310345,6.0625,7.1875
1.0,3.0,1.0,1.0,5.655172413793104,5.5,8.875
2.0,4.0,1.0,1.0,7.8275862068965525,1.5625,9.15625
2.0,1.0,3.0,1.0,3.4827586206896552,6.625,8.875
1.0,1.0,1.0,1.0,,4.9375,8.875
2.0,4.0,1.0,1.0,6.275862068965518,3.25,8.875
2.0,4.0,1.0,2.125,7.206896551724138,2.6875,8.875
1.0,3.0,1.0,1.0,6.8965517241379315,5.5,8.875
1.0,1.0,1.0,2.125,6.586206896551724,4.9375,9.4375
1.0,3.0,1.0,3.25,7.517241379310345,4.9375,8.875
1.0,2.0,1.0,2.125,8.137931034482758,6.0625,8.875
2.0,4.0,1.0,2.125,8.137931034482758,2.125,8.875
2.0,3.0,4.0,1.0,6.586206896551724,3.25,8.875
1.0,2.0,3.0,2.125,3.793103448275862,4.375,8.875
1.0,1.0,1.0,3.25,6.586206896551724,3.25,8.875
2.0,4.0,1.0,1.0,4.103448275862069,2.6875,9.15625
2.0,4.0,1.0,2.125,5.0344827586206895,1.5625,8.875
2.0,2.0,4.0,2.125,2.8620689655172415,2.6875,8.875
2.0,3.0,3.0,1.0,3.4827586206896552,2.6875,8.875
2.0,4.0,1.0,1.0,5.0344827586206895,4.375,8.875
2.0,3.0,1.0,1.0,,7.1875,9.15625
2.0,3.0,2.0,1.0,5.9655172413793105,4.375,8.875
2.0,3.0,2.0,1.0,7.8275862068965525,3.8125,8.875
2.0,3.0,1.0,1.0,5.0344827586206895,2.125,8.875
2.0,1.0,1.0,1.0,4.724137931034483,2.125,8.875
1.0,5.0,2.0,2.125,8.448275862068966,3.25,9.71875
1.0,4.0,3.0,8.875,5.344827586206897,3.25,8.875
1.0,3.0,4.0,1.0,5.655172413793104,2.125,8.875
1.0,3.0,1.0,1.0,5.655172413793104,2.6875,8.875
1.0,4.0,1.0,3.25,7.517241379310345,6.0625,8.875
2.0,1.0,4.0,1.0,8.448275862068966,2.6875,8.875
2.0,5.0,2.0,3.25,3.4827586206896552,2.6875,8.875
1.0,4.0,1.0,1.0,,1.5625,8.875
1.0,3.0,3.0,8.875,4.724137931034483,4.375,8.875
2.0,3.0,1.0,2.125,5.9655172413793105,3.25,7.46875
2.0,3.0,1.0,2.125,5.9655172413793105,3.25,7.46875
2.0,3.0,2.0,1.0,7.206896551724138,2.6875,8.875
1.0,3.0,1.0,1.0,7.8275862068965525,5.5,8.875
1.0,3.0,1.0,1.0,5.0344827586206895,3.25,9.71875
1.0,4.0,3.0,3.25,7.8275862068965525,5.5,8.875
1.0,1.0,1.0,3.25,6.8965517241379315,2.125,8.875
1.0,2.0,1.0,1.0,5.9655172413793105,4.375,8.875
2.0,4.0,1.0,1.0,5.344827586206897,5.5,8.875
2.0,3.0,1.0,1.0,5.9655172413793105,2.6875,8.875
2.0,3.0,1.0,1.0,6.275862068965518,3.25,8.875
1.0,2.0,2.0,2.125,8.137931034482758,2.6875,9.71875
2.0,4.0,2.0,1.0,,5.5,8.875
1.0,5.0,1.0,3.25,6.275862068965518,2.125,8.875
1.0,3.0,1.0,1.0,5.9655172413793105,6.0625,5.5
1.0,4.0,2.0,1.0,5.655172413793104,6.625,9.15625
1.0,4.0,3.0,1.0,6.275862068965518,3.25,8.875
1.0,4.0,1.0,1.0,,3.8125,8.875
1.0,3.0,3.0,1.0,,6.0625,8.875
2.0,5.0,1.0,1.0,6.275862068965518,2.6875,9.15625
1.0,4.0,1.0,2.125,7.517241379310345,2.125,7.46875
1.0,3.0,1.0,8.875,1.0,2.125,8.875
1.0,4.0,3.0,2.125,6.586206896551724,4.9375,8.875
1.0,4.0,2.0,2.125,6.8965517241379315,5.5,9.15625
2.0,3.0,1.0,1.0,7.8275862068965525,2.125,9.15625
2.0,3.0,2.0,2.125,7.206896551724138,1.5625,9.15625
2.0,2.0,1.0,2.125,6.8965517241379315,3.8125,8.875
2.0,3.0,1.0,3.25,,,9.4375
2.0,2.0,4.0,1.0,8.448275862068966,2.6875,8.875
2.0,4.0,1.0,2.125,8.137931034482758,2.6875,8.875
2.0,9.0,1.0,1.0,3.793103448275862,3.8125,8.875
2.0,1.0,4.0,1.0,6.8965517241379315,2.125,8.875
2.0,2.0,1.0,1.0,8.448275862068966,6.0625,9.15625
2.0,3.0,1.0,2.125,7.517241379310345,,8.875
2.0,4.0,3.0,2.125,7.8275862068965525,2.6875,8.875
1.0,3.0,2.0,2.125,5.655172413793104,2.125,8.875
1.0,3.0,1.0,1.0,3.4827586206896552,2.6875,9.15625
1.0,4.0,3.0,1.0,6.586206896551724,2.6875,8.875
2.0,3.0,4.0,1.0,7.517241379310345,2.6875,8.875
1.0,3.0,2.0,1.0,7.517241379310345,8.3125,8.875
2.0,2.0,4.0,1.0,7.8275862068965525,1.5625,8.875
2.0,3.0,1.0,2.125,7.206896551724138,5.5,9.15625
1.0,2.0,2.0,1.0,,2.6875,9.15625
2.0,3.0,1.0,2.125,7.8275862068965525,4.9375,8.875
2.0,3.0,1.0,3.25,6.275862068965518,4.9375,8.875
1.0,4.0,2.0,2.125,4.413793103448276,4.375,8.875
2.0,4.0,2.0,1.0,8.137931034482758,2.125,8.875
1.0,1.0,2.0,1.0,5.655172413793104,8.3125,8.875
1.0,4.0,1.0,1.0,6.586206896551724,2.6875,8.875
1.0,5.0,1.0,8.875,8.448275862068966,5.5,8.875
2.0,4.0,1.0,1.0,6.586206896551724,3.25,8.875
1.0,3.0,2.0,2.125,8.137931034482758,2.6875,8.875
2.0,3.0,1.0,1.0,6.275862068965518,2.6875,8.875
2.0,3.0,1.0,1.0,5.0344827586206895,2.6875,8.875
1.0,3.0,2.0,1.0,5.655172413793104,2.125,9.71875
1.0,4.0,1.0,2.125,6.8965517241379315,5.5,8.875
2.0,4.0,1.0,2.125,8.758620689655173,3.25,8.875
1.0,1.0,3.0,2.125,,3.8125,8.875
2.0,5.0,2.0,2.125,,6.625,9.15625
2.0,4.0,1.0,1.0,6.8965517241379315,2.125,8.875
1.0,2.0,3.0,1.0,7.517241379310345,3.25,8.875
1.0,4.0,1.0,1.0,4.724137931034483,1.5625,8.875
2.0,4.0,2.0,1.0,5.655172413793104,6.0625,8.875
1.0,4.0,1.0,1.0,,3.25,8.875
1.0,4.0,1.0,3.25,6.275862068965518,1.5625,8.875
1.0,4.0,1.0,3.25,6.8965517241379315,4.9375,8.875
2.0,2.0,4.0,1.0,4.724137931034483,4.9375,8.875
2.0,2.0,4.0,1.0,4.724137931034483,4.9375,8.875
1.0,3.0,1.0,1.0,7.206896551724138,2.6875,8.875
1.0,4.0,3.0,2.125,6.586206896551724,3.25,8.875
1.0,3.0,1.0,1.0,6.586206896551724,2.6875,8.875
1.0,4.0,2.0,1.0,5.0344827586206895,3.25,8.875
1.0,1.0,4.0,1.0,5.655172413793104,2.125,8.875
2.0,4.0,1.0,2.125,7.517241379310345,3.25,1.0
2.0,2.0,2.0,2.125,3.4827586206896552,3.8125,8.875
1.0,3.0,1.0,1.0,6.275862068965518,4.9375,9.4375
1.0,4.0,2.0,1.0,3.1724137931034484,6.625,8.875
