sexo,edad,escol,Tam_loc,agg_conjugal_union_attitudes,agg_family_cohesion_quality,agg_family_value_transmission,agg_ideal_family_normativity,agg_intergenerational_obligations
2.0,22.0,3.0,4.0,3.4375,2.125,2.6875,1.84375,1.75
2.0,64.0,4.0,3.0,3.8125,2.6875,2.125,1.84375,1.0
2.0,44.0,4.0,1.0,1.5625,1.5625,1.0,1.5625,1.0
1.0,50.0,4.0,1.0,2.6875,2.125,2.125,3.25,1.375
1.0,47.0,1.0,4.0,2.3125,3.25,2.125,1.5625,1.375
1.0,49.0,3.0,3.0,2.5,2.6875,2.125,2.40625,2.5
2.0,45.0,1.0,4.0,1.5625,3.25,1.5625,4.09375,2.5
1.0,50.0,4.0,1.0,3.0625,2.125,1.0,1.5625,2.125
2.0,34.0,2.0,1.0,3.4375,3.25,2.125,,1.0
1.0,49.0,3.0,2.0,2.875,2.6875,2.6875,2.40625,1.375
1.0,58.0,3.0,1.0,2.125,2.125,2.125,3.8125,2.125
2.0,55.0,2.0,3.0,2.125,2.125,2.6875,,2.125
2.0,57.0,2.0,1.0,3.8125,2.125,1.0,1.5625,3.25
1.0,36.0,3.0,4.0,1.375,2.125,2.125,2.125,1.0
2.0,19.0,4.0,4.0,3.625,2.125,2.6875,1.5625,1.375
1.0,68.0,1.0,2.0,1.5625,1.0,2.6875,1.5625,1.0
2.0,45.0,5.0,1.0,1.9375,2.125,4.375,1.0,1.0
2.0,33.0,3.0,2.0,3.625,2.125,2.6875,1.5625,2.875
2.0,40.0,2.0,3.0,2.125,1.5625,1.5625,2.40625,2.125
1.0,67.0,1.0,1.0,3.8125,2.125,2.125,3.8125,3.625
1.0,55.0,4.0,1.0,2.6875,2.125,1.0,1.0,1.75
1.0,48.0,3.0,1.0,4.1875,2.125,2.6875,,1.75
1.0,48.0,4.0,1.0,4.0,1.0,1.0,1.5625,1.375
1.0,44.0,3.0,1.0,1.75,2.125,2.125,2.125,1.0
2.0,29.0,3.0,1.0,1.9375,1.0,1.5625,2.40625,1.375
2.0,31.0,3.0,1.0,2.125,1.0,2.6875,,2.125
2.0,26.0,3.0,1.0,1.75,1.0,1.5625,,1.0
1.0,30.0,3.0,2.0,1.75,3.25,2.6875,2.125,1.375
1.0,24.0,4.0,1.0,1.9375,2.6875,3.25,1.28125,1.375
2.0,28.0,3.0,1.0,2.125,3.8125,3.25,2.125,1.375
1.0,32.0,4.0,1.0,4.1875,3.8125,2.125,2.125,4.0
2.0,30.0,3.0,1.0,1.9375,4.375,2.125,,1.375
1.0,36.0,4.0,1.0,4.1875,1.5625,2.6875,4.375,1.375
1.0,39.0,3.0,2.0,2.3125,2.6875,1.0,1.5625,1.375
1.0,32.0,3.0,3.0,3.8125,2.6875,2.6875,2.125,1.0
1.0,29.0,3.0,3.0,2.3125,2.125,2.6875,,2.125
2.0,34.0,3.0,1.0,2.5,4.375,2.125,,1.375
1.0,43.0,2.0,1.0,1.9375,1.0,3.8125,1.28125,1.0
2.0,35.0,2.0,3.0,1.5625,3.25,2.125,1.5625,1.0
1.0,38.0,3.0,3.0,3.0625,1.0,2.6875,1.5625,1.75
2.0,33.0,3.0,1.0,2.5,1.5625,3.25,1.84375,2.125
2.0,38.0,3.0,3.0,1.375,2.125,2.125,1.28125,2.875
