sexo,escol,Tam_loc,agg_crime_victimization_exposure,agg_fear_and_risk_avoidance,agg_perceived_security_trajectory,agg_police_institutional_legitimacy,agg_punitive_and_vigilante_attitudes
2.0,1.0,4.0,2.125,1.0,5.5,,1.5625
2.0,1.0,4.0,2.125,1.375,5.5,,1.5625
1.0,3.0,4.0,2.125,1.0,6.34375,2.565217391304348,2.6875
2.0,3.0,2.0,2.125,2.5,7.1875,4.913043478260869,3.53125
1.0,4.0,2.0,1.0,2.5,6.90625,4.521739130434783,3.53125
1.0,4.0,2.0,2.125,2.125,8.03125,1.782608695652174,3.53125
2.0,2.0,2.0,2.125,2.875,6.625,1.782608695652174,3.25
1.0,3.0,2.0,1.0,1.75,6.34375,4.913043478260869,2.6875
1.0,3.0,2.0,2.125,1.75,6.34375,1.782608695652174,1.84375
1.0,3.0,2.0,2.125,1.75,5.5,2.9565217391304346,1.0
2.0,4.0,2.0,2.125,1.75,5.5,2.1739130434782608,2.6875
2.0,2.0,2.0,2.125,1.0,6.90625,1.782608695652174,4.65625
2.0,1.0,2.0,2.125,2.125,6.90625,6.478260869565218,3.53125
1.0,3.0,2.0,1.5625,2.125,6.625,4.913043478260869,2.125
2.0,2.0,2.0,2.125,1.0,6.34375,4.521739130434783,5.21875
2.0,4.0,2.0,2.125,2.125,6.625,1.782608695652174,3.25
1.0,3.0,2.0,2.125,2.5,7.75,1.782608695652174,3.25
2.0,3.0,2.0,2.125,1.0,6.90625,1.782608695652174,2.40625
2.0,4.0,2.0,2.125,1.75,6.625,1.782608695652174,3.25
2.0,4.0,2.0,2.125,2.5,7.46875,7.260869565217392,3.53125
1.0,1.0,2.0,2.125,2.125,9.15625,5.304347826086957,2.125
2.0,4.0,2.0,1.0,2.125,5.5,2.1739130434782608,1.84375
2.0,1.0,2.0,2.125,1.75,5.78125,4.913043478260869,2.40625
2.0,3.0,2.0,1.5625,1.0,7.46875,4.913043478260869,4.09375
2.0,3.0,2.0,2.125,1.375,6.625,3.739130434782609,4.65625
2.0,3.0,2.0,1.0,2.875,7.1875,2.1739130434782608,2.96875
1.0,4.0,2.0,2.125,1.375,7.1875,3.739130434782609,2.96875
2.0,4.0,1.0,2.125,1.375,7.46875,1.391304347826087,3.25
2.0,2.0,1.0,1.0,1.0,6.34375,1.782608695652174,1.5625
2.0,4.0,1.0,1.5625,1.0,6.625,2.1739130434782608,3.8125
1.0,4.0,1.0,2.125,1.0,7.1875,1.782608695652174,2.96875
1.0,3.0,1.0,2.125,1.0,6.0625,1.782608695652174,3.53125
1.0,4.0,1.0,1.5625,1.0,6.34375,1.782608695652174,3.53125
1.0,3.0,1.0,2.125,1.0,6.625,2.1739130434782608,3.53125
2.0,4.0,1.0,2.125,1.0,6.625,2.1739130434782608,2.6875
2.0,4.0,1.0,2.125,1.0,6.34375,1.782608695652174,4.09375
2.0,2.0,1.0,1.5625,1.0,6.90625,1.782608695652174,2.125
1.0,3.0,1.0,2.125,1.75,5.21875,2.1739130434782608,2.96875
1.0,3.0,1.0,2.125,1.375,6.0625,1.782608695652174,2.125
1.0,2.0,1.0,1.0,1.0,6.34375,2.1739130434782608,2.6875
2.0,1.0,1.0,2.125,1.0,6.34375,1.782608695652174,4.375
1.0,4.0,1.0,1.0,1.0,6.34375,2.1739130434782608,2.6875
2.0,5.0,1.0,2.125,1.0,6.625,2.1739130434782608,3.53125
1.0,4.0,1.0,1.0,1.0,5.78125,2.1739130434782608,1.84375
1.0,4.0,1.0,2.125,3.25,7.1875,1.391304347826087,2.40625
2.0,5.0,1.0,1.5625,1.75,7.1875,4.130434782608695,3.53125
2.0,4.0,1.0,2.125,1.75,8.3125,,3.25
2.0,4.0,1.0,2.125,1.75,5.5,4.521739130434783,2.125
2.0,3.0,1.0,1.5625,1.0,6.90625,1.391304347826087,2.6875
2.0,4.0,1.0,2.125,1.0,6.0625,1.391304347826087,1.84375
2.0,4.0,1.0,1.5625,1.0,6.90625,1.391304347826087,3.53125
2.0,4.0,2.0,5.5,2.125,8.03125,4.913043478260869,3.25
2.0,3.0,2.0,2.125,1.75,7.75,5.304347826086957,2.6875
1.0,4.0,2.0,2.125,2.5,8.875,4.521739130434783,2.6875
2.0,3.0,2.0,2.125,1.75,7.1875,4.913043478260869,3.8125
1.0,3.0,2.0,2.125,1.75,7.1875,2.9565217391304346,2.6875
2.0,3.0,2.0,1.0,2.5,5.78125,2.565217391304348,2.96875
2.0,1.0,2.0,2.125,2.125,5.5,2.9565217391304346,2.6875
1.0,4.0,2.0,2.125,2.875,6.0625,2.9565217391304346,2.96875
1.0,4.0,2.0,1.0,1.75,6.90625,7.6521739130434785,3.8125
2.0,1.0,2.0,1.0,1.0,6.625,1.391304347826087,3.25
2.0,3.0,2.0,2.125,1.375,7.75,2.1739130434782608,4.375
2.0,2.0,2.0,2.125,2.5,6.625,6.478260869565218,4.65625
2.0,3.0,2.0,2.125,1.375,6.625,6.869565217391305,3.25
2.0,2.0,2.0,2.125,2.125,7.75,7.260869565217392,4.9375
2.0,1.0,2.0,2.125,5.125,7.75,9.217391304347826,2.96875
1.0,2.0,2.0,2.125,1.375,6.90625,4.913043478260869,4.09375
2.0,1.0,2.0,2.125,1.75,5.5,2.9565217391304346,2.6875
1.0,4.0,2.0,1.0,1.75,5.78125,2.9565217391304346,2.125
2.0,1.0,2.0,1.0,3.625,9.15625,2.9565217391304346,2.125
1.0,1.0,2.0,2.125,1.75,6.0625,5.304347826086957,4.09375
2.0,1.0,2.0,1.0,1.75,6.0625,3.739130434782609,3.25
1.0,2.0,2.0,1.0,2.125,7.46875,4.521739130434783,2.6875
2.0,3.0,2.0,2.125,1.75,7.46875,2.1739130434782608,2.6875
1.0,3.0,2.0,2.125,1.75,5.78125,4.913043478260869,1.84375
1.0,4.0,1.0,2.125,1.375,6.625,4.130434782608695,2.125
2.0,2.0,1.0,2.125,1.0,4.375,4.913043478260869,3.53125
1.0,5.0,1.0,2.125,1.0,6.625,9.608695652173914,6.0625
1.0,5.0,1.0,2.125,2.125,8.03125,1.782608695652174,4.09375
1.0,4.0,1.0,1.0,1.75,5.78125,2.1739130434782608,1.5625
1.0,5.0,1.0,1.5625,1.75,7.1875,1.782608695652174,3.25
1.0,3.0,1.0,1.5625,1.375,6.34375,2.1739130434782608,3.8125
2.0,3.0,1.0,1.5625,1.375,6.90625,2.1739130434782608,3.25
2.0,1.0,1.0,2.125,1.375,6.90625,2.1739130434782608,2.96875
1.0,3.0,1.0,2.125,1.0,5.5,2.1739130434782608,2.125
2.0,3.0,1.0,2.125,1.75,8.3125,1.782608695652174,5.5
2.0,1.0,1.0,2.125,2.125,8.875,1.391304347826087,3.8125
1.0,2.0,1.0,2.125,2.875,6.625,4.130434782608695,1.5625
1.0,3.0,1.0,2.125,2.125,6.90625,,3.53125
2.0,4.0,1.0,1.5625,1.0,5.78125,1.391304347826087,2.40625
2.0,3.0,1.0,2.125,1.0,7.46875,1.782608695652174,3.25
2.0,3.0,1.0,2.125,2.125,6.34375,1.782608695652174,2.96875
2.0,4.0,1.0,1.5625,3.25,8.03125,1.391304347826087,3.25
2.0,3.0,1.0,2.125,1.375,6.90625,,4.375
1.0,4.0,1.0,2.125,5.125,6.34375,4.521739130434783,3.8125
2.0,3.0,1.0,1.0,1.0,8.03125,7.6521739130434785,2.96875
1.0,4.0,1.0,2.125,1.75,6.625,5.304347826086957,4.9375
1.0,2.0,1.0,2.125,1.0,7.75,4.521739130434783,3.53125
2.0,3.0,1.0,2.125,1.0,7.46875,1.782608695652174,3.25
1.0,3.0,3.0,1.5625,1.0,6.34375,1.391304347826087,2.125
1.0,3.0,3.0,1.0,1.0,5.5,2.1739130434782608,1.28125
2.0,2.0,3.0,2.125,1.0,5.5,1.782608695652174,1.28125
2.0,3.0,3.0,1.0,1.75,7.46875,2.1739130434782608,1.84375
1.0,1.0,3.0,10.0,2.125,8.59375,,2.40625
1.0,1.0,3.0,2.125,2.125,7.75,1.782608695652174,2.125
2.0,2.0,3.0,2.125,2.125,6.625,2.1739130434782608,2.40625
1.0,2.0,3.0,2.125,1.75,6.34375,1.782608695652174,2.125
1.0,3.0,3.0,2.125,2.125,8.59375,2.1739130434782608,3.25
2.0,1.0,3.0,2.125,2.875,8.875,1.782608695652174,2.96875
1.0,2.0,3.0,1.5625,1.75,6.90625,2.565217391304348,1.84375
2.0,2.0,3.0,2.125,2.875,6.90625,2.1739130434782608,3.53125
1.0,5.0,3.0,1.0,1.0,6.90625,1.391304347826087,2.40625
2.0,5.0,3.0,1.0,1.0,6.625,1.782608695652174,2.96875
1.0,2.0,3.0,1.5625,1.0,6.34375,4.521739130434783,2.96875
1.0,3.0,3.0,1.0,1.375,6.90625,1.782608695652174,2.96875
2.0,5.0,3.0,1.0,1.0,6.90625,2.1739130434782608,3.25
2.0,4.0,3.0,2.125,1.375,8.3125,1.391304347826087,2.40625
1.0,4.0,3.0,2.125,1.375,8.3125,1.391304347826087,2.40625
1.0,2.0,3.0,1.0,2.125,6.34375,2.1739130434782608,2.125
2.0,2.0,3.0,2.125,1.0,6.90625,1.782608695652174,2.6875
2.0,4.0,3.0,2.125,1.375,6.90625,1.391304347826087,2.125
2.0,1.0,3.0,1.0,1.0,5.78125,1.782608695652174,1.84375
2.0,1.0,3.0,2.125,1.0,6.625,2.1739130434782608,2.40625
1.0,5.0,1.0,2.125,2.5,6.34375,2.1739130434782608,3.8125
1.0,4.0,1.0,2.125,1.0,5.5,2.1739130434782608,3.8125
1.0,5.0,1.0,1.0,1.0,5.5,2.1739130434782608,1.5625
1.0,2.0,1.0,2.125,2.125,6.625,4.913043478260869,3.53125
1.0,1.0,1.0,2.125,1.375,5.21875,1.782608695652174,6.0625
2.0,3.0,1.0,10.0,2.5,6.90625,8.043478260869566,2.125
1.0,4.0,1.0,2.125,2.875,6.625,4.521739130434783,4.09375
1.0,3.0,1.0,4.9375,1.0,6.90625,2.1739130434782608,2.40625
2.0,3.0,1.0,1.5625,1.375,6.90625,2.1739130434782608,2.96875
1.0,4.0,1.0,2.125,1.0,5.5,2.1739130434782608,2.125
2.0,3.0,1.0,2.125,1.375,5.5,2.1739130434782608,2.125
1.0,3.0,1.0,2.125,2.125,6.34375,1.782608695652174,1.5625
2.0,4.0,1.0,1.5625,1.0,5.5,2.1739130434782608,1.84375
2.0,5.0,1.0,1.0,1.0,5.5,2.1739130434782608,1.5625
1.0,3.0,1.0,1.0,2.5,4.65625,,2.125
2.0,1.0,1.0,8.875,2.125,5.21875,1.782608695652174,4.09375
2.0,1.0,1.0,2.125,2.5,1.28125,7.260869565217392,1.5625
1.0,4.0,1.0,2.125,2.125,8.03125,10.0,1.0
1.0,3.0,1.0,1.5625,1.375,5.5,4.130434782608695,4.09375
2.0,3.0,1.0,2.125,2.125,6.0625,1.782608695652174,3.25
2.0,2.0,1.0,1.5625,1.75,7.75,,3.25
2.0,3.0,1.0,2.125,2.125,6.34375,1.782608695652174,1.5625
2.0,4.0,1.0,2.125,2.5,7.75,4.130434782608695,2.96875
1.0,4.0,1.0,2.125,2.5,7.75,4.130434782608695,2.96875
1.0,4.0,3.0,2.125,2.125,7.75,2.1739130434782608,3.25
1.0,4.0,3.0,2.125,2.5,8.59375,2.1739130434782608,2.96875
2.0,4.0,3.0,2.125,2.125,7.75,2.1739130434782608,2.96875
1.0,4.0,3.0,2.125,2.125,6.625,2.1739130434782608,3.25
2.0,3.0,3.0,2.125,2.125,8.875,2.1739130434782608,2.6875
2.0,3.0,3.0,1.0,1.375,6.90625,,2.40625
2.0,4.0,3.0,2.125,1.375,8.03125,1.782608695652174,3.25
1.0,4.0,3.0,2.125,1.0,8.3125,,2.125
1.0,4.0,3.0,2.125,2.5,8.59375,2.1739130434782608,3.53125
2.0,3.0,3.0,2.125,2.125,8.3125,2.9565217391304346,3.53125
2.0,3.0,3.0,2.125,1.375,8.03125,2.1739130434782608,2.96875
1.0,3.0,3.0,2.125,1.75,6.90625,,2.40625
1.0,3.0,3.0,2.125,1.0,8.59375,7.260869565217392,3.25
1.0,3.0,3.0,5.5,1.0,8.03125,9.608695652173914,3.25
1.0,4.0,3.0,2.125,1.375,7.75,1.391304347826087,2.6875
2.0,3.0,3.0,2.125,1.0,8.03125,1.782608695652174,3.25
2.0,4.0,3.0,5.5,1.375,8.3125,,4.9375
2.0,2.0,3.0,6.0625,1.375,7.75,7.260869565217392,3.25
2.0,2.0,3.0,2.125,1.0,8.59375,7.260869565217392,3.25
2.0,3.0,3.0,2.125,2.125,7.75,2.9565217391304346,3.25
1.0,3.0,3.0,2.125,2.125,6.625,1.391304347826087,2.40625
1.0,4.0,3.0,2.125,1.0,8.59375,7.260869565217392,2.6875
1.0,2.0,3.0,2.125,2.5,8.59375,2.565217391304348,2.96875
2.0,2.0,3.0,2.125,1.375,8.03125,2.1739130434782608,2.96875
1.0,2.0,1.0,2.125,2.5,8.03125,1.782608695652174,3.25
2.0,4.0,1.0,2.125,1.75,6.90625,2.1739130434782608,3.25
2.0,3.0,1.0,2.125,1.75,8.03125,2.1739130434782608,3.25
1.0,4.0,1.0,2.125,2.5,8.59375,2.1739130434782608,2.6875
1.0,4.0,1.0,2.125,1.75,6.0625,2.1739130434782608,2.6875
1.0,4.0,1.0,1.0,2.5,5.78125,2.565217391304348,2.96875
1.0,4.0,1.0,2.125,2.875,5.78125,2.565217391304348,2.125
2.0,3.0,1.0,1.0,1.0,5.78125,2.1739130434782608,3.25
2.0,2.0,1.0,2.125,1.0,7.1875,4.130434782608695,3.25
1.0,5.0,1.0,1.5625,2.125,7.75,2.1739130434782608,1.84375
1.0,4.0,1.0,2.125,2.5,6.625,4.913043478260869,2.40625
1.0,3.0,1.0,2.125,1.75,8.03125,1.391304347826087,7.1875
2.0,5.0,1.0,2.125,1.0,6.625,1.782608695652174,1.28125
2.0,4.0,1.0,5.5,1.75,6.625,1.782608695652174,2.6875
1.0,4.0,1.0,2.125,1.75,7.1875,4.913043478260869,2.6875
1.0,3.0,1.0,2.125,1.75,7.75,2.1739130434782608,3.25
2.0,4.0,1.0,2.125,2.5,7.75,2.1739130434782608,2.96875
2.0,4.0,1.0,2.125,2.875,7.75,8.043478260869566,3.25
1.0,5.0,1.0,2.125,1.375,6.90625,2.1739130434782608,2.6875
2.0,4.0,1.0,2.125,1.375,5.5,1.391304347826087,2.96875
2.0,3.0,1.0,2.125,1.75,6.0625,2.565217391304348,2.125
2.0,4.0,1.0,1.0,1.375,7.1875,4.521739130434783,3.53125
1.0,3.0,1.0,1.5625,1.0,7.75,1.782608695652174,1.28125
1.0,3.0,1.0,1.5625,1.75,6.34375,2.1739130434782608,1.28125
2.0,4.0,1.0,2.125,2.125,6.625,1.782608695652174,2.6875
2.0,3.0,1.0,2.125,2.5,7.1875,1.782608695652174,3.53125
2.0,3.0,1.0,2.125,4.75,9.4375,1.391304347826087,3.8125
2.0,4.0,1.0,1.0,1.0,7.46875,1.782608695652174,2.96875
1.0,3.0,1.0,1.5625,1.375,8.3125,1.782608695652174,2.96875
2.0,1.0,1.0,1.5625,1.0,6.34375,2.565217391304348,1.0
1.0,4.0,1.0,1.5625,3.25,8.03125,1.782608695652174,3.53125
2.0,4.0,1.0,2.125,1.75,6.90625,1.782608695652174,3.25
1.0,3.0,1.0,1.5625,2.5,6.90625,2.1739130434782608,3.53125
2.0,3.0,1.0,2.125,1.0,8.03125,1.782608695652174,1.84375
1.0,3.0,1.0,1.5625,1.375,8.03125,2.1739130434782608,2.6875
1.0,5.0,1.0,1.0,1.75,7.75,4.521739130434783,2.96875
2.0,4.0,1.0,1.5625,1.0,7.1875,2.1739130434782608,3.8125
1.0,3.0,1.0,1.5625,1.0,7.75,1.782608695652174,2.6875
2.0,4.0,1.0,1.5625,1.0,6.625,1.782608695652174,3.53125
2.0,3.0,1.0,2.125,1.375,3.8125,1.782608695652174,2.6875
1.0,4.0,1.0,2.125,1.0,7.46875,1.391304347826087,3.25
2.0,4.0,1.0,2.125,1.375,6.34375,4.130434782608695,2.40625
2.0,3.0,1.0,1.5625,2.125,8.3125,1.782608695652174,3.53125
1.0,5.0,1.0,2.125,2.125,7.46875,1.782608695652174,3.53125
1.0,4.0,1.0,2.125,3.25,7.75,2.1739130434782608,1.84375
2.0,4.0,1.0,2.125,2.5,8.03125,4.521739130434783,1.5625
1.0,4.0,1.0,2.125,2.875,7.1875,1.782608695652174,3.53125
1.0,4.0,1.0,2.125,3.25,7.75,2.1739130434782608,1.84375
1.0,3.0,1.0,2.125,1.0,7.75,4.913043478260869,2.6875
2.0,3.0,1.0,2.125,2.125,8.875,,2.40625
2.0,3.0,1.0,2.125,2.5,7.75,,3.53125
2.0,3.0,1.0,2.125,2.5,7.75,,2.96875
1.0,3.0,1.0,2.125,3.25,9.15625,,2.6875
1.0,3.0,1.0,2.125,3.25,6.34375,,3.8125
1.0,3.0,1.0,2.125,3.25,9.4375,,3.53125
1.0,3.0,1.0,2.125,3.625,7.75,,3.53125
2.0,3.0,1.0,2.125,1.75,9.71875,,3.25
2.0,3.0,1.0,2.125,2.125,9.4375,,4.9375
1.0,3.0,1.0,2.125,3.625,9.71875,,2.96875
1.0,4.0,1.0,2.125,2.875,9.15625,,2.125
1.0,4.0,1.0,2.125,1.0,6.625,,3.53125
1.0,2.0,1.0,2.125,1.75,7.46875,,3.8125
2.0,3.0,1.0,2.125,1.0,7.75,2.1739130434782608,3.25
2.0,2.0,1.0,2.125,1.0,6.0625,,4.09375
2.0,3.0,1.0,2.125,2.125,7.1875,,3.25
2.0,1.0,1.0,2.125,1.0,7.46875,,3.25
2.0,2.0,1.0,2.125,1.0,7.46875,,3.53125
2.0,3.0,1.0,1.5625,1.0,7.1875,,3.25
1.0,3.0,1.0,1.5625,1.375,6.90625,,3.25
2.0,2.0,1.0,2.125,1.0,8.03125,,2.40625
1.0,4.0,1.0,2.125,1.0,7.75,,3.25
2.0,4.0,1.0,2.125,1.0,6.625,,2.96875
1.0,3.0,1.0,1.0,1.0,6.0625,1.0,2.96875
2.0,3.0,1.0,6.0625,1.0,6.90625,4.130434782608695,3.25
2.0,3.0,1.0,1.0,1.75,7.46875,1.782608695652174,2.96875
1.0,3.0,1.0,1.0,1.0,8.875,1.782608695652174,2.40625
2.0,3.0,1.0,2.125,1.75,7.46875,1.0,2.6875
1.0,3.0,1.0,2.125,1.0,7.75,3.739130434782609,2.125
1.0,2.0,1.0,2.125,1.0,7.75,1.782608695652174,1.5625
2.0,3.0,1.0,1.0,1.0,5.78125,2.1739130434782608,2.96875
1.0,3.0,1.0,1.0,1.0,6.625,2.1739130434782608,4.65625
1.0,3.0,1.0,2.125,1.0,6.90625,2.1739130434782608,4.09375
1.0,3.0,1.0,1.0,1.0,6.90625,1.0,2.6875
1.0,2.0,1.0,1.0,1.375,6.625,5.304347826086957,2.96875
2.0,3.0,1.0,6.0625,2.5,9.15625,2.1739130434782608,1.5625
2.0,3.0,1.0,2.125,3.25,9.15625,1.782608695652174,2.125
1.0,3.0,1.0,2.125,2.5,8.3125,1.391304347826087,2.40625
2.0,3.0,1.0,2.125,2.875,8.875,1.782608695652174,3.25
2.0,2.0,1.0,1.0,2.5,8.875,2.1739130434782608,2.6875
1.0,3.0,1.0,2.125,2.875,8.875,2.565217391304348,3.53125
1.0,2.0,1.0,2.125,2.875,8.59375,2.565217391304348,2.96875
1.0,3.0,1.0,2.125,2.125,8.875,2.1739130434782608,2.6875
1.0,3.0,1.0,2.125,2.875,8.875,1.391304347826087,1.28125
2.0,3.0,1.0,2.125,3.25,9.4375,,1.5625
2.0,3.0,1.0,2.125,2.5,9.4375,2.9565217391304346,2.96875
1.0,2.0,1.0,2.125,2.5,8.875,2.565217391304348,2.6875
2.0,3.0,4.0,2.125,2.875,7.75,1.391304347826087,3.53125
2.0,3.0,4.0,2.125,2.875,7.46875,1.391304347826087,3.8125
1.0,3.0,4.0,2.125,1.375,8.03125,,3.8125
2.0,3.0,4.0,2.125,2.875,7.1875,1.0,3.25
2.0,3.0,4.0,2.125,2.875,8.3125,1.782608695652174,3.25
2.0,2.0,4.0,2.125,2.875,7.75,,3.8125
2.0,3.0,4.0,2.125,2.5,8.59375,,4.09375
1.0,3.0,4.0,2.125,2.5,8.03125,4.130434782608695,3.53125
1.0,4.0,4.0,2.125,2.875,8.875,1.0,4.09375
2.0,2.0,4.0,2.125,2.875,7.1875,1.391304347826087,3.53125
1.0,3.0,4.0,2.125,2.125,8.875,4.913043478260869,1.5625
2.0,3.0,4.0,2.125,1.0,9.4375,4.130434782608695,2.125
1.0,2.0,1.0,2.125,1.0,7.1875,2.1739130434782608,6.625
2.0,3.0,1.0,2.125,1.375,5.5,1.782608695652174,6.34375
2.0,2.0,1.0,2.125,1.0,7.1875,1.391304347826087,4.09375
2.0,3.0,1.0,1.5625,1.0,7.46875,,3.25
2.0,3.0,1.0,1.5625,1.0,8.03125,,3.25
2.0,3.0,1.0,2.125,2.5,7.1875,1.782608695652174,4.09375
2.0,3.0,1.0,2.125,1.375,6.625,1.782608695652174,3.53125
2.0,3.0,1.0,2.125,1.0,5.78125,7.6521739130434785,3.53125
2.0,1.0,1.0,2.125,2.125,6.34375,1.391304347826087,4.375
2.0,3.0,1.0,2.125,2.125,6.0625,1.782608695652174,3.25
2.0,1.0,1.0,2.125,1.0,6.34375,2.1739130434782608,3.53125
1.0,3.0,1.0,2.125,2.125,5.5,7.260869565217392,3.53125
2.0,3.0,1.0,1.0,1.75,7.46875,1.391304347826087,2.125
2.0,4.0,1.0,2.125,2.125,8.59375,1.391304347826087,2.6875
1.0,3.0,1.0,2.125,3.25,9.15625,1.782608695652174,1.28125
2.0,3.0,1.0,1.5625,3.25,8.875,1.782608695652174,2.6875
2.0,3.0,1.0,2.125,3.25,8.875,1.391304347826087,3.25
2.0,2.0,1.0,2.125,3.25,8.875,2.1739130434782608,3.25
2.0,2.0,1.0,2.125,3.25,8.875,2.565217391304348,2.96875
1.0,3.0,1.0,2.125,2.875,8.875,2.9565217391304346,2.6875
2.0,2.0,1.0,2.125,2.125,8.875,1.391304347826087,2.6875
2.0,2.0,1.0,2.125,2.125,8.875,2.565217391304348,1.0
2.0,1.0,1.0,2.125,2.125,9.15625,1.391304347826087,1.84375
1.0,3.0,1.0,2.125,2.5,8.875,2.9565217391304346,1.0
1.0,3.0,1.0,2.125,3.25,8.875,1.782608695652174,1.84375
2.0,3.0,1.0,2.125,3.25,9.15625,2.1739130434782608,1.5625
2.0,3.0,1.0,2.125,2.5,9.71875,2.1739130434782608,2.40625
2.0,3.0,1.0,2.125,3.25,9.15625,1.782608695652174,1.5625
2.0,3.0,1.0,2.125,2.875,8.875,1.391304347826087,1.28125
1.0,3.0,1.0,1.5625,2.5,8.03125,2.565217391304348,2.40625
1.0,2.0,1.0,2.125,2.875,8.3125,1.782608695652174,2.40625
1.0,4.0,1.0,2.125,2.875,8.875,,1.28125
2.0,2.0,1.0,1.0,3.25,8.59375,2.1739130434782608,2.125
1.0,3.0,1.0,2.125,2.5,8.59375,2.1739130434782608,1.5625
1.0,3.0,1.0,2.125,3.25,9.4375,1.782608695652174,1.84375
1.0,3.0,1.0,2.125,3.25,8.875,1.782608695652174,1.5625
1.0,3.0,1.0,1.5625,1.0,7.75,2.1739130434782608,2.6875
1.0,3.0,1.0,2.125,3.25,8.875,2.1739130434782608,2.125
1.0,4.0,1.0,2.125,2.875,8.875,2.565217391304348,1.5625
1.0,5.0,1.0,2.125,2.125,8.875,1.782608695652174,2.96875
2.0,5.0,1.0,1.5625,1.0,8.03125,2.565217391304348,2.96875
2.0,3.0,1.0,2.125,1.375,8.875,2.1739130434782608,3.25
1.0,4.0,1.0,2.125,2.125,8.875,2.565217391304348,2.6875
1.0,4.0,1.0,1.5625,2.5,8.03125,2.565217391304348,3.8125
1.0,3.0,1.0,2.125,2.875,10.0,2.565217391304348,3.53125
2.0,4.0,1.0,1.5625,2.875,8.875,2.1739130434782608,2.96875
2.0,3.0,1.0,2.125,2.875,8.59375,2.1739130434782608,2.40625
1.0,3.0,1.0,2.125,2.5,8.875,4.521739130434783,2.6875
2.0,4.0,1.0,2.125,3.25,7.1875,4.913043478260869,3.8125
2.0,4.0,1.0,1.5625,1.375,6.625,1.782608695652174,2.96875
1.0,3.0,1.0,2.125,2.125,8.3125,1.782608695652174,2.6875
2.0,1.0,1.0,2.125,2.875,7.75,1.782608695652174,3.53125
2.0,2.0,1.0,2.125,1.0,6.0625,1.782608695652174,3.25
1.0,4.0,1.0,2.125,1.75,6.625,1.782608695652174,4.09375
1.0,1.0,1.0,2.125,1.375,6.34375,1.782608695652174,2.96875
2.0,2.0,1.0,1.5625,1.0,6.90625,1.782608695652174,2.96875
1.0,3.0,1.0,2.125,2.125,8.3125,6.869565217391305,2.40625
2.0,2.0,1.0,2.125,3.625,9.4375,4.521739130434783,2.40625
1.0,3.0,1.0,2.125,3.25,8.3125,1.782608695652174,3.53125
1.0,2.0,1.0,2.125,2.5,8.59375,2.1739130434782608,2.96875
2.0,4.0,1.0,2.125,2.125,9.71875,1.782608695652174,3.8125
2.0,1.0,1.0,2.125,1.75,7.75,1.782608695652174,2.96875
1.0,3.0,1.0,2.125,1.375,6.0625,1.782608695652174,3.25
1.0,1.0,1.0,2.125,3.25,7.46875,2.1739130434782608,3.53125
2.0,5.0,1.0,2.125,3.25,8.3125,1.782608695652174,3.53125
1.0,4.0,1.0,2.125,3.25,7.1875,1.782608695652174,2.6875
1.0,3.0,1.0,2.125,3.25,8.3125,1.391304347826087,4.09375
2.0,3.0,1.0,2.125,3.25,6.625,3.739130434782609,3.53125
1.0,3.0,1.0,2.125,1.375,6.90625,2.1739130434782608,3.25
2.0,3.0,1.0,2.125,1.375,6.34375,7.260869565217392,3.53125
1.0,4.0,1.0,2.125,1.375,8.03125,2.565217391304348,3.25
2.0,2.0,1.0,2.125,4.0,7.75,1.782608695652174,2.96875
1.0,4.0,1.0,2.125,2.125,9.4375,2.1739130434782608,3.8125
2.0,3.0,1.0,2.125,2.125,8.03125,6.869565217391305,2.40625
1.0,4.0,1.0,2.125,2.125,9.15625,4.521739130434783,2.40625
1.0,4.0,1.0,2.125,2.125,9.71875,2.1739130434782608,3.8125
1.0,3.0,1.0,2.125,3.25,7.1875,2.1739130434782608,2.6875
2.0,2.0,1.0,2.125,1.375,6.90625,2.1739130434782608,3.25
1.0,5.0,1.0,2.125,1.375,6.34375,7.260869565217392,3.53125
2.0,2.0,1.0,2.125,1.75,8.03125,1.782608695652174,4.65625
1.0,3.0,3.0,2.125,3.25,8.03125,1.782608695652174,2.40625
2.0,2.0,3.0,2.125,3.25,7.75,1.782608695652174,1.5625
2.0,3.0,3.0,2.125,3.625,4.9375,1.782608695652174,3.25
2.0,1.0,3.0,2.125,3.625,8.875,1.782608695652174,3.25
1.0,1.0,3.0,2.125,3.625,8.875,1.782608695652174,2.6875
2.0,1.0,3.0,2.125,3.25,8.875,2.1739130434782608,3.25
1.0,3.0,3.0,2.125,1.0,7.75,,2.6875
2.0,2.0,3.0,10.0,10.0,1.0,,10.0
1.0,3.0,3.0,6.0625,1.0,7.1875,1.782608695652174,3.53125
2.0,3.0,3.0,2.125,1.0,6.90625,2.1739130434782608,4.09375
1.0,3.0,3.0,2.125,1.375,7.75,1.391304347826087,3.8125
2.0,3.0,3.0,2.125,1.375,6.90625,1.391304347826087,4.09375
2.0,1.0,3.0,2.125,2.875,3.8125,,3.8125
1.0,2.0,3.0,1.0,2.125,7.46875,2.1739130434782608,4.09375
1.0,3.0,3.0,2.125,3.25,4.9375,2.1739130434782608,3.8125
1.0,2.0,3.0,2.125,2.875,6.90625,7.6521739130434785,4.09375
1.0,1.0,3.0,2.125,2.875,6.0625,2.9565217391304346,3.53125
