sexo,escol,Tam_loc,agg_intergenerational_mobility_perception,agg_social_policy_preferences,agg_subjective_economic_wellbeing_and_agency
2.0,1.0,2.0,5.846153846153847,,
1.0,3.0,2.0,7.230769230769231,1.0,8.90909090909091
2.0,3.0,2.0,4.461538461538462,10.0,4.818181818181818
1.0,4.0,2.0,5.153846153846154,10.0,7.818181818181818
1.0,4.0,2.0,3.76923076923077,10.0,4.545454545454545
2.0,5.0,2.0,3.076923076923077,1.0,8.636363636363637
2.0,5.0,2.0,5.153846153846154,1.0,8.636363636363637
1.0,3.0,2.0,5.153846153846154,1.0,8.09090909090909
2.0,3.0,2.0,,10.0,7.818181818181818
2.0,2.0,2.0,3.076923076923077,10.0,8.636363636363637
2.0,2.0,2.0,3.076923076923077,1.0,7.545454545454546
2.0,1.0,2.0,5.153846153846154,10.0,8.636363636363637
2.0,3.0,2.0,3.76923076923077,10.0,8.636363636363637
1.0,2.0,2.0,4.461538461538462,10.0,7.545454545454546
1.0,1.0,1.0,5.153846153846154,10.0,5.636363636363637
1.0,3.0,1.0,3.76923076923077,10.0,9.181818181818182
2.0,2.0,1.0,5.153846153846154,10.0,7.2727272727272725
1.0,3.0,1.0,2.384615384615385,10.0,8.90909090909091
1.0,3.0,1.0,2.384615384615385,10.0,7.818181818181818
1.0,4.0,1.0,3.076923076923077,10.0,8.09090909090909
1.0,3.0,1.0,5.153846153846154,1.0,7.545454545454546
1.0,3.0,1.0,3.76923076923077,10.0,5.909090909090909
2.0,3.0,1.0,5.153846153846154,10.0,6.454545454545454
2.0,1.0,1.0,3.076923076923077,1.0,5.363636363636363
1.0,4.0,1.0,3.76923076923077,1.0,6.7272727272727275
1.0,4.0,1.0,6.538461538461539,10.0,5.363636363636363
1.0,3.0,1.0,3.76923076923077,10.0,9.181818181818182
2.0,3.0,1.0,5.153846153846154,10.0,7.0
1.0,3.0,1.0,7.230769230769231,10.0,9.454545454545455
1.0,1.0,1.0,,10.0,7.545454545454546
1.0,1.0,1.0,7.230769230769231,10.0,7.2727272727272725
1.0,99.0,1.0,3.76923076923077,1.0,7.2727272727272725
1.0,1.0,1.0,3.076923076923077,10.0,7.0
2.0,3.0,1.0,5.153846153846154,10.0,7.2727272727272725
1.0,2.0,1.0,7.230769230769231,10.0,6.7272727272727275
1.0,1.0,1.0,5.846153846153847,10.0,5.090909090909091
2.0,1.0,1.0,3.76923076923077,10.0,7.818181818181818
1.0,1.0,1.0,5.153846153846154,10.0,7.2727272727272725
2.0,2.0,1.0,5.846153846153847,10.0,5.090909090909091
1.0,1.0,1.0,5.153846153846154,10.0,7.818181818181818
2.0,2.0,1.0,5.153846153846154,10.0,8.363636363636363
2.0,2.0,1.0,5.153846153846154,10.0,8.636363636363637
1.0,1.0,1.0,4.461538461538462,1.0,6.7272727272727275
2.0,1.0,1.0,5.846153846153847,10.0,9.454545454545455
1.0,3.0,1.0,5.846153846153847,10.0,9.181818181818182
2.0,2.0,1.0,4.461538461538462,10.0,6.454545454545454
1.0,4.0,3.0,4.461538461538462,1.0,7.818181818181818
1.0,2.0,3.0,4.461538461538462,10.0,8.09090909090909
2.0,4.0,3.0,5.153846153846154,10.0,5.636363636363637
1.0,3.0,3.0,5.153846153846154,10.0,9.727272727272727
2.0,1.0,3.0,4.461538461538462,1.0,8.636363636363637
2.0,4.0,3.0,7.230769230769231,1.0,6.454545454545454
2.0,3.0,3.0,5.153846153846154,10.0,8.09090909090909
1.0,4.0,3.0,3.076923076923077,1.0,7.545454545454546
2.0,1.0,3.0,7.230769230769231,10.0,7.0
2.0,2.0,3.0,7.230769230769231,10.0,6.181818181818182
1.0,2.0,3.0,6.538461538461539,10.0,7.818181818181818
1.0,3.0,3.0,7.230769230769231,10.0,5.363636363636363
1.0,3.0,3.0,4.461538461538462,1.0,8.363636363636363
2.0,2.0,3.0,5.846153846153847,1.0,8.636363636363637
2.0,3.0,3.0,3.76923076923077,10.0,7.2727272727272725
1.0,3.0,3.0,5.846153846153847,1.0,7.818181818181818
1.0,4.0,3.0,5.153846153846154,10.0,7.545454545454546
2.0,3.0,3.0,5.153846153846154,10.0,7.545454545454546
1.0,3.0,3.0,5.846153846153847,10.0,7.818181818181818
2.0,1.0,3.0,5.153846153846154,10.0,8.09090909090909
1.0,3.0,3.0,5.846153846153847,10.0,5.636363636363637
1.0,1.0,3.0,4.461538461538462,10.0,8.90909090909091
2.0,3.0,3.0,5.846153846153847,1.0,7.2727272727272725
2.0,3.0,3.0,5.846153846153847,1.0,6.454545454545454
1.0,3.0,1.0,3.076923076923077,1.0,6.7272727272727275
1.0,3.0,1.0,3.076923076923077,1.0,6.7272727272727275
2.0,3.0,1.0,3.076923076923077,1.0,6.181818181818182
2.0,3.0,1.0,3.076923076923077,1.0,6.454545454545454
1.0,3.0,1.0,2.384615384615385,10.0,8.636363636363637
2.0,2.0,1.0,4.461538461538462,1.0,8.363636363636363
2.0,1.0,1.0,3.76923076923077,1.0,10.0
1.0,2.0,1.0,5.846153846153847,1.0,10.0
2.0,3.0,1.0,2.384615384615385,10.0,6.7272727272727275
1.0,2.0,1.0,9.307692307692308,1.0,8.636363636363637
1.0,4.0,1.0,5.153846153846154,1.0,8.363636363636363
1.0,3.0,1.0,2.384615384615385,10.0,8.636363636363637
1.0,4.0,1.0,3.076923076923077,10.0,7.0
2.0,3.0,1.0,3.076923076923077,1.0,7.818181818181818
2.0,4.0,1.0,3.076923076923077,1.0,8.636363636363637
1.0,4.0,1.0,2.384615384615385,10.0,9.454545454545455
2.0,4.0,1.0,,1.0,5.636363636363637
2.0,3.0,1.0,3.076923076923077,1.0,6.454545454545454
2.0,4.0,1.0,3.76923076923077,1.0,7.545454545454546
1.0,2.0,1.0,3.076923076923077,1.0,4.818181818181818
1.0,1.0,1.0,4.461538461538462,1.0,6.454545454545454
2.0,3.0,1.0,5.153846153846154,10.0,6.7272727272727275
1.0,3.0,1.0,3.76923076923077,1.0,8.363636363636363
2.0,2.0,1.0,5.846153846153847,1.0,7.0
1.0,2.0,1.0,3.76923076923077,1.0,7.2727272727272725
1.0,3.0,1.0,4.461538461538462,1.0,7.818181818181818
2.0,2.0,1.0,7.230769230769231,10.0,6.181818181818182
1.0,3.0,1.0,5.153846153846154,10.0,7.0
1.0,4.0,1.0,6.538461538461539,10.0,7.0
1.0,2.0,1.0,4.461538461538462,10.0,6.454545454545454
1.0,2.0,1.0,5.846153846153847,10.0,4.818181818181818
2.0,2.0,1.0,3.76923076923077,10.0,7.545454545454546
1.0,3.0,1.0,4.461538461538462,10.0,7.0
2.0,1.0,1.0,4.461538461538462,10.0,6.7272727272727275
1.0,3.0,1.0,5.153846153846154,10.0,6.7272727272727275
1.0,3.0,1.0,5.846153846153847,,
2.0,1.0,1.0,,10.0,5.636363636363637
1.0,3.0,1.0,,1.0,
1.0,2.0,1.0,,10.0,7.545454545454546
1.0,4.0,1.0,,10.0,8.363636363636363
2.0,4.0,1.0,4.461538461538462,10.0,6.181818181818182
1.0,3.0,1.0,5.846153846153847,10.0,7.818181818181818
2.0,4.0,1.0,3.076923076923077,10.0,8.636363636363637
2.0,3.0,1.0,5.153846153846154,10.0,6.454545454545454
2.0,1.0,1.0,7.9230769230769225,10.0,6.454545454545454
1.0,1.0,1.0,3.76923076923077,10.0,6.7272727272727275
2.0,2.0,1.0,6.538461538461539,10.0,7.0
2.0,2.0,1.0,3.076923076923077,10.0,8.363636363636363
2.0,1.0,1.0,5.846153846153847,1.0,6.7272727272727275
1.0,3.0,1.0,3.76923076923077,10.0,6.181818181818182
1.0,4.0,1.0,5.846153846153847,1.0,5.636363636363637
2.0,3.0,1.0,6.538461538461539,1.0,5.090909090909091
1.0,1.0,1.0,6.538461538461539,,5.636363636363637
1.0,4.0,1.0,,1.0,
1.0,3.0,1.0,4.461538461538462,10.0,7.0
2.0,2.0,1.0,4.461538461538462,10.0,6.181818181818182
2.0,1.0,1.0,5.846153846153847,10.0,5.090909090909091
1.0,1.0,1.0,3.076923076923077,,5.909090909090909
1.0,3.0,1.0,2.384615384615385,10.0,8.09090909090909
2.0,4.0,1.0,,1.0,7.2727272727272725
1.0,3.0,1.0,,10.0,6.181818181818182
1.0,5.0,1.0,4.461538461538462,10.0,8.363636363636363
2.0,5.0,1.0,5.846153846153847,10.0,4.818181818181818
1.0,3.0,1.0,,,7.545454545454546
1.0,3.0,1.0,5.846153846153847,,7.818181818181818
1.0,3.0,1.0,3.76923076923077,10.0,6.454545454545454
1.0,4.0,1.0,3.76923076923077,,5.363636363636363
2.0,4.0,1.0,6.538461538461539,10.0,7.2727272727272725
1.0,4.0,3.0,5.846153846153847,,6.7272727272727275
2.0,5.0,3.0,4.461538461538462,10.0,7.0
1.0,3.0,3.0,,10.0,8.363636363636363
2.0,4.0,3.0,3.076923076923077,10.0,8.636363636363637
1.0,3.0,3.0,7.9230769230769225,,4.818181818181818
1.0,99.0,3.0,5.846153846153847,10.0,6.181818181818182
2.0,3.0,3.0,5.846153846153847,10.0,
1.0,1.0,3.0,7.9230769230769225,,5.363636363636363
1.0,3.0,3.0,5.153846153846154,10.0,5.090909090909091
2.0,3.0,3.0,3.076923076923077,10.0,6.7272727272727275
2.0,4.0,3.0,3.76923076923077,1.0,10.0
2.0,3.0,3.0,3.076923076923077,1.0,5.636363636363637
2.0,4.0,3.0,5.846153846153847,,6.454545454545454
2.0,4.0,3.0,,10.0,6.454545454545454
1.0,4.0,3.0,,10.0,7.2727272727272725
1.0,3.0,3.0,5.846153846153847,10.0,8.09090909090909
1.0,4.0,3.0,3.076923076923077,1.0,8.363636363636363
2.0,4.0,3.0,3.076923076923077,,7.0
1.0,3.0,3.0,5.846153846153847,10.0,
2.0,2.0,3.0,3.76923076923077,10.0,7.2727272727272725
1.0,3.0,3.0,3.76923076923077,10.0,7.818181818181818
2.0,4.0,3.0,4.461538461538462,1.0,8.636363636363637
2.0,4.0,3.0,5.846153846153847,1.0,5.909090909090909
1.0,3.0,3.0,3.76923076923077,10.0,8.09090909090909
2.0,1.0,1.0,6.538461538461539,10.0,6.7272727272727275
2.0,3.0,1.0,,1.0,6.454545454545454
1.0,3.0,1.0,,10.0,7.2727272727272725
1.0,3.0,1.0,4.461538461538462,10.0,6.7272727272727275
2.0,3.0,1.0,7.9230769230769225,10.0,8.90909090909091
1.0,3.0,1.0,5.846153846153847,10.0,7.2727272727272725
1.0,2.0,1.0,7.230769230769231,10.0,5.909090909090909
1.0,3.0,1.0,5.846153846153847,10.0,
2.0,3.0,1.0,5.153846153846154,10.0,6.181818181818182
1.0,3.0,1.0,8.615384615384617,,8.363636363636363
2.0,4.0,1.0,,1.0,7.545454545454546
1.0,3.0,1.0,7.230769230769231,1.0,10.0
1.0,4.0,1.0,6.538461538461539,10.0,10.0
1.0,3.0,1.0,7.9230769230769225,10.0,6.7272727272727275
1.0,5.0,1.0,3.76923076923077,10.0,6.7272727272727275
1.0,5.0,1.0,6.538461538461539,10.0,7.818181818181818
2.0,3.0,1.0,1.692307692307692,,8.09090909090909
1.0,3.0,1.0,,10.0,9.181818181818182
2.0,3.0,1.0,5.153846153846154,10.0,6.181818181818182
1.0,3.0,1.0,4.461538461538462,10.0,8.363636363636363
2.0,3.0,1.0,5.153846153846154,10.0,6.454545454545454
1.0,4.0,1.0,7.230769230769231,1.0,5.090909090909091
2.0,4.0,1.0,,10.0,6.181818181818182
1.0,3.0,1.0,3.76923076923077,10.0,7.0
2.0,5.0,1.0,3.076923076923077,1.0,8.636363636363637
2.0,2.0,1.0,3.076923076923077,10.0,10.0
1.0,3.0,1.0,3.076923076923077,1.0,7.818181818181818
2.0,2.0,1.0,3.76923076923077,1.0,7.818181818181818
1.0,4.0,1.0,3.76923076923077,10.0,
1.0,4.0,1.0,,10.0,7.818181818181818
2.0,4.0,1.0,3.076923076923077,10.0,8.90909090909091
2.0,3.0,1.0,5.846153846153847,10.0,9.181818181818182
1.0,3.0,1.0,3.076923076923077,10.0,8.363636363636363
2.0,3.0,1.0,4.461538461538462,10.0,7.2727272727272725
2.0,3.0,1.0,4.461538461538462,10.0,8.363636363636363
1.0,4.0,1.0,5.153846153846154,,8.636363636363637
1.0,4.0,1.0,2.384615384615385,10.0,7.2727272727272725
2.0,5.0,1.0,5.153846153846154,10.0,8.09090909090909
1.0,4.0,1.0,6.538461538461539,,4.545454545454545
2.0,3.0,1.0,3.076923076923077,10.0,5.636363636363637
1.0,2.0,1.0,4.461538461538462,10.0,
2.0,3.0,1.0,5.153846153846154,,6.454545454545454
2.0,5.0,1.0,5.153846153846154,,8.636363636363637
1.0,3.0,1.0,3.076923076923077,,9.454545454545455
2.0,2.0,1.0,4.461538461538462,10.0,8.636363636363637
1.0,3.0,1.0,5.846153846153847,10.0,5.090909090909091
2.0,4.0,1.0,5.153846153846154,10.0,6.454545454545454
2.0,4.0,1.0,6.538461538461539,10.0,7.818181818181818
2.0,4.0,1.0,9.307692307692308,10.0,6.454545454545454
1.0,4.0,1.0,2.384615384615385,10.0,7.818181818181818
2.0,4.0,1.0,3.076923076923077,1.0,7.818181818181818
2.0,1.0,1.0,5.153846153846154,10.0,8.09090909090909
2.0,3.0,1.0,3.076923076923077,,9.181818181818182
1.0,4.0,1.0,3.76923076923077,,9.181818181818182
1.0,4.0,1.0,,10.0,9.181818181818182
2.0,1.0,1.0,5.153846153846154,10.0,8.09090909090909
1.0,4.0,1.0,5.153846153846154,10.0,7.818181818181818
1.0,4.0,1.0,4.461538461538462,10.0,8.636363636363637
2.0,4.0,1.0,5.846153846153847,10.0,7.2727272727272725
2.0,2.0,1.0,,10.0,8.09090909090909
1.0,4.0,4.0,3.076923076923077,10.0,5.636363636363637
2.0,5.0,4.0,3.076923076923077,10.0,6.454545454545454
1.0,4.0,4.0,3.76923076923077,10.0,6.454545454545454
2.0,99.0,4.0,5.153846153846154,1.0,6.7272727272727275
1.0,1.0,4.0,2.384615384615385,10.0,6.7272727272727275
2.0,5.0,4.0,2.384615384615385,1.0,5.909090909090909
1.0,2.0,4.0,,10.0,
2.0,3.0,4.0,3.076923076923077,10.0,8.636363636363637
2.0,4.0,4.0,3.076923076923077,10.0,9.181818181818182
1.0,4.0,4.0,10.0,10.0,10.0
1.0,1.0,4.0,,10.0,8.90909090909091
2.0,4.0,4.0,3.076923076923077,10.0,7.818181818181818
2.0,4.0,4.0,5.153846153846154,10.0,6.454545454545454
1.0,4.0,4.0,5.846153846153847,10.0,6.454545454545454
2.0,3.0,4.0,5.846153846153847,10.0,5.909090909090909
2.0,4.0,4.0,4.461538461538462,10.0,5.090909090909091
2.0,2.0,4.0,6.538461538461539,10.0,6.181818181818182
1.0,5.0,4.0,3.76923076923077,1.0,6.7272727272727275
2.0,5.0,4.0,5.846153846153847,1.0,6.7272727272727275
1.0,5.0,4.0,7.9230769230769225,10.0,7.2727272727272725
1.0,4.0,4.0,5.846153846153847,10.0,3.1818181818181817
2.0,4.0,4.0,5.153846153846154,1.0,5.363636363636363
2.0,4.0,4.0,6.538461538461539,10.0,8.09090909090909
1.0,4.0,4.0,5.846153846153847,10.0,5.090909090909091
2.0,3.0,4.0,,10.0,
1.0,3.0,4.0,10.0,10.0,7.0
2.0,3.0,4.0,5.153846153846154,10.0,5.909090909090909
1.0,3.0,4.0,6.538461538461539,10.0,7.0
1.0,4.0,4.0,3.76923076923077,,5.636363636363637
1.0,5.0,4.0,,10.0,5.636363636363637
1.0,4.0,4.0,,10.0,5.363636363636363
2.0,5.0,4.0,3.76923076923077,1.0,
2.0,5.0,4.0,3.076923076923077,10.0,7.545454545454546
1.0,5.0,4.0,3.076923076923077,10.0,6.7272727272727275
2.0,4.0,4.0,,10.0,6.454545454545454
1.0,5.0,4.0,,10.0,6.181818181818182
1.0,5.0,4.0,4.461538461538462,10.0,5.636363636363637
2.0,3.0,4.0,3.076923076923077,10.0,8.09090909090909
2.0,4.0,4.0,5.153846153846154,10.0,4.545454545454545
1.0,5.0,1.0,3.076923076923077,10.0,7.818181818181818
1.0,3.0,1.0,3.76923076923077,10.0,6.181818181818182
1.0,2.0,1.0,3.076923076923077,10.0,8.09090909090909
2.0,4.0,1.0,,10.0,5.909090909090909
2.0,3.0,1.0,5.153846153846154,1.0,
1.0,3.0,1.0,,1.0,5.090909090909091
1.0,4.0,1.0,4.461538461538462,1.0,7.818181818181818
2.0,5.0,1.0,3.76923076923077,1.0,6.7272727272727275
1.0,4.0,1.0,6.538461538461539,10.0,8.90909090909091
2.0,3.0,1.0,7.230769230769231,10.0,6.454545454545454
1.0,5.0,1.0,5.846153846153847,10.0,5.636363636363637
1.0,3.0,1.0,3.76923076923077,10.0,8.90909090909091
1.0,4.0,1.0,3.076923076923077,10.0,7.2727272727272725
2.0,5.0,1.0,3.76923076923077,10.0,7.545454545454546
2.0,5.0,1.0,3.076923076923077,10.0,7.545454545454546
2.0,4.0,1.0,,1.0,
1.0,3.0,1.0,,10.0,
1.0,2.0,1.0,3.76923076923077,10.0,5.363636363636363
1.0,2.0,1.0,6.538461538461539,10.0,7.818181818181818
2.0,1.0,1.0,3.076923076923077,10.0,8.90909090909091
1.0,1.0,1.0,3.076923076923077,1.0,
2.0,4.0,1.0,3.076923076923077,10.0,8.363636363636363
2.0,2.0,1.0,3.076923076923077,10.0,8.90909090909091
1.0,2.0,1.0,3.76923076923077,10.0,7.818181818181818
