,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,0.0,0.0397,-0.0076,-0.0155,-0.0033,,,,,,,0.0275,-0.0012,0.0069,0.0124,0.0353,0.0117,,0.0235,,0.0043,0.0053,,0.0251,,,0.0153,,,0.0167
child_qualities_autonomy_self_expression|WVS_A,,0.0397,0.0,,,0.0646,-0.0463,0.0172,-0.04,0.0257,0.004,-0.0241,0.0882,0.0504,,0.0518,0.111,0.0855,0.1089,0.038,-0.0558,-0.0185,0.0327,0.022,0.122,,-0.0787,,,,0.0905
child_qualities_conformity_tradition|WVS_A,,-0.0076,,0.0,,-0.0375,0.0124,-0.0088,0.0139,-0.005,0.001,0.0138,-0.0196,-0.0247,,-0.0214,-0.0313,-0.038,-0.0312,-0.0065,0.0243,0.0213,-0.0183,-0.0132,-0.0532,,0.0306,,,,-0.0336
child_qualities_prosocial_diligence|WVS_A,,-0.0155,,,0.0,-0.0406,0.0214,-0.006,0.023,-0.0111,-0.0007,0.0194,-0.025,-0.0259,,-0.0259,-0.0467,-0.0461,-0.0465,-0.0149,0.0231,0.0193,-0.0216,-0.0191,-0.0659,,0.0384,,,,-0.0388
civic_dishonesty_tolerance|WVS_F,,-0.0033,0.0646,-0.0375,-0.0406,0.0,-0.021,0.0085,-0.0218,-0.0071,-0.0063,-0.0203,0.0217,0.0625,0.0475,0.0329,0.0351,,0.0093,-0.015,-0.0465,,,0.013,,,-0.0521,0.0132,,,0.0537
confidence_in_civil_society_organizations|WVS_E,,,-0.0463,0.0124,0.0214,-0.021,0.0,,,,,,-0.0348,-0.0193,-0.0152,-0.0161,-0.0357,-0.0252,,-0.0112,,-0.0038,-0.0111,,-0.0374,,,-0.0129,,,-0.0231
confidence_in_domestic_institutions|WVS_E,,,0.0172,-0.0088,-0.006,0.0085,,0.0,,,,,0.0033,0.0022,0.0096,0.0059,0.0101,0.0106,,0.0053,,-0.0123,0.0043,,0.0149,,,0.0056,,,0.0121
confidence_in_international_organizations|WVS_E,,,-0.04,0.0139,0.023,-0.0218,,,0.0,,,,-0.0175,-0.0158,-0.0159,-0.0178,-0.0328,-0.0272,,-0.0106,,0.0077,-0.013,,-0.0388,,,-0.0137,,,-0.0217
democratic_system_evaluation|WVS_E,,,0.0257,-0.005,-0.0111,-0.0071,,,,0.0,,,0.0098,-0.0065,0.0029,0.0082,0.0242,0.0064,,0.0214,,0.0002,0.0042,,0.0158,,,0.0126,,,0.009
democratic_values_importance|WVS_E,,,0.004,0.001,-0.0007,-0.0063,,,,,0.0,,0.0037,-0.0041,-0.0017,0.0003,0.0049,-0.0014,,0.0057,,0.0035,-0.0009,,-0.0003,,,0.0023,,,-0.0001
